CASRN,LD50_xgboost_maccs
3861-47-0,-0.042563442
57808-65-8,0.43752983
577-91-3,-0.021196801
14689-57-7,-1.3183389
17601-49-9,0.83430606
1746-25-4,-0.14059295
29717-26-8,-0.47993287
75-47-8,0.5491868
9004-95-9,1.3043023
63869-27-2,-1.1458359
3247-33-4,-1.0756286
70682-61-0,1.1506106
301-13-3,1.2275867
78-42-2,0.8328911
15458-87-4,0.6964352
105084-66-0,-1.032046
13080-06-3,0.8748134
63869-22-7,-1.1094207
139-60-6,0.2909088
34206-40-1,0.56933314
23505-41-1,-0.39523557
3857-80-5,0.34821478
3687-16-9,0.60004485
68289-21-4,0.5622977
4559-86-8,0.8481236
1941-30-6,0.5383326
106-20-7,0.6610044
10143-60-9,1.4421443
19074-24-9,1.5322063
103-23-1,1.5666435
117-81-7,1.452197
3658-48-8,1.2589871
298-07-7,1.2772274
63449-80-9,0.60701644
7425-14-1,1.6034095
18268-70-7,1.5069673
94-28-0,1.4818279
3282-85-7,0.837805
7790-07-0,1.4372534
25724-60-1,1.4016074
10022-60-3,1.4421486
468-61-1,0.71709794
4551-59-1,0.5550317
57647-13-9,0.47943097
27591-69-1,0.33550873
589-32-2,0.47965103
78-53-5,-1.3812369
115-79-7,0.18759482
122-31-6,1.3945605
78-10-4,1.273342
17356-42-2,-1.4825737
3689-24-5,-0.89793664
563-12-2,-1.3606615
78-07-9,1.4086267
20395-17-9,-1.7088276
18300-10-2,-1.9569136
2667-40-5,-1.0495813
55134-13-9,-0.92075956
33446-90-1,1.0003393
27879-29-4,0.49548635
55934-93-5,1.5686305
52030-05-4,1.004736
74051-80-2,0.80823475
2224-33-1,0.51261073
77-90-7,1.2537028
21327-31-1,-0.29259717
5826-91-5,-0.7616236
22787-59-3,-0.9814451
22787-58-2,-1.5299703
5675-57-0,-1.1653754
3730-54-9,-0.7856873
655-35-6,0.1947707
77-89-4,1.2106494
70833-40-8,1.2621386
67239-04-7,0.88666975
2595-54-2,-0.45831853
5137-55-3,0.53559226
64036-99-3,-1.5908563
26523-78-4,1.0426508
68814-95-9,0.6511265
538-23-8,1.495825
2528-38-3,0.85566366
51249-05-9,0.22723137
102-85-2,1.1201239
126-73-8,0.5731462
998-40-3,1.2242013
115-78-6,0.70785576
33060-84-3,-0.4981472
150-50-5,-0.47925583
78-48-8,-0.8965613
60-01-5,1.1588527
74125-01-2,-0.9526193
1496-94-2,0.9059194
21270-07-5,0.064191036
7346-61-4,1.0312694
63907-12-0,1.0749786
1114-71-2,0.85964674
64058-98-6,0.05272545
64059-01-4,0.3582957
13194-48-4,-0.91337717
2511-15-1,-1.148018
90220-15-8,-0.9249113
759-94-4,0.7897522
23184-66-9,0.68307066
51218-49-6,0.6898041
109965-82-4,0.040718894
92953-10-1,0.31799915
17088-72-1,0.70112616
35850-79-4,1.1436496
3309-68-0,-1.6548805
18109-81-4,0.7422948
139-45-7,1.4168428
38727-55-8,0.7470785
51356-13-9,-1.0086306
33210-44-5,0.04709601
33210-40-1,-0.13001053
33210-43-4,0.08064151
1912-26-1,0.5313407
7779-27-3,0.7530118
78816-48-5,0.43865755
2941-55-1,0.7447821
4740-11-8,0.49530855
125-99-5,0.34088343
5957-17-5,0.77916956
2001-81-2,0.62152094
56-37-1,0.52257264
7789-92-6,1.4494584
10140-99-5,0.5833107
122-51-0,1.1312346
63869-26-1,-1.1891011
2425-25-4,-0.474013
5823-25-6,-0.46969786
919-54-0,-0.4064274
1067-47-6,1.1897706
919-30-2,1.0828251
14814-09-6,1.1032372
34708-08-2,0.7573087
15129-36-9,0.5978835
15267-95-5,0.8584178
122-52-1,0.5911808
78-40-0,0.15623939
78-38-6,0.75939035
126-75-0,-1.2779835
298-03-3,-1.0854388
298-04-4,-1.2040981
298-02-2,-1.9083706
1186-09-0,-0.9839543
2524-09-6,-0.8511901
2497-07-6,-1.2691864
2588-03-6,-1.9236343
2496-91-5,-0.9778301
4891-54-7,-1.4105983
2497-06-5,-1.267628
2511-11-7,-1.0555179
2404-78-6,-1.1039487
688-62-0,-0.39257887
87310-56-3,0.54120135
79451-10-8,-0.8092733
66996-10-9,-0.53680766
55297-95-5,-0.2022519
3004-70-4,0.6569123
53521-41-8,0.6770476
139-88-8,0.7862816
1912-25-0,0.4173954
2275-18-5,-0.5830484
63873-23-4,-0.66480154
78-52-4,-1.0989672
63873-21-2,-0.81676763
26818-53-1,0.42884967
27891-14-1,0.7820761
36756-79-3,0.75901854
19072-57-2,0.4194626
27591-74-8,-0.9890295
66734-13-2,-0.020666558
27778-88-7,0.2070201
27778-86-5,0.21822709
27778-84-3,0.20081371
27778-80-9,0.2501528
27778-82-1,0.25746265
27684-92-0,0.22951181
26259-45-0,0.82428515
40618-52-8,-0.82543606
69-05-6,0.21258475
9050-04-8,-0.0066138715
60735-64-0,0.46233442
24151-93-7,-0.55725366
2109-64-0,0.79593104
22457-23-4,0.90126884
541-85-5,1.3903178
14355-07-8,-0.11321344
14355-12-5,-0.27203435
10024-78-9,0.62140435
32838-28-1,0.82736516
57-33-0,-0.16108231
71-73-8,0.06102991
871-22-7,1.5652384
29122-60-9,0.21133402
7286-69-3,0.21143532
98886-44-3,-0.7839486
125-64-4,0.39842728
730-07-4,0.606743
33499-11-5,0.6638223
110429-62-4,0.26344404
67050-64-0,0.26959002
54-05-7,0.23260082
1094-08-2,0.3469218
30238-41-6,0.6693187
64241-34-5,0.42224395
33499-13-7,0.49968493
63867-07-2,0.75506955
4630-95-9,0.39005977
66968-39-6,0.1764507
105-57-7,1.4599113
87820-88-0,0.6599945
103890-78-4,0.7657524
52-60-8,-1.1056718
50765-89-4,-0.17654754
15763-48-1,0.77277774
22609-73-0,0.48754472
88045-99-2,0.90348077
17702-79-3,-0.55999243
137-58-6,0.5919356
333-40-4,-0.62374336
31775-20-9,0.5733019
105779-78-0,0.27719083
23191-75-5,0.50885963
88045-98-1,0.97310853
57470-78-7,0.7244183
68227-46-3,0.4160651
5221-49-8,-0.38525626
21409-78-9,-0.9399718
40374-14-9,-0.40898952
29232-93-7,-0.66296303
13171-21-6,-1.4300171
73521-00-3,-0.21227723
73512-92-2,-0.2138425
73520-99-7,-0.069789626
128606-48-4,-0.90285873
57846-34-1,-0.26600608
74639-40-0,0.20189445
1716-09-2,-0.7905478
14143-09-0,-1.328548
10097-26-4,1.4560846
105-16-8,0.9385422
1918-08-7,0.54265594
14663-66-2,-0.3855436
14663-67-3,-0.36616796
10137-90-3,1.2827413
78193-97-2,0.6525886
58458-55-2,0.87486756
103-09-3,1.6034095
23947-60-6,0.60029143
6946-94-7,1.0168867
274671-61-3,0.6522278
2728-05-4,0.87184936
134-62-3,0.87184936
52406-01-6,0.10291457
953-32-2,-0.85365576
60090-47-3,0.9538427
15386-51-3,-0.042376596
2728-04-3,0.88910043
299-45-6,-1.1592271
2425-15-2,-0.836457
51356-23-1,-0.8569455
51356-21-9,-0.425682
3099-88-5,-0.8651317
1942-78-5,-0.7349958
108-35-0,-0.8865493
15421-84-8,0.48818558
51356-11-7,-1.7530019
51356-09-3,-1.189635
22439-40-3,-0.66294706
5633-16-9,0.16319424
26662-09-9,-0.8564263
63979-26-0,0.5011384
2544-52-7,-1.380809
120-95-6,0.750541
51959-14-9,0.25346604
79-74-3,0.6693291
10508-09-5,1.2260764
329-21-5,-0.737221
7795-74-6,-0.69261914
69784-43-6,-1.408404
55285-14-8,-1.1550566
3489-84-7,0.7760994
3734-95-0,-0.9999253
129927-33-9,0.41219845
72590-77-3,-0.011097101
13472-08-7,0.35652545
78-66-0,0.81520295
1338-23-4,1.2206463
154619-86-0,-1.301116
154619-76-8,-1.2303165
4268-36-4,0.5401334
5340-36-3,1.1946663
33236-05-4,0.019785037
33210-49-0,0.021583423
17091-21-3,1.1498809
82560-06-3,0.5206476
77-74-7,1.20834
55937-99-0,0.82264084
1081-95-4,-0.8092244
103446-98-6,0.22271216
30087-47-9,-0.026891606
40373-31-7,-0.59047997
2631-26-7,-0.12067972
3772-48-3,-0.6739385
1474-80-2,-0.96490914
28616-48-0,-0.6870259
55769-64-7,0.43331516
89591-51-5,-0.15090767
63580-68-7,-1.8678014
60244-63-5,-1.2063203
60244-60-2,-0.88181025
63039-90-7,-0.1605627
18886-42-5,0.2401157
37686-84-3,0.29423898
63717-17-9,-0.60843134
57647-36-6,0.3782477
104907-82-6,0.7360997
76597-98-3,0.4411113
513-10-0,-1.0044287
107-64-2,0.4941562
68391-05-9,0.43933058
7173-51-5,0.4941562
37335-68-5,0.30137196
124-03-8,0.3980495
6458-13-5,0.5238951
70206-24-5,-0.008610164
53-46-3,0.023532132
50-10-2,0.32260492
24789-78-4,0.26048717
3700-98-9,-0.531926
3700-97-8,-0.34204358
63917-07-7,-0.5916794
38260-54-7,-0.8045608
2830-87-7,-0.2851438
21410-51-5,-0.902387
1634-78-2,-0.46578705
121-75-5,-0.2930669
18300-07-7,-1.4368955
3344-12-5,-0.3652721
51012-33-0,0.37206867
4104-03-4,-0.7126009
15972-60-8,0.6884428
117666-91-8,0.88809997
117683-18-8,0.8853817
90220-16-9,-1.0742786
673-04-1,0.887203
64-96-0,0.34647462
109410-00-6,0.18551779
364-62-5,0.043036792
4093-35-0,0.007191006
19351-21-4,0.49528795
304-84-7,0.5922952
19351-20-3,0.5649721
55619-22-2,0.61456496
919-53-9,-0.6559273
90245-33-3,-1.0840654
22082-34-4,-1.1131395
78-62-6,1.2535107
1067-99-8,0.9929389
999-34-8,-0.066255726
90220-14-7,-1.1089478
996-04-3,-0.90709543
996-05-4,-0.7667387
63906-39-8,-0.54823744
32744-43-7,-0.81902033
7292-16-2,-1.1515881
1014-70-6,0.7274392
21923-23-9,-0.9593353
2404-05-9,-1.0095583
51528-03-1,0.37864536
3254-62-4,-1.4593267
115-90-2,-1.3157048
6587-45-7,-1.0706625
6132-17-8,-1.3950071
101526-62-9,0.66572964
109-66-0,1.5169597
110-54-3,1.4694154
84-76-4,1.504277
50602-85-2,0.59942645
119-07-3,1.4747208
123-79-5,1.543892
1639-66-3,0.9056194
2915-53-9,1.3232071
117-84-0,1.504277
70729-68-9,1.4473643
110-32-7,1.4793075
10058-20-5,1.4757288
3006-15-3,0.78307015
84-75-3,1.3492644
2050-92-2,0.6988228
13256-06-9,0.56478053
3913-02-8,1.4446149
17810-51-4,0.066435225
21270-08-6,0.039580278
123-95-5,1.6050237
111-92-2,0.69063425
109-46-6,0.32373676
102-83-0,0.5290598
36167-63-2,0.07954788
102-81-8,0.93348426
102207-73-8,0.7416539
119-48-2,0.92191297
51861-34-8,0.68680227
924-16-3,0.5309864
127-59-3,0.52557707
142-96-1,1.3961072
112-48-1,1.3840553
112-98-1,1.4104136
141-17-3,1.4361203
16672-39-2,1.3467691
141-03-7,1.415441
85-70-1,1.4650574
4056-77-3,1.3214967
84-74-2,1.410488
7483-25-2,1.2170155
4092-75-5,0.7378672
1809-19-4,1.0927278
130525-77-8,1.0166291
2528-36-1,0.17919935
544-40-1,1.1646935
51-03-6,0.89996845
2430-27-5,1.0221252
123-19-3,1.32995
74550-96-2,0.537093
106-31-0,1.3859317
132-82-1,1.1521046
105-66-8,1.5635381
142-84-7,0.6655129
99247-33-3,0.75077116
52888-80-9,0.72975296
91893-38-8,-0.25993317
57-66-9,0.6723678
925-15-5,1.467635
136-45-8,1.1221429
16066-38-9,1.1839607
104-75-6,0.68728894
10137-80-1,0.64566576
113-48-4,0.7004514
104-76-7,1.446945
5397-31-9,0.91098326
10213-75-9,1.3432875
4126-58-3,1.5091703
1559-35-9,1.2932519
2461-15-6,1.2601893
103-44-6,1.4156048
21270-19-9,0.0005018461
17751-71-2,-0.15005727
17751-73-4,-0.16151883
17751-72-3,-0.13616845
17810-52-5,-0.07631053
17751-68-7,-0.022764903
21270-00-8,0.039580278
21270-16-6,-0.03583877
21270-12-2,-0.15940094
21270-02-0,0.11839499
21270-03-1,0.04709909
1928-43-4,0.49446607
1928-47-8,0.51664346
7659-86-1,0.97728896
103-11-7,1.2530143
5444-75-7,1.4808304
4376-20-9,1.4795961
18750-05-5,1.2530463
4248-21-9,0.8331726
24468-13-1,0.9670709
68037-57-0,1.5939935
1070-03-7,1.5300349
126-92-1,0.83673024
123-04-6,1.0731533
63834-30-0,1.5633311
149-57-5,1.4216323
94-04-2,1.2525309
589-82-2,1.320383
10138-47-3,1.3871081
10138-87-1,1.353469
94-96-2,1.640711
10140-93-9,-0.16385457
7492-37-7,1.1857708
106-35-4,1.3708582
645-62-5,1.5084573
5309-52-4,1.3775767
6187-24-2,0.9000059
1471-51-8,0.7689749
126-93-2,0.4711363
13360-63-9,0.68089193
1861-40-1,0.36006582
91893-68-4,-0.23501629
68439-49-6,1.4636388
15523-43-0,1.4605335
628-81-9,1.4149038
4413-13-2,1.4476781
33236-04-3,0.2710291
106-32-1,1.6174525
79714-31-1,0.59841526
3570-46-5,0.46587005
64058-22-6,0.09099344
105-54-4,1.619093
101205-02-1,0.52446663
40626-35-5,-0.6192396
89784-60-1,-0.38681152
38527-91-2,-0.35147032
38524-82-2,-0.32105762
34643-46-4,-0.39205208
24017-17-2,-0.8337941
18596-67-3,-0.7077088
617-79-8,0.71455365
97-95-0,1.3761966
10232-91-4,1.2784662
10213-74-8,1.4827944
4468-93-3,1.3913528
63907-07-3,0.7920247
3953-10-4,1.0912398
97-96-1,1.3296055
19962-50-6,0.72340435
88-09-5,1.3463008
4189-10-0,0.8224449
584-02-1,1.2685034
101952-86-7,0.88369
96-22-0,1.2127941
72-56-0,1.0394149
579-66-8,0.78968394
38725-95-0,0.53794473
522-40-7,0.5507942
123-62-6,1.2865225
5837-63-8,1.1477623
41340-25-4,-0.029539097
136572-09-3,-0.05457513
105-37-3,1.4829848
512-48-1,0.7492605
702-54-5,0.61374784
1085-91-2,0.9298776
77-04-3,0.4685276
80733-97-7,0.40743452
23192-94-1,0.39751256
99233-24-6,0.24443753
33236-13-4,-0.04399052
109-89-7,0.6812503
105-55-5,0.21150094
122-34-9,0.5473928
104-78-9,0.5960762
17074-44-1,-0.37437204
27312-93-2,-0.074467994
6009-67-2,-0.13482346
100-36-7,0.4817836
3105-97-3,0.36517182
17074-42-9,-0.4464238
51-06-9,0.44290635
23205-22-3,0.08363792
34341-24-7,0.2306685
100-37-8,1.0327371
63883-13-6,0.29873368
53421-38-8,0.32205877
911-45-5,0.43674314
2192-21-4,0.44134435
2426-54-2,0.8018538
31329-57-4,0.3057806
34580-71-7,0.06427221
1641-74-3,0.61032015
2597-09-3,0.49659958
57-37-4,0.50950646
13352-70-0,0.115315646
3735-90-8,0.6691957
3010-02-4,0.73773926
102394-31-0,0.5160754
67367-65-1,0.5297676
2431-96-1,0.8882949
2315-36-8,0.13016409
120-21-8,0.7751412
2198-58-5,0.425866
5123-63-7,0.8839555
17754-90-4,0.6230013
25953-06-4,0.30751804
1696-17-9,0.862594
19311-91-2,0.707976
63886-92-0,0.81502855
63887-51-4,0.622124
32773-96-9,0.35016605
101152-94-7,0.18777086
14052-72-3,0.363081
28249-77-6,0.6692291
95-06-7,0.14298978
95-30-7,0.37722224
1331-27-7,0.827429
13056-98-9,0.3635482
21600-43-1,0.35464144
55-18-5,0.47117415
6794-94-1,0.28249288
1709-50-8,0.703635
36014-71-8,-0.6064961
1050-48-2,0.36041996
60-29-7,1.4085438
629-14-1,1.4365376
112-36-7,1.4268241
763-69-9,1.4196752
110-40-7,1.4457918
123-25-1,1.4457918
27292-19-9,0.876831
22125-35-5,0.5686875
59894-95-0,0.36030114
73090-70-7,0.58359146
98318-25-3,0.8052083
84-66-2,1.3430116
1609-47-8,1.1113205
502-55-6,0.5568444
1851-77-0,0.57630056
1851-71-4,0.6199421
6485-91-2,0.82862794
762-04-9,0.9224434
999-01-9,-0.17104113
10419-79-1,0.35696256
75889-62-2,-0.4417165
679-36-7,-0.44269
21548-32-3,-1.0972602
333-29-9,-0.72294486
1516-67-2,-0.9398358
5131-24-8,-0.688412
64050-52-8,-0.622414
311-47-7,-0.15083945
38331-02-1,-0.43240488
14984-58-8,-0.5309851
311-45-5,-1.0492023
897-83-6,-0.87545776
2701-86-2,-0.31348166
33399-00-7,-0.7147711
2667-41-6,-0.71291137
60971-95-1,-0.87820005
5598-15-2,-0.11045166
1491-41-4,-0.45096877
16499-75-5,-1.3658539
3734-92-7,-1.1039864
51376-77-3,-1.4956287
14734-96-4,-0.8204751
1885-95-6,-1.1775076
1885-98-9,-0.8349344
5954-10-9,-0.95061356
54593-83-8,-0.71214104
33841-12-2,-1.1055807
3735-01-1,-0.7411309
84197-34-2,-0.8284375
84197-35-3,-0.82350403
39624-86-7,-0.7404055
29689-00-7,-0.8862891
6012-87-9,-0.6126765
97-17-6,-0.526483
1224-63-1,-0.6964029
4824-78-6,-0.81320024
7533-79-1,-0.46142176
4935-28-8,-0.490512
297-97-2,-0.6522134
13593-03-8,-0.649669
18854-01-8,-0.46295914
2921-88-2,-0.44159976
24017-47-8,-0.30381274
14816-18-3,-0.9835919
2668-92-0,-0.29828075
16500-53-1,-1.3795588
13286-40-3,-0.9731744
2047-14-5,-0.41366372
35461-10-0,-0.76493496
16231-76-8,-0.25683188
30725-71-4,-0.9998221
2310-17-0,-0.47029164
6119-96-6,-0.88715476
51356-06-0,-0.9986677
51356-15-1,-0.55679834
51442-10-5,-0.6134376
25923-97-1,-1.3106908
3152-41-8,-0.8073691
2275-14-1,-0.64615273
24934-91-6,-1.0698224
6436-05-1,-0.65335083
41219-31-2,-0.49879068
3659-04-9,-0.81516147
10312-20-6,-0.45131442
38188-83-9,-1.0488145
5823-20-1,-0.9427393
973-28-4,-0.80024457
4681-36-1,-0.8242655
63716-53-0,-0.7728794
64-67-5,0.3492145
7305-61-5,1.0993922
7776-66-1,0.0018382072
944-21-8,-0.90584433
62421-46-9,-0.9265684
1497-39-8,-0.9544016
3563-52-8,-0.69101244
1593-27-7,-0.8350385
7260-35-7,-0.7459753
327-98-0,-0.7382479
24017-24-1,-0.9570706
18596-51-5,-0.9707813
63869-31-8,-0.85735315
597-88-6,-1.4389434
352-93-2,1.1024257
18771-38-5,0.30281806
34491-12-8,-1.0610644
110-81-6,0.87545484
70-29-1,0.982578
59865-13-3,0.26587248
17013-35-3,0.23441584
94-86-0,1.0469054
1264-72-8,0.27892235
108050-54-0,0.72859836
80214-83-1,0.15261307
81103-11-9,0.068405926
6683-17-6,-0.23176736
4147-51-7,0.82930064
7087-68-5,0.83035076
5827-05-4,-1.6424859
642-15-9,0.33326912
1331-50-6,1.3972403
131929-60-7,0.37596387
75443-99-1,-0.2399876
2964-06-9,0.072008885
973-21-7,-0.24038514
54767-75-8,0.49575782
121158-58-5,1.0994387
34264-24-9,0.051800877
31218-83-4,-0.7351402
34381-68-5,0.918706
33857-23-7,-0.78859246
78193-95-0,0.6286003
108419-32-5,1.6672635
26748-41-4,1.4275644
82560-54-1,-0.64717627
33236-08-7,0.14786363
26685-57-4,-0.2774972
78-44-4,0.5107433
115767-74-3,0.5191
51893-82-4,-0.62667596
1610-17-9,0.7620338
3853-74-5,-0.7517457
834-12-8,0.8506658
55837-18-8,1.277646
57-43-2,-0.14307727
64-43-7,-0.2591972
37205-87-1,1.210183
16537-52-3,-0.9198145
24838-84-4,-0.62993664
21270-25-7,0.10061658
21270-04-2,0.11056546
97683-31-3,1.1239641
1912-24-9,0.63371974
3733-84-4,-0.39571553
51162-51-7,-0.45986104
328-04-1,-0.5101788
29911-28-2,1.4334968
91315-15-0,0.6310732
10031-58-0,0.4172906
477-32-7,0.3232407
1020-35-5,-0.086633295
5633-25-0,0.25447986
43033-72-3,0.18118633
51218-45-2,0.69322824
2307-68-8,0.82491934
37172-05-7,1.0344863
7319-47-3,0.4179222
314-40-9,0.4895489
105-46-4,1.4569374
50602-40-9,0.18218626
5787-73-5,0.55024046
2282-34-0,0.08406665
2917-19-3,-0.08750377
3766-81-2,-0.28013074
1225-25-8,0.67659914
27778-78-5,0.17340763
27684-90-8,0.010799844
35384-89-5,0.4747913
24729-96-2,0.030259818
561-78-4,-0.113346815
30238-40-5,0.7029931
89396-94-1,0.90202
64050-87-9,0.58904576
3614-30-0,0.26322046
2753-45-9,0.2591293
79985-89-0,-0.38398576
82586-52-5,0.18610068
22791-12-4,-0.7876671
70667-26-4,0.30045575
7789-99-3,1.4554242
106463-17-6,0.29198715
57558-46-0,0.28289685
33054-87-4,-0.25216067
5389-12-8,-0.23249012
105-30-6,1.4887445
42615-29-2,0.95183545
97-61-0,1.3278573
76-73-3,-0.3263651
309-43-3,-0.16657299
66941-93-3,-0.1441444
30677-46-4,0.7017099
623-40-5,0.7774541
5131-66-8,1.3303015
1569-01-3,1.3941199
81406-37-3,0.6939145
99607-70-2,0.4484126
3084-62-6,0.52555555
541-95-7,0.61766636
120-62-7,0.4761379
557-36-8,0.82485914
96-17-3,1.342022
14765-30-1,1.2054889
99-71-8,1.0759507
89-72-5,0.83327067
61005-12-7,0.3985562
88-85-7,-0.26304883
61614-62-8,-0.1063658
104-89-2,0.69473606
96-29-7,0.81061757
78-92-2,1.228804
17751-77-8,0.07006427
21270-20-2,0.073423035
21270-21-3,0.073423035
21269-99-8,0.18361829
21395-07-3,0.3792892
513-53-1,0.8653139
5412-64-6,0.6673566
13717-04-9,0.49353206
99-79-6,0.6136498
10402-53-6,0.38974527
34067-03-3,0.4079176
66941-53-5,0.012888666
86371-40-6,-0.09196115
130693-82-2,0.6804187
29766-64-1,0.9018557
63716-10-9,1.3638239
1569-02-4,1.3617084
1083-57-4,1.1271712
27205-24-9,0.9747415
14631-45-9,0.25701433
7698-97-7,0.88211864
92454-60-9,0.55321336
120-45-6,1.255832
10137-87-8,0.7419918
54335-73-8,-0.4189992
83435-67-0,0.6459141
82586-55-8,0.54826885
16118-49-3,0.63495374
16378-22-6,0.21494278
22212-55-1,0.960483
97-64-3,1.3660046
87237-48-7,0.28615233
66441-23-4,0.38321683
66441-11-0,0.505232
51-14-9,0.98901904
50765-95-2,-0.33505112
54406-48-3,0.91722035
79-81-2,1.3743826
106-29-6,1.6971047
61750-69-4,1.0585685
53083-27-5,0.44439518
19089-24-8,0.5369823
70381-67-8,0.60559255
17689-77-9,1.2113692
97-41-6,1.1159717
64748-21-6,-0.11222101
82163-55-1,0.298256
50765-88-3,-0.23812494
90729-41-2,0.32909206
57846-36-3,-0.18183023
39562-70-4,0.4925393
638-10-8,1.552462
106700-29-2,0.6314847
61792-11-8,0.98093855
24199-46-0,1.4410152
70381-28-1,0.66184956
132031-81-3,0.5367552
80310-21-0,0.6392605
56611-65-5,1.0264096
13925-07-0,0.75920045
70381-39-4,0.6745183
149543-07-7,-0.004970288
15911-11-2,0.75268126
88-29-9,0.911732
5957-75-5,0.046656173
3763-77-7,0.54761595
3568-56-7,-0.5147117
92065-18-4,-0.63735855
13539-59-8,0.3139601
2532-49-2,-0.15859775
78541-98-7,-0.11458142
55242-55-2,0.42539352
87344-11-4,0.6043553
1399-80-0,0.37327036
22345-47-7,0.3902758
82875-37-4,0.7814426
6670-95-7,0.53609794
33232-85-8,-0.01699403
1942-80-9,-0.552098
73698-61-0,0.4905872
134169-75-8,-0.009096111
57846-37-4,-0.16423298
85365-53-3,-0.11718642
167004-78-6,0.08029002
92-09-1,0.74104035
97-88-1,1.4783618
25044-01-3,1.0670521
20363-83-1,1.0407423
97-63-2,1.2947268
53153-66-5,1.1704895
1128-08-1,1.1727403
821-55-6,1.3560077
111-13-7,1.468391
110-43-0,1.3917633
591-78-6,1.3855711
591-60-6,1.4318641
59558-23-5,1.2143241
2748-88-1,0.31120607
64-77-7,0.99091905
63992-49-4,0.89226377
63992-50-7,0.8875989
63989-86-6,0.8725073
5736-70-9,0.8778292
1610-29-3,1.3835069
1147-62-2,0.45935148
31143-55-2,0.81961703
488-10-8,1.154604
1713-12-8,0.5319675
26485-82-5,0.40056524
70381-35-0,0.6937028
88107-10-2,0.7955973
112668-65-2,0.68336755
112668-63-0,0.6884223
81250-14-8,-0.06863081
112-14-1,1.6368777
142-92-7,1.5639704
628-63-7,1.624542
14959-86-5,1.4976721
39920-56-4,1.4106985
123-86-4,1.6185235
112-07-2,1.4934943
124-17-4,1.4581649
2442-10-6,1.2324995
66017-91-2,0.7822463
20706-25-6,1.4715238
109-60-4,1.5865996
141-97-9,1.4665086
122-82-7,1.0269197
623-36-9,1.3025745
102-27-2,0.71515924
148-69-6,0.5654225
88881-65-6,0.30562812
24441-47-2,-1.1409738
65516-17-8,0.22118786
104-90-5,0.9025957
13360-64-0,0.66341364
25646-77-9,0.714096
58066-96-9,0.3874623
30086-84-1,0.59941226
10443-70-6,0.49618283
25319-90-8,0.21378973
21062-28-2,-0.012269772
634-55-9,0.8434941
609-15-4,0.75637585
25331-92-4,-0.017275807
15622-65-8,0.25088838
15707-23-0,0.6486547
70381-33-8,0.65122294
600-14-6,1.2798539
40054-69-1,0.6170075
73839-77-7,0.75996506
74037-54-0,1.1057374
17335-06-7,0.8729447
52217-47-7,0.4092658
62-44-2,0.97519165
73-66-5,0.67775613
1897-96-7,0.43927172
19387-91-8,0.82261336
65986-80-3,0.54924244
15862-11-0,0.5999985
111-15-9,1.4979197
63843-89-0,0.027325543
58243-85-9,0.9302891
2984-66-9,-0.6762101
886-50-0,0.586698
78168-93-1,0.38659975
17751-75-6,0.05852948
21270-06-4,0.45590878
51308-54-4,0.086139366
66227-09-6,1.2048959
80763-10-6,1.2898142
153233-91-1,0.23319615
64529-56-2,0.5261541
59652-29-8,0.29817593
3398-69-4,0.40028724
15942-48-0,-0.15033454
65907-30-4,-0.51971036
33213-82-0,0.015428489
