CASRN,Toxic_xgboost_ecfp6counts-0,Toxic_xgboost_ecfp6counts-1
141-94-6,0.650928,0.349072
68289-21-4,0.34694266,0.65305734
67762-53-2,0.9368008,0.063199244
4559-86-8,0.59269553,0.40730447
10254-57-6,0.19874299,0.801257
53306-54-0,0.9202861,0.07971388
1941-30-6,0.72807324,0.27192676
682-01-9,0.918719,0.08128103
486455-65-6,0.5584972,0.4415028
126-57-8,0.9837292,0.016270813
11138-60-6,0.97726566,0.022734316
78-16-0,0.93169254,0.068307444
106-20-7,0.45375407,0.54624593
295800-70-3,0.6208425,0.37915748
10143-60-9,0.9073339,0.09266609
22174-70-5,0.9000715,0.09992853
19074-24-9,0.9884555,0.011544522
122-62-3,0.99026346,0.009736509
103-24-2,0.98704857,0.012951446
103-23-1,0.97495407,0.025045905
2915-57-3,0.98458326,0.01541674
84731-70-4,0.9102297,0.08977035
117-81-7,0.9713163,0.028683733
14858-73-2,0.90807605,0.09192396
3658-48-8,0.93264216,0.06735783
298-07-7,0.91218054,0.08781945
63449-80-9,0.74187326,0.2581267
7425-14-1,0.783135,0.21686502
18268-70-7,0.9775027,0.022497302
94-28-0,0.9760533,0.023946712
3282-85-7,0.45195943,0.54804057
7790-07-0,0.9588387,0.041161302
25724-60-1,0.9704671,0.02953292
10022-60-3,0.96047336,0.03952663
468-61-1,0.18692303,0.813077
4551-59-1,0.4010555,0.5989445
57647-13-9,0.083845615,0.9161544
27591-69-1,0.38936543,0.61063457
589-32-2,0.26232022,0.7376798
60012-88-6,0.5430605,0.45693952
78-53-5,0.037618518,0.9623815
115-79-7,0.4495687,0.5504313
122-31-6,0.7705255,0.22947447
78-10-4,0.91275465,0.08724533
17356-42-2,0.016162455,0.98383754
3689-24-5,0.09541702,0.904583
563-12-2,0.021602273,0.9783977
6926-73-4,0.053572416,0.9464276
78-07-9,0.6405534,0.3594466
20395-17-9,0.10907811,0.8909219
18300-10-2,0.054226637,0.94577336
2667-40-5,0.1140697,0.8859303
55134-13-9,0.82910144,0.17089859
33446-90-1,0.9258359,0.07416411
17980-47-1,0.872974,0.127026
27879-29-4,0.28273755,0.71726245
35435-21-3,0.8325465,0.1674535
55934-93-5,0.8161991,0.18380089
52030-05-4,0.581841,0.41815904
74051-80-2,0.14249629,0.8575037
2224-33-1,0.5664673,0.43353269
34036-80-1,0.44845504,0.55154496
6104-58-1,0.95385396,0.04614604
77-90-7,0.9007413,0.099258736
21327-31-1,0.1928522,0.8071478
5826-91-5,0.05017364,0.94982636
22787-59-3,0.28404486,0.71595514
22787-58-2,0.028891265,0.97110873
5675-57-0,0.1619367,0.8380633
3730-54-9,0.27126348,0.7287365
655-35-6,0.31398392,0.6860161
77-89-4,0.9027378,0.09726219
24748-23-0,0.34019464,0.65980536
70833-40-8,0.8464172,0.1535828
14504-73-5,0.10020876,0.89979124
67239-04-7,0.17100048,0.8289995
2595-54-2,0.04227847,0.95772153
5137-55-3,0.59696615,0.40303388
1421-14-3,0.4606294,0.5393706
2031-67-6,0.62958515,0.37041485
64036-99-3,0.02165705,0.97834295
26523-78-4,0.8546982,0.14530182
68814-95-9,0.51672983,0.4832702
538-23-8,0.95794463,0.042055365
68130-53-0,0.9666293,0.0333707
2528-38-3,0.24989909,0.7501009
5343-44-2,0.8838935,0.11610648
5831-80-1,0.9248055,0.0751945
51249-05-9,0.09505975,0.90494025
102-85-2,0.71296364,0.28703636
126-73-8,0.43491817,0.56508183
998-40-3,0.5794732,0.4205268
115-78-6,0.35190988,0.6480901
33060-84-3,0.17388934,0.82611066
150-50-5,0.22991753,0.7700825
78-48-8,0.13727927,0.8627207
60-01-5,0.926131,0.07386897
74125-01-2,0.102329016,0.897671
1496-94-2,0.39344168,0.6065583
21270-07-5,0.17877805,0.82122195
29806-73-3,0.95994425,0.040055737
7346-61-4,0.7552283,0.24477169
59130-69-7,0.9352669,0.06473309
63907-12-0,0.8936995,0.10630046
1114-71-2,0.35146713,0.64853287
64058-98-6,0.24131125,0.75868875
64059-01-4,0.353804,0.646196
13194-48-4,0.04105133,0.9589487
2511-15-1,0.08992958,0.9100704
90220-15-8,0.026628256,0.97337174
759-94-4,0.23321456,0.76678544
23184-66-9,0.2856996,0.7143004
51218-49-6,0.2870643,0.7129357
109965-82-4,0.15203571,0.8479643
20954-13-6,0.39121163,0.6087884
102579-43-1,0.59531814,0.40468186
168152-77-0,0.029262602,0.9707374
168152-89-4,0.014985621,0.9850144
92953-10-1,0.2076698,0.7923302
17088-72-1,0.31047702,0.689523
60763-41-9,0.7950898,0.20491022
35850-79-4,0.6539052,0.3460948
3309-68-0,0.017336428,0.9826636
18109-81-4,0.17697954,0.82302046
52736-14-8,0.8072479,0.19275211
3862-08-6,0.5681977,0.4318023
139-45-7,0.77811,0.22188994
38727-55-8,0.80124706,0.19875294
80472-88-4,0.20693266,0.79306734
51356-13-9,0.01843059,0.9815694
33210-44-5,0.03634703,0.96365297
33210-40-1,0.042361796,0.9576382
33210-43-4,0.040522873,0.9594771
1912-26-1,0.112082064,0.88791794
7779-27-3,0.23145133,0.76854867
78816-48-5,0.3270864,0.6729136
2941-55-1,0.22405577,0.77594423
4740-11-8,0.101478755,0.89852124
125-99-5,0.22984773,0.7701523
5957-17-5,0.53204346,0.46795657
2001-81-2,0.48401994,0.51598006
56-37-1,0.3108983,0.6891017
9004-57-3,0.76093245,0.23906758
7789-92-6,0.8530309,0.14696907
10140-99-5,0.45545703,0.54454297
122-51-0,0.32540476,0.67459524
63869-26-1,0.044006467,0.95599353
2425-25-4,0.05133009,0.9486699
5823-25-6,0.024346292,0.9756537
919-54-0,0.016046047,0.98395395
1067-47-6,0.87063503,0.12936498
919-30-2,0.49140817,0.50859183
76524-94-2,0.5597549,0.4402451
2602-34-8,0.5276312,0.47236878
14814-09-6,0.6007288,0.3992712
34708-08-2,0.5477896,0.45221046
15129-36-9,0.262883,0.737117
15267-95-5,0.23133016,0.76866984
122-52-1,0.54459274,0.45540726
78-40-0,0.04707223,0.95292777
78-38-6,0.06560433,0.9343957
126-75-0,0.026507974,0.973492
298-03-3,0.019099057,0.98090094
298-04-4,0.013797164,0.98620284
298-02-2,0.012021899,0.9879781
1186-09-0,0.024925351,0.97507465
2524-09-6,0.010609448,0.98939055
2497-07-6,0.012813687,0.9871863
2588-03-6,0.02134496,0.97865504
2496-91-5,0.037854612,0.9621454
4891-54-7,0.021571457,0.97842854
2497-06-5,0.027881682,0.9721183
2511-11-7,0.04549986,0.95450014
2404-78-6,0.03136158,0.9686384
688-62-0,0.2851963,0.7148037
1486-39-1,0.09412962,0.9058704
87310-56-3,0.19324082,0.8067592
55881-07-7,0.9443823,0.0556177
2229-55-2,0.85371834,0.14628164
79451-10-8,0.07128066,0.92871934
66996-10-9,0.03491819,0.9650818
30129-29-4,0.65334094,0.34665903
30129-30-7,0.46296805,0.53703195
55297-95-5,0.42780006,0.57219994
3004-70-4,0.20573479,0.7942652
53521-41-8,0.7663626,0.23363738
139-88-8,0.6869655,0.31303447
33820-53-0,0.5598202,0.44017982
5892-41-1,0.47878456,0.52121544
1912-25-0,0.25885713,0.74114287
2275-18-5,0.026044011,0.973956
87130-20-9,0.40426016,0.59573984
63873-23-4,0.04210341,0.9578966
78-52-4,0.01515007,0.98484993
63873-21-2,0.023524404,0.9764756
68649-11-6,0.9134835,0.08651647
63990-57-8,0.6229315,0.3770685
26818-53-1,0.5382358,0.46176422
27891-14-1,0.57703865,0.42296135
36756-79-3,0.1710217,0.8289783
19072-57-2,0.6024043,0.3975957
27591-74-8,0.1653353,0.8346647
66734-13-2,0.9418275,0.058172546
5593-20-4,0.9894366,0.01056337
5534-09-8,0.9762526,0.023747405
27778-88-7,0.02949047,0.9705095
27778-86-5,0.048603773,0.9513962
27778-84-3,0.04834616,0.95165384
27778-80-9,0.0504362,0.9495638
27778-82-1,0.044686913,0.9553131
27684-92-0,0.02319467,0.9768053
26259-45-0,0.1304453,0.8695547
40618-52-8,0.10760987,0.89239013
69-05-6,0.4072942,0.5927058
9050-04-8,0.06857324,0.93142676
60735-64-0,0.518144,0.481856
24151-93-7,0.24358267,0.75641733
2109-64-0,0.382612,0.617388
22457-23-4,0.33393383,0.66606617
541-85-5,0.7889934,0.21100657
14355-07-8,0.06828958,0.9317104
10032-15-2,0.7677079,0.23229213
14355-12-5,0.061330974,0.938669
10024-78-9,0.5558598,0.4441402
32838-28-1,0.856334,0.14366601
57-33-0,0.14220905,0.85779095
71-73-8,0.17419744,0.82580256
871-22-7,0.82430434,0.17569566
105-82-8,0.85475737,0.14524262
29122-60-9,0.09252179,0.9074782
186817-80-1,0.8850236,0.114976384
7452-79-1,0.7580235,0.24197647
7286-69-3,0.14297974,0.85702026
98886-44-3,0.07254827,0.9274517
125-64-4,0.28500903,0.714991
82834-16-0,0.7735653,0.22643468
730-07-4,0.39732397,0.60267603
33499-11-5,0.40067327,0.5993267
110429-62-4,0.653784,0.34621602
67050-64-0,0.053209662,0.94679034
54-05-7,0.06918013,0.93081987
1094-08-2,0.1739971,0.8260029
30238-41-6,0.39921272,0.6007873
64241-34-5,0.49329084,0.50670916
33499-13-7,0.6088295,0.39117053
63867-07-2,0.5152237,0.48477632
15299-99-7,0.10597235,0.89402765
4630-95-9,0.43421853,0.5657815
66968-39-6,0.14830458,0.8516954
105-57-7,0.8398898,0.16011016
137658-79-8,0.911759,0.08824096
7492-66-2,0.8906351,0.10936491
87820-88-0,0.685268,0.31473202
103890-78-4,0.7453766,0.2546234
52-60-8,0.030648947,0.96935105
50765-73-6,0.07041669,0.9295833
50765-89-4,0.036669016,0.963331
15763-48-1,0.4534899,0.5465101
22609-73-0,0.5931716,0.4068284
88045-99-2,0.86072373,0.13927624
56358-09-9,0.5667294,0.43327054
17702-79-3,0.0395934,0.9604066
41611-76-1,0.8379627,0.16203733
137-58-6,0.16916019,0.8308398
333-40-4,0.01561141,0.9843886
31775-20-9,0.9722865,0.027713472
105779-78-0,0.32391387,0.6760861
23191-75-5,0.28290588,0.7170941
88045-98-1,0.8280972,0.17190278
243973-20-8,0.6347683,0.3652317
57470-78-7,0.45087826,0.54912174
68227-46-3,0.72861207,0.2713879
5221-49-8,0.019248486,0.9807515
72542-60-0,0.1226238,0.8773762
79438-83-8,0.17293096,0.82706904
21409-78-9,0.09114075,0.90885925
40374-14-9,0.060498893,0.9395011
29232-93-7,0.044963956,0.95503604
13171-21-6,0.11711156,0.88288844
73521-00-3,0.051333547,0.94866645
73512-92-2,0.038543165,0.96145684
73520-99-7,0.03184682,0.9681532
73512-93-3,0.095056534,0.90494347
73512-94-4,0.07212889,0.9278711
128606-48-4,0.07753104,0.92246896
57846-34-1,0.04169327,0.9583067
74639-40-0,0.5897379,0.4102621
1716-09-2,0.023904145,0.97609586
14143-09-0,0.09041339,0.9095866
10097-26-4,0.9494904,0.050509572
688-84-6,0.9100516,0.08994841
105-16-8,0.7197775,0.28022248
1918-08-7,0.5498475,0.45015255
14663-66-2,0.06377125,0.93622875
14663-67-3,0.04839903,0.95160097
10137-90-3,0.7233627,0.27663732
78193-97-2,0.5620067,0.4379933
58458-55-2,0.45311958,0.5468804
103-09-3,0.87277555,0.12722445
29214-60-6,0.730664,0.26933596
23947-60-6,0.24962813,0.7503719
437717-43-6,0.58400595,0.41599405
6946-94-7,0.75684404,0.24315596
1187-74-2,0.6085556,0.39144439
274671-61-3,0.25229025,0.74770975
2728-05-4,0.40470588,0.5952941
134-62-3,0.44115078,0.5588492
52406-01-6,0.95357406,0.046425913
953-32-2,0.012984037,0.98701596
60090-47-3,0.36946952,0.6305305
15386-51-3,0.14173317,0.85826683
2728-04-3,0.22526944,0.77473056
56632-42-9,0.36288065,0.63711935
299-45-6,0.03313321,0.9668668
2425-15-2,0.014830172,0.9851698
51356-23-1,0.11165339,0.8883466
51356-21-9,0.038641214,0.9613588
3099-88-5,0.014934957,0.98506504
1942-78-5,0.017578185,0.9824218
108-35-0,0.030964494,0.9690355
15421-84-8,0.11604428,0.8839557
51356-11-7,0.035767496,0.9642325
51356-09-3,0.025892138,0.97410786
22439-40-3,0.024229288,0.9757707
5633-16-9,0.11454028,0.8854597
26662-09-9,0.11003035,0.88996965
21673-86-9,0.42217064,0.57782936
107812-70-4,0.16779286,0.83220714
105435-14-1,0.14238757,0.85761243
63979-26-0,0.20305192,0.7969481
75274-20-3,0.583173,0.41682702
2532-92-5,0.31294042,0.6870596
2544-52-7,0.037257016,0.962743
88-24-4,0.8019229,0.19807711
120-95-6,0.49918264,0.50081736
51959-14-9,0.42156172,0.5784383
79-74-3,0.78476256,0.21523742
10508-09-5,0.82705665,0.17294338
118134-30-8,0.5618269,0.43817312
3006-82-4,0.85425276,0.14574724
329-21-5,0.028635561,0.97136444
7795-74-6,0.036345363,0.96365464
69784-43-6,0.082420945,0.91757905
55285-14-8,0.049129963,0.95087004
42222-50-4,0.9872303,0.012769697
3489-84-7,0.5829587,0.41704133
919-94-8,0.46174598,0.538254
3734-95-0,0.05454737,0.94545263
129927-33-9,0.118017375,0.8819826
72590-77-3,0.94346744,0.056532566
13472-08-7,0.48098546,0.51901454
78-66-0,0.48537058,0.5146294
1338-23-4,0.7876339,0.21236607
154619-86-0,0.037128568,0.96287143
154619-76-8,0.022369325,0.9776307
82559-96-4,0.69127667,0.30872336
82558-50-7,0.5447675,0.45523253
4268-36-4,0.5336422,0.46635786
5340-36-3,0.5495219,0.45047808
33236-05-4,0.035271764,0.96472824
33210-49-0,0.028046131,0.97195387
17091-21-3,0.91974944,0.08025058
82560-06-3,0.57215464,0.42784536
123199-92-8,0.41447085,0.58552915
77-74-7,0.6238174,0.37618262
1986-53-4,0.81832623,0.18167374
55937-99-0,0.69788206,0.30211797
1081-95-4,0.032417774,0.9675822
103446-98-6,0.5686259,0.4313741
19457-00-2,0.61062694,0.38937303
30087-47-9,0.078738034,0.92126197
40373-31-7,0.01326257,0.98673743
2631-26-7,0.03780639,0.9621936
3772-48-3,0.010252714,0.9897473
1474-80-2,0.14173996,0.85826004
28616-48-0,0.07894319,0.9210568
55769-64-7,0.72266614,0.2773339
89591-51-5,0.21635878,0.7836412
63580-68-7,0.02497238,0.9750276
60244-63-5,0.10705143,0.89294857
60244-60-2,0.024497211,0.9755028
7396-58-9,0.8325263,0.16747364
63039-90-7,0.12631452,0.8736855
18886-42-5,0.34603852,0.6539615
37686-84-3,0.07184309,0.9281569
63717-17-9,0.071448445,0.92855155
57647-36-6,0.04490769,0.9550923
104907-82-6,0.29031205,0.70968795
80472-86-2,0.095466614,0.9045334
76597-98-3,0.72907895,0.27092105
513-10-0,0.016138017,0.983862
107-64-2,0.30769974,0.69230026
68391-05-9,0.617136,0.38286397
7173-51-5,0.587989,0.41201106
37335-68-5,0.42394924,0.57605076
124-03-8,0.27194834,0.72805166
6458-13-5,0.37183285,0.62816715
70206-24-5,0.7180728,0.28192723
53-46-3,0.06365335,0.93634665
50-10-2,0.15368503,0.84631497
54663-47-7,0.3115564,0.6884436
32358-09-1,0.38046104,0.61953896
24789-78-4,0.25272322,0.7472768
154-82-5,0.53046656,0.46953347
3700-98-9,0.25080675,0.74919325
3700-97-8,0.13759184,0.86240816
63917-07-7,0.07736212,0.9226379
38260-54-7,0.029340208,0.9706598
2830-87-7,0.16959834,0.83040166
21410-51-5,0.05772531,0.9422747
1634-78-2,0.06699413,0.93300587
121-75-5,0.059110224,0.9408898
18300-07-7,0.082086086,0.9179139
3344-12-5,0.111708045,0.88829195
51012-33-0,0.29078788,0.7092121
4104-03-4,0.03457129,0.9654287
816-19-3,0.84372854,0.15627147
15972-60-8,0.23813605,0.76186395
117666-91-8,0.58722734,0.41277266
117683-18-8,0.14853436,0.85146564
90220-16-9,0.03539878,0.9646012
673-04-1,0.16364253,0.8363575
64-96-0,0.11154443,0.88845557
109410-00-6,0.20997727,0.79002273
364-62-5,0.36595678,0.6340432
4093-35-0,0.16101962,0.8389804
19351-21-4,0.28622037,0.7137796
304-84-7,0.35971975,0.64028025
19351-20-3,0.26025683,0.7397432
55619-22-2,0.5399164,0.46008357
919-53-9,0.025215685,0.9747843
90245-33-3,0.058852017,0.941148
22082-34-4,0.041978598,0.9580214
78-62-6,0.7825172,0.21748278
1067-99-8,0.9022703,0.09772971
999-34-8,0.34903675,0.65096325
90220-14-7,0.08434278,0.9156572
996-04-3,0.05525142,0.9447486
996-05-4,0.072778285,0.9272217
63906-39-8,0.04516828,0.9548317
32744-43-7,0.06505716,0.93494284
7292-16-2,0.063869,0.936131
1014-70-6,0.18867314,0.81132686
21923-23-9,0.025363207,0.9746368
2404-05-9,0.026099622,0.9739004
51528-03-1,0.87923235,0.120767675
3254-62-4,0.06756711,0.9324329
115-90-2,0.012378514,0.9876215
6587-45-7,0.025277853,0.97472215
6132-17-8,0.075234115,0.9247659
101526-62-9,0.49874324,0.50125676
109-66-0,0.5329238,0.46707618
110-54-3,0.70746636,0.2925336
1120-21-4,0.8641605,0.13583952
112-40-3,0.84974813,0.15025184
629-50-5,0.84368724,0.15631275
629-59-4,0.88217896,0.11782105
593-45-3,0.9122311,0.08776893
112-95-8,0.9410597,0.0589403
2500-88-1,0.6385654,0.36143455
627-83-8,0.98408574,0.015914261
26322-14-5,0.9644229,0.035577122
41672-81-5,0.9631222,0.036877833
68153-95-7,0.6763283,0.3236717
53220-22-7,0.9486842,0.051315777
3234-85-3,0.97297174,0.027028248
16958-92-2,0.97778064,0.022219373
119-06-2,0.98448044,0.015519551
3648-20-2,0.982853,0.017146999
84-76-4,0.981552,0.018448004
50602-85-2,0.6154709,0.3845291
119-07-3,0.9864706,0.013529412
8007-43-0,0.94662297,0.05337706
629-82-3,0.87740284,0.122597136
123-79-5,0.9593063,0.040693678
1639-66-3,0.67379916,0.3262008
2915-53-9,0.9753491,0.024650881
117-84-0,0.972829,0.02717104
64896-70-4,0.85681236,0.14318764
1117-55-1,0.95014924,0.049850773
70729-68-9,0.9573624,0.042637564
110-32-7,0.9629407,0.037059307
10058-20-5,0.97877455,0.021225479
3006-15-3,0.6876811,0.31231895
84-75-3,0.9840733,0.015926706
61788-89-4,0.96988714,0.030112863
540-07-8,0.8972398,0.102760166
2050-92-2,0.62148154,0.37851846
13256-06-9,0.37934822,0.6206518
3913-02-8,0.83976614,0.16023387
2173-56-0,0.85608524,0.14391477
17810-51-4,0.22565049,0.7743495
21270-08-6,0.24767238,0.7523276
123-95-5,0.9679206,0.03207941
110-36-1,0.95791215,0.04208783
626-82-4,0.8808939,0.11910611
111-92-2,0.4466613,0.5533387
109-46-6,0.20219868,0.7978013
102-83-0,0.07438725,0.92561275
36167-63-2,0.22823119,0.7717688
102-81-8,0.3676355,0.6323645
102207-73-8,0.09143776,0.90856224
119-48-2,0.8898376,0.11016239
51861-34-8,0.27682728,0.7231727
924-16-3,0.20064509,0.7993549
127-59-3,0.59237677,0.40762323
142-96-1,0.75810874,0.24189126
112-48-1,0.91468894,0.085311025
112-98-1,0.9195219,0.0804781
141-17-3,0.9572116,0.042788357
16672-39-2,0.96968836,0.03031163
141-03-7,0.97187954,0.028120462
14338-82-0,0.5824554,0.4175446
6280-99-5,0.7886982,0.21130182
85-70-1,0.90298766,0.097012356
4056-77-3,0.83024216,0.16975784
1770-80-5,0.8603651,0.1396349
1962-75-0,0.872512,0.12748803
84-74-2,0.9421362,0.057863746
7483-25-2,0.9586569,0.041343123
4092-75-5,0.4985667,0.5014333
1809-19-4,0.76463044,0.23536953
130525-77-8,0.5139319,0.48606816
2528-36-1,0.18680763,0.81319237
544-40-1,0.5015004,0.49849957
2639-63-6,0.86073613,0.13926384
51-03-6,0.56132424,0.43867573
2430-27-5,0.7429174,0.2570826
63449-39-8,0.6335064,0.36649358
123-19-3,0.5595733,0.44042668
168152-91-8,0.024952233,0.97504777
74550-96-2,0.2847001,0.7152999
106-31-0,0.9262275,0.073772505
132-82-1,0.9135014,0.086498596
105-66-8,0.81229997,0.18770003
142-84-7,0.55953014,0.4404699
111757-17-6,0.18932045,0.81067955
99247-33-3,0.5713101,0.4286899
19044-88-3,0.8740506,0.12594938
52888-80-9,0.5932715,0.4067285
91893-38-8,0.09602761,0.9039724
57-66-9,0.71350193,0.2864981
925-15-5,0.9234189,0.07658113
136-45-8,0.69213074,0.30786926
58416-00-5,0.8833554,0.11664462
16066-38-9,0.85967,0.14033003
104-75-6,0.49634773,0.5036523
10137-80-1,0.3970874,0.6029126
113-48-4,0.86746716,0.13253284
104-76-7,0.6472592,0.35274082
5397-31-9,0.61544085,0.38455918
10213-75-9,0.8616819,0.13831812
4126-58-3,0.9224084,0.077591576
1559-35-9,0.69786894,0.30213106
2461-15-6,0.6421726,0.3578274
103-44-6,0.82505614,0.17494388
21270-19-9,0.19024938,0.8097506
17751-71-2,0.060654998,0.939345
17751-73-4,0.036032617,0.9639674
17751-72-3,0.03931117,0.9606888
17810-52-5,0.048219383,0.9517806
17751-68-7,0.057456255,0.94254375
21270-00-8,0.18539846,0.81460154
21270-16-6,0.054175436,0.94582456
21270-12-2,0.0694443,0.9305557
21270-02-0,0.043285787,0.9567142
21270-03-1,0.056931734,0.94306827
13361-34-7,0.83481884,0.16518117
1928-43-4,0.14052117,0.85947883
1928-47-8,0.22645462,0.7735454
7659-86-1,0.852586,0.14741403
103-11-7,0.7543932,0.24560681
5444-75-7,0.9027761,0.09722386
16397-70-9,0.79013777,0.20986223
4376-20-9,0.95051676,0.04948326
18750-05-5,0.87176657,0.12823343
6197-30-4,0.7340534,0.26594666
4248-21-9,0.8137788,0.18622117
24468-13-1,0.74839544,0.25160453
68037-57-0,0.81326234,0.18673767
1070-03-7,0.85036516,0.14963482
126-92-1,0.70151925,0.29848072
123-04-6,0.33208758,0.6679124
5588-20-5,0.35208732,0.6479127
63834-30-0,0.69660014,0.30339986
149-57-5,0.86515915,0.13484086
94-04-2,0.7857316,0.21426839
589-98-0,0.6679898,0.3320102
589-82-2,0.8102186,0.18978144
10138-47-3,0.73357344,0.2664266
10138-87-1,0.7232492,0.2767508
94-96-2,0.7584147,0.24158533
98532-85-5,0.08788514,0.91211486
10140-93-9,0.3641107,0.6358893
7492-37-7,0.67495495,0.32504505
106-68-3,0.77847916,0.22152084
106-35-4,0.74127173,0.2587283
