CASRN,Toxic_xgboost_mordred-0,Toxic_xgboost_mordred-1
752-56-7,0.6631278,0.3368722
74758-25-1,0.09554964,0.90445036
23505-41-1,0.08583975,0.91416025
154702-15-5,0.7189944,0.28100565
3857-80-5,0.092027605,0.9079724
3687-16-9,0.103187144,0.89681286
141-94-6,0.17009431,0.8299057
68289-21-4,0.2773211,0.7226789
67762-53-2,0.89223737,0.107762635
4559-86-8,0.4453221,0.5546779
10254-57-6,0.41911525,0.58088475
53306-54-0,0.964331,0.035669006
1941-30-6,0.31378752,0.6862125
682-01-9,0.8515434,0.14845654
486455-65-6,0.7998026,0.20019741
126-57-8,0.9610615,0.03893851
11138-60-6,0.9615816,0.038418397
78-16-0,0.95222855,0.047771465
106-20-7,0.31444448,0.6855555
295800-70-3,0.6979103,0.3020897
10143-60-9,0.8437371,0.1562629
22174-70-5,0.9520022,0.047997776
19074-24-9,0.9798677,0.02013232
122-62-3,0.9779021,0.022097878
103-24-2,0.97961545,0.020384526
103-23-1,0.9684833,0.031516645
2915-57-3,0.97566974,0.024330253
84731-70-4,0.9545311,0.045468915
117-81-7,0.9631949,0.0368051
14858-73-2,0.9683812,0.03161878
3658-48-8,0.94035137,0.059648614
298-07-7,0.88266784,0.11733217
63449-80-9,0.7458873,0.25411275
7425-14-1,0.9705337,0.02946625
18268-70-7,0.9581921,0.041807897
94-28-0,0.9613839,0.038616136
3282-85-7,0.67474073,0.32525927
7790-07-0,0.95711243,0.04288759
25724-60-1,0.9561519,0.043848116
10022-60-3,0.95887953,0.041120443
468-61-1,0.17914426,0.82085574
4551-59-1,0.16476917,0.8352308
57647-13-9,0.07351905,0.92648095
27591-69-1,0.19440544,0.80559456
589-32-2,0.15919435,0.84080565
60012-88-6,0.4937765,0.5062235
78-53-5,0.05170691,0.9482931
115-79-7,0.4701414,0.5298586
122-31-6,0.71299934,0.2870007
78-10-4,0.64663255,0.35336742
17356-42-2,0.081562996,0.918437
3689-24-5,0.06574327,0.93425673
563-12-2,0.047617137,0.95238286
6926-73-4,0.0654704,0.9345296
78-07-9,0.84770626,0.15229374
20395-17-9,0.07089341,0.9291066
18300-10-2,0.08882439,0.9111756
2667-40-5,0.056976378,0.9430236
55134-13-9,0.7585362,0.2414638
33446-90-1,0.87120986,0.12879013
17980-47-1,0.8847306,0.11526945
27879-29-4,0.11493498,0.885065
35435-21-3,0.89598244,0.10401753
55934-93-5,0.89426863,0.10573138
52030-05-4,0.69498944,0.3050106
74051-80-2,0.3737061,0.6262939
2224-33-1,0.6443932,0.3556068
34036-80-1,0.66629887,0.33370116
6104-58-1,0.8543806,0.14561942
77-90-7,0.88163054,0.118369445
21327-31-1,0.13489354,0.86510646
5826-91-5,0.08012384,0.91987616
22787-59-3,0.113428175,0.8865718
22787-58-2,0.019480288,0.9805197
5675-57-0,0.049112916,0.9508871
3730-54-9,0.15471178,0.8452882
655-35-6,0.33476788,0.6652321
77-89-4,0.8378998,0.16210023
24748-23-0,0.5371924,0.4628076
70833-40-8,0.88920105,0.11079897
14504-73-5,0.2629093,0.7370907
67239-04-7,0.6259781,0.3740219
2595-54-2,0.027934551,0.97206545
5137-55-3,0.33249688,0.6675031
1421-14-3,0.6602929,0.33970708
2031-67-6,0.8085488,0.19145118
64036-99-3,0.037568808,0.9624312
26523-78-4,0.8940085,0.1059915
68814-95-9,0.6573627,0.3426373
538-23-8,0.9791607,0.020839255
68130-53-0,0.97531915,0.024680823
2528-38-3,0.799808,0.20019199
5343-44-2,0.9376746,0.062325414
5831-80-1,0.925176,0.074824
51249-05-9,0.29553646,0.70446354
102-85-2,0.79145384,0.20854618
126-73-8,0.8710431,0.12895688
998-40-3,0.7793308,0.2206692
115-78-6,0.3003285,0.6996715
33060-84-3,0.25205326,0.74794674
150-50-5,0.22564375,0.77435625
78-48-8,0.12714154,0.87285846
60-01-5,0.8333426,0.16665737
74125-01-2,0.03763604,0.96236396
1496-94-2,0.7249569,0.27504307
21270-07-5,0.15854752,0.8414525
29806-73-3,0.97736365,0.022636335
7346-61-4,0.8996186,0.10038137
59130-69-7,0.9726908,0.027309207
63907-12-0,0.9274822,0.07251779
1114-71-2,0.23758072,0.7624193
64058-98-6,0.07956189,0.9204381
64059-01-4,0.052253664,0.94774634
13194-48-4,0.018685281,0.9813147
2511-15-1,0.17333508,0.8266649
90220-15-8,0.035636663,0.96436334
759-94-4,0.16765231,0.8323477
23184-66-9,0.43162024,0.56837976
51218-49-6,0.29771644,0.70228356
109965-82-4,0.07625556,0.92374444
20954-13-6,0.31384665,0.68615335
102579-43-1,0.5538464,0.44615358
168152-77-0,0.05967927,0.94032073
168152-89-4,0.11395371,0.8860463
92953-10-1,0.24454558,0.7554544
17088-72-1,0.4153241,0.5846759
60763-41-9,0.81345063,0.18654938
35850-79-4,0.6624187,0.3375813
3309-68-0,0.015995145,0.98400486
18109-81-4,0.14505696,0.85494304
52736-14-8,0.9320277,0.06797229
3862-08-6,0.8162315,0.18376853
139-45-7,0.94561255,0.054387473
38727-55-8,0.5986645,0.40133548
80472-88-4,0.13372755,0.86627245
51356-13-9,0.02486813,0.97513187
33210-44-5,0.044764042,0.95523596
33210-40-1,0.0559268,0.9440732
33210-43-4,0.06199771,0.9380023
1912-26-1,0.07547164,0.92452836
7779-27-3,0.15751481,0.8424852
78816-48-5,0.37235993,0.62764007
2941-55-1,0.14480609,0.8551939
4740-11-8,0.10298902,0.897011
125-99-5,0.13435298,0.865647
5957-17-5,0.3325749,0.6674251
2001-81-2,0.21416867,0.78583133
56-37-1,0.08652413,0.9134759
9004-57-3,0.76954144,0.23045854
7789-92-6,0.8040234,0.19597661
10140-99-5,0.47308564,0.52691436
122-51-0,0.78559077,0.21440926
63869-26-1,0.024266541,0.97573346
2425-25-4,0.034428537,0.96557146
5823-25-6,0.0337376,0.9662624
919-54-0,0.039132893,0.9608671
1067-47-6,0.61246043,0.38753957
919-30-2,0.61818457,0.38181546
76524-94-2,0.34011185,0.65988815
2602-34-8,0.84382963,0.15617037
14814-09-6,0.75223774,0.24776226
34708-08-2,0.46766007,0.53233993
15129-36-9,0.39244902,0.607551
15267-95-5,0.46092194,0.53907806
122-52-1,0.46745503,0.532545
78-40-0,0.17162699,0.828373
78-38-6,0.20629275,0.79370725
126-75-0,0.02174592,0.9782541
298-03-3,0.025933385,0.9740666
298-04-4,0.013763607,0.9862364
298-02-2,0.012722671,0.9872773
1186-09-0,0.019432962,0.98056704
2524-09-6,0.011761963,0.98823804
2497-07-6,0.017426968,0.98257303
2588-03-6,0.013586998,0.986413
2496-91-5,0.024900556,0.97509944
4891-54-7,0.037940204,0.9620598
2497-06-5,0.023970902,0.9760291
2511-11-7,0.026978076,0.9730219
2404-78-6,0.017063737,0.98293626
688-62-0,0.084799886,0.9152001
1486-39-1,0.040383756,0.95961624
87310-56-3,0.3281616,0.6718384
55881-07-7,0.74041724,0.25958273
2229-55-2,0.9416176,0.058382384
79451-10-8,0.04426241,0.9557376
66996-10-9,0.047047317,0.9529527
30129-29-4,0.87744945,0.12255057
30129-30-7,0.8612419,0.13875812
55297-95-5,0.35842347,0.6415765
3004-70-4,0.2085517,0.7914483
53521-41-8,0.8952796,0.104720406
139-88-8,0.48556817,0.51443183
33820-53-0,0.59582585,0.40417415
5892-41-1,0.15607291,0.8439271
1912-25-0,0.21500391,0.7849961
2275-18-5,0.022238493,0.9777615
87130-20-9,0.391397,0.608603
63873-23-4,0.04199618,0.9580038
78-52-4,0.020756662,0.97924334
63873-21-2,0.035333335,0.96466666
68649-11-6,0.94909155,0.05090843
63990-57-8,0.773115,0.22688502
26818-53-1,0.24558783,0.7544122
27891-14-1,0.51251864,0.48748133
36756-79-3,0.51546204,0.48453796
19072-57-2,0.13907832,0.8609217
27591-74-8,0.13862985,0.86137015
66734-13-2,0.93034345,0.06965654
5593-20-4,0.92358655,0.076413475
5534-09-8,0.92585653,0.07414347
27778-88-7,0.03359866,0.96640134
27778-86-5,0.022227347,0.97777265
27778-84-3,0.031876206,0.9681238
27778-80-9,0.02711606,0.97288394
27778-82-1,0.05382806,0.94617194
27684-92-0,0.024214089,0.9757859
26259-45-0,0.22364175,0.77635825
40618-52-8,0.041780055,0.95821995
69-05-6,0.49062687,0.5093731
9050-04-8,0.088422954,0.91157705
60735-64-0,0.4913506,0.5086494
24151-93-7,0.16626167,0.8337383
2109-64-0,0.21092314,0.78907686
22457-23-4,0.16845065,0.83154935
541-85-5,0.83919597,0.16080406
14355-07-8,0.18460304,0.81539696
10032-15-2,0.9776682,0.022331787
14355-12-5,0.14937228,0.8506277
10024-78-9,0.08916658,0.9108334
32838-28-1,0.8528805,0.1471195
57-33-0,0.11060804,0.88939196
71-73-8,0.09527719,0.9047228
871-22-7,0.93738645,0.06261353
105-82-8,0.8609098,0.1390902
29122-60-9,0.059898436,0.94010156
186817-80-1,0.9462514,0.053748608
7452-79-1,0.9611632,0.038836762
7286-69-3,0.2003448,0.7996552
98886-44-3,0.026706338,0.97329366
125-64-4,0.30012733,0.6998727
82834-16-0,0.76689756,0.23310241
730-07-4,0.35003608,0.6499639
33499-11-5,0.26550174,0.73449826
110429-62-4,0.55479574,0.44520426
67050-64-0,0.118006945,0.88199306
54-05-7,0.070955455,0.92904454
1094-08-2,0.12020177,0.87979823
30238-41-6,0.37804085,0.62195915
64241-34-5,0.41537344,0.58462656
33499-13-7,0.6670243,0.3329757
63867-07-2,0.26239717,0.73760283
15299-99-7,0.57144964,0.4285504
4630-95-9,0.10516667,0.8948333
66968-39-6,0.18748325,0.81251675
105-57-7,0.86038744,0.13961254
137658-79-8,0.7670758,0.23292424
7492-66-2,0.93321836,0.066781625
87820-88-0,0.6736722,0.32632783
103890-78-4,0.6466203,0.35337976
52-60-8,0.050070822,0.9499292
50765-73-6,0.03503543,0.96496457
50765-89-4,0.03634292,0.9636571
15763-48-1,0.3684042,0.6315958
22609-73-0,0.5457101,0.45428988
88045-99-2,0.6426807,0.3573193
56358-09-9,0.5754492,0.42455074
17702-79-3,0.06981903,0.93018097
41611-76-1,0.88850445,0.11149553
137-58-6,0.20458221,0.7954178
333-40-4,0.06853211,0.9314679
31775-20-9,0.945146,0.054853953
105779-78-0,0.13175601,0.868244
23191-75-5,0.48000586,0.51999414
88045-98-1,0.69774103,0.30225897
243973-20-8,0.47436392,0.5256361
57470-78-7,0.42176133,0.57823867
68227-46-3,0.3693593,0.6306407
5221-49-8,0.032460272,0.9675397
72542-60-0,0.08974558,0.9102544
79438-83-8,0.10480839,0.8951916
21409-78-9,0.061684728,0.9383153
40374-14-9,0.09407717,0.90592283
29232-93-7,0.0324471,0.9675529
13171-21-6,0.04640311,0.9535969
73521-00-3,0.2472139,0.7527861
73512-92-2,0.14747083,0.85252917
73520-99-7,0.19089603,0.80910397
73512-93-3,0.26629215,0.73370785
73512-94-4,0.28669018,0.7133098
128606-48-4,0.020204186,0.9797958
57846-34-1,0.1360814,0.8639186
74639-40-0,0.58606505,0.41393492
1716-09-2,0.017523766,0.98247623
14143-09-0,0.07039261,0.9296074
10097-26-4,0.9577006,0.042299416
688-84-6,0.95324445,0.04675553
105-16-8,0.49133617,0.50866383
1918-08-7,0.5278542,0.47214577
14663-66-2,0.10897684,0.89102316
14663-67-3,0.055470943,0.94452906
10137-90-3,0.9187151,0.081284896
78193-97-2,0.37939936,0.62060064
58458-55-2,0.42229694,0.57770306
103-09-3,0.96369374,0.036306255
29214-60-6,0.91805816,0.08194184
23947-60-6,0.1749512,0.8250488
437717-43-6,0.86568624,0.13431378
6946-94-7,0.7680603,0.23193966
1187-74-2,0.92192984,0.07807017
274671-61-3,0.16348213,0.8365179
2728-05-4,0.31617725,0.68382275
134-62-3,0.46396714,0.53603286
52406-01-6,0.8506222,0.14937784
953-32-2,0.014729023,0.985271
60090-47-3,0.20875555,0.79124445
15386-51-3,0.07856196,0.92143804
2728-04-3,0.3180654,0.6819346
56632-42-9,0.40771377,0.5922862
299-45-6,0.057143033,0.94285697
2425-15-2,0.02646947,0.97353053
51356-23-1,0.024488807,0.9755112
51356-21-9,0.026521564,0.97347844
3099-88-5,0.019114792,0.9808852
1942-78-5,0.016881764,0.98311824
108-35-0,0.017294526,0.9827055
15421-84-8,0.039818406,0.9601816
51356-11-7,0.025758743,0.97424126
51356-09-3,0.025337279,0.9746627
22439-40-3,0.043817103,0.9561829
5633-16-9,0.13703817,0.8629618
26662-09-9,0.036494434,0.96350557
21673-86-9,0.4974441,0.5025559
107812-70-4,0.38170815,0.61829185
105435-14-1,0.54679435,0.45320565
63979-26-0,0.21278638,0.7872136
75274-20-3,0.55904293,0.44095704
2532-92-5,0.19610816,0.80389184
2544-52-7,0.022049844,0.97795016
88-24-4,0.83799887,0.16200116
120-95-6,0.6924203,0.3075797
51959-14-9,0.14746046,0.85253954
79-74-3,0.5972963,0.4027037
10508-09-5,0.86432534,0.13567464
118134-30-8,0.42690492,0.5730951
3006-82-4,0.88313776,0.11686225
329-21-5,0.09093523,0.90906477
7795-74-6,0.057466865,0.94253314
69784-43-6,0.113936365,0.88606364
55285-14-8,0.090817094,0.9091829
42222-50-4,0.967438,0.032561988
3489-84-7,0.6869079,0.31309214
919-94-8,0.7118905,0.28810948
3734-95-0,0.049607813,0.9503922
129927-33-9,0.14396161,0.8560384
72590-77-3,0.8971641,0.1028359
13472-08-7,0.14186376,0.85813624
78-66-0,0.7097712,0.29022878
1338-23-4,0.6424766,0.35752338
154619-86-0,0.055595577,0.9444044
154619-76-8,0.048864484,0.9511355
82559-96-4,0.58194053,0.4180595
82558-50-7,0.37876886,0.62123114
4268-36-4,0.58102036,0.41897967
5340-36-3,0.835451,0.164549
33236-05-4,0.04067117,0.95932883
33210-49-0,0.053212345,0.94678766
17091-21-3,0.55598336,0.44401664
82560-06-3,0.07551783,0.92448217
123199-92-8,0.34198004,0.65801996
77-74-7,0.5707959,0.42920408
1986-53-4,0.78934664,0.21065336
55937-99-0,0.6578437,0.34215626
1081-95-4,0.025989473,0.9740105
103446-98-6,0.31172514,0.68827486
19457-00-2,0.26802546,0.73197454
30087-47-9,0.04828322,0.9517168
40373-31-7,0.093809724,0.9061903
2631-26-7,0.13020676,0.86979324
3772-48-3,0.019890666,0.98010933
1474-80-2,0.047360957,0.95263904
28616-48-0,0.051561773,0.9484382
55769-64-7,0.6900649,0.30993512
89591-51-5,0.3123467,0.6876533
63580-68-7,0.0353387,0.9646613
60244-63-5,0.06560099,0.934399
60244-60-2,0.045030236,0.95496976
7396-58-9,0.7301644,0.26983556
63039-90-7,0.04347396,0.95652604
18886-42-5,0.041590095,0.9584099
37686-84-3,0.050270736,0.94972926
63717-17-9,0.037190914,0.9628091
57647-36-6,0.043784738,0.95621526
104907-82-6,0.23518652,0.7648135
80472-86-2,0.060192943,0.93980706
76597-98-3,0.40139413,0.5986059
513-10-0,0.0716818,0.9283182
107-64-2,0.35612762,0.6438724
68391-05-9,0.62315726,0.37684274
7173-51-5,0.20081758,0.7991824
37335-68-5,0.12226385,0.87773615
124-03-8,0.18894851,0.8110515
6458-13-5,0.19491541,0.8050846
70206-24-5,0.46366262,0.5363374
53-46-3,0.08068991,0.9193101
50-10-2,0.08081603,0.91918397
54663-47-7,0.3420471,0.6579529
32358-09-1,0.2730896,0.7269104
24789-78-4,0.40817875,0.59182125
154-82-5,0.7288419,0.27115813
3700-98-9,0.20628232,0.7937177
3700-97-8,0.07951218,0.9204878
63917-07-7,0.061285436,0.93871456
38260-54-7,0.041101158,0.95889884
2830-87-7,0.08110058,0.9188994
21410-51-5,0.039328992,0.960671
1634-78-2,0.036551774,0.9634482
121-75-5,0.05598104,0.94401896
18300-07-7,0.059221566,0.94077843
3344-12-5,0.04255855,0.95744145
51012-33-0,0.628337,0.371663
4104-03-4,0.023382187,0.9766178
816-19-3,0.9429356,0.05706443
15972-60-8,0.33561194,0.66438806
117666-91-8,0.45023268,0.5497673
117683-18-8,0.26687992,0.7331201
90220-16-9,0.021501958,0.97849804
673-04-1,0.32924545,0.67075455
64-96-0,0.11980116,0.88019884
109410-00-6,0.054913163,0.94508684
364-62-5,0.2881338,0.7118662
4093-35-0,0.18464857,0.8153514
19351-21-4,0.5393479,0.46065214
304-84-7,0.47814077,0.5218592
19351-20-3,0.22807342,0.7719266
55619-22-2,0.58429193,0.41570807
919-53-9,0.028465271,0.9715347
90245-33-3,0.021775782,0.9782242
22082-34-4,0.017329156,0.98267084
78-62-6,0.84002143,0.15997855
1067-99-8,0.53425026,0.46574977
999-34-8,0.06957102,0.930429
90220-14-7,0.0460757,0.9539243
996-04-3,0.027539551,0.97246045
996-05-4,0.031192243,0.96880776
63906-39-8,0.025957584,0.9740424
32744-43-7,0.11283857,0.88716143
7292-16-2,0.07604557,0.9239544
1014-70-6,0.084795,0.915205
21923-23-9,0.0170542,0.9829458
2404-05-9,0.022279203,0.9777208
51528-03-1,0.48666048,0.5133395
3254-62-4,0.026585698,0.9734143
115-90-2,0.016799927,0.9832001
6587-45-7,0.022875488,0.9771245
6132-17-8,0.051988363,0.94801164
101526-62-9,0.6230346,0.3769654
109-66-0,0.9064006,0.093599394
110-54-3,0.7651953,0.23480469
1120-21-4,0.9538849,0.046115123
112-40-3,0.9578176,0.042182382
629-50-5,0.95662504,0.04337495
629-59-4,0.95554197,0.044458024
593-45-3,0.96441907,0.035580933
112-95-8,0.96039844,0.03960156
2500-88-1,0.9295253,0.07047469
627-83-8,0.97731787,0.022682156
26322-14-5,0.94615084,0.053849187
41672-81-5,0.92638177,0.07361823
68153-95-7,0.79371405,0.20628594
53220-22-7,0.9427917,0.05720827
3234-85-3,0.9765094,0.023490615
16958-92-2,0.97371227,0.026287735
119-06-2,0.9778688,0.022131229
3648-20-2,0.9740037,0.02599635
84-76-4,0.968473,0.031526968
50602-85-2,0.5978414,0.40215865
119-07-3,0.97306496,0.026935058
8007-43-0,0.93904924,0.060950764
629-82-3,0.908186,0.09181398
123-79-5,0.9721199,0.027880091
1639-66-3,0.59356976,0.40643027
2915-53-9,0.97368824,0.026311766
117-84-0,0.9669557,0.03304426
64896-70-4,0.9424752,0.05752478
1117-55-1,0.97382814,0.026171882
70729-68-9,0.9524006,0.04759936
110-32-7,0.95744115,0.04255884
10058-20-5,0.96635866,0.03364137
3006-15-3,0.5238178,0.47618222
84-75-3,0.9570014,0.042998612
61788-89-4,0.94931686,0.05068313
540-07-8,0.96982855,0.030171428
2050-92-2,0.1249668,0.8750332
13256-06-9,0.19509262,0.8049074
3913-02-8,0.9422821,0.057717934
2173-56-0,0.9577821,0.042217895
17810-51-4,0.111242115,0.8887579
21270-08-6,0.112611115,0.8873889
123-95-5,0.9783968,0.021603225
110-36-1,0.97900033,0.020999685
626-82-4,0.9599986,0.04000142
111-92-2,0.05971718,0.9402828
109-46-6,0.12543964,0.87456036
102-83-0,0.04848689,0.9515131
36167-63-2,0.14538324,0.85461676
102-81-8,0.1236459,0.8763541
102207-73-8,0.19981188,0.8001881
119-48-2,0.5903254,0.40967458
51861-34-8,0.40256113,0.5974389
924-16-3,0.04236287,0.95763713
127-59-3,0.30973876,0.69026124
142-96-1,0.82903826,0.17096175
112-48-1,0.8973878,0.10261221
112-98-1,0.8112749,0.18872511
141-17-3,0.9113274,0.0886726
16672-39-2,0.8888361,0.11116389
141-03-7,0.96764463,0.032355357
14338-82-0,0.520954,0.47904596
6280-99-5,0.93723416,0.06276582
85-70-1,0.88995886,0.11004111
4056-77-3,0.9511965,0.048803497
1770-80-5,0.37759334,0.62240666
1962-75-0,0.92710364,0.072896376
84-74-2,0.9305029,0.06949708
7483-25-2,0.8885919,0.11140811
4092-75-5,0.3121531,0.6878469
1809-19-4,0.7159257,0.28407428
130525-77-8,0.66956806,0.33043197
2528-36-1,0.2322793,0.7677207
544-40-1,0.88227814,0.11772184
2639-63-6,0.973455,0.02654501
51-03-6,0.7599338,0.24006617
2430-27-5,0.52206063,0.4779394
63449-39-8,0.7623474,0.23765261
123-19-3,0.8040954,0.19590464
168152-91-8,0.057059288,0.9429407
74550-96-2,0.25299257,0.7470074
106-31-0,0.8317499,0.16825007
132-82-1,0.72999084,0.27000913
105-66-8,0.95080495,0.049195074
142-84-7,0.046433628,0.9535664
111757-17-6,0.19478214,0.80521786
99247-33-3,0.80317914,0.19682087
19044-88-3,0.5149501,0.4850499
52888-80-9,0.54331875,0.45668125
91893-38-8,0.085369885,0.9146301
57-66-9,0.34865916,0.65134084
925-15-5,0.92867804,0.07132199
136-45-8,0.55874336,0.44125664
58416-00-5,0.68466073,0.31533927
16066-38-9,0.6081978,0.39180216
104-75-6,0.048827052,0.95117295
10137-80-1,0.40461838,0.5953816
113-48-4,0.40868378,0.5913162
104-76-7,0.67172176,0.32827824
5397-31-9,0.15882844,0.84117156
10213-75-9,0.7695663,0.23043367
4126-58-3,0.9008174,0.099182606
1559-35-9,0.8126939,0.18730612
2461-15-6,0.8237666,0.17623341
103-44-6,0.90389615,0.09610383
21270-19-9,0.072411954,0.92758805
17751-71-2,0.06114453,0.93885547
17751-73-4,0.05458814,0.94541186
17751-72-3,0.074258864,0.92574114
17810-52-5,0.08912271,0.9108773
17751-68-7,0.10831177,0.8916882
21270-00-8,0.08560884,0.91439116
21270-16-6,0.103703916,0.8962961
21270-12-2,0.09715456,0.90284544
21270-02-0,0.13489425,0.86510575
21270-03-1,0.14633822,0.8536618
13361-34-7,0.78245914,0.21754085
1928-43-4,0.170088,0.829912
1928-47-8,0.17955774,0.82044226
7659-86-1,0.90120167,0.09879836
103-11-7,0.81891435,0.18108566
5444-75-7,0.92270195,0.07729802
16397-70-9,0.6265284,0.37347162
4376-20-9,0.8640189,0.13598107
18750-05-5,0.8993316,0.100668386
6197-30-4,0.6396272,0.36037278
4248-21-9,0.580663,0.41933697
24468-13-1,0.7351597,0.2648403
68037-57-0,0.84580797,0.15419202
1070-03-7,0.79878116,0.20121881
126-92-1,0.6419872,0.35801277
123-04-6,0.8636556,0.13634439
5588-20-5,0.31103247,0.6889675
63834-30-0,0.88148284,0.118517175
149-57-5,0.86571854,0.13428144
94-04-2,0.83546364,0.16453633
589-98-0,0.8592738,0.14072624
589-82-2,0.72855115,0.27144885
10138-47-3,0.7336486,0.2663514
10138-87-1,0.92835534,0.07164465
94-96-2,0.90640336,0.093596615
98532-85-5,0.047255874,0.9527441
10140-93-9,0.048070014,0.95193
7492-37-7,0.8542042,0.14579584
106-68-3,0.7881911,0.21180889
106-35-4,0.78807884,0.21192117
