CASRN,LD50_xgboost_ecfp6counts
74639-40-0,-0.06882906
1716-09-2,-0.5775205
14143-09-0,-1.2227285
10097-26-4,1.513678
105-16-8,1.2770873
1918-08-7,0.4187011
14663-66-2,-0.01650709
14663-67-3,-0.060373455
10137-90-3,1.1524001
78193-97-2,0.4904323
58458-55-2,0.8012826
103-09-3,1.3329357
23947-60-6,0.55489486
6946-94-7,0.8635244
274671-61-3,0.66092163
2728-05-4,0.91577107
134-62-3,0.7460638
52406-01-6,0.25128573
953-32-2,-0.8307654
60090-47-3,0.65066963
15386-51-3,0.33823094
2728-04-3,0.48922035
299-45-6,-1.2830312
2425-15-2,-0.8371055
51356-23-1,-1.0926334
51356-21-9,-0.6752594
3099-88-5,-1.0234047
1942-78-5,-0.73228997
108-35-0,-0.67249
15421-84-8,0.5448054
51356-11-7,-1.4095054
51356-09-3,-1.0328051
22439-40-3,-0.7387087
5633-16-9,0.33408305
26662-09-9,-1.1854845
63979-26-0,0.49015892
2544-52-7,-1.2239126
120-95-6,0.73079413
51959-14-9,0.76944387
79-74-3,1.2346007
10508-09-5,1.1346455
329-21-5,-0.8147641
7795-74-6,-1.1833485
69784-43-6,-0.9896405
55285-14-8,-1.2068555
3489-84-7,0.32830495
3734-95-0,-1.1351
129927-33-9,0.53685236
72590-77-3,0.3388635
13472-08-7,0.6110197
78-66-0,0.8749974
1338-23-4,1.4842634
154619-86-0,-1.1355224
154619-76-8,-1.1474565
4268-36-4,0.6787347
5340-36-3,0.9017554
33236-05-4,0.115060925
33210-49-0,0.096462764
17091-21-3,1.2250603
82560-06-3,0.7550378
77-74-7,1.1727034
55937-99-0,0.8723108
1081-95-4,-1.4997321
103446-98-6,0.4683413
30087-47-9,0.12723601
40373-31-7,-0.32693356
2631-26-7,-0.048912495
3772-48-3,-1.4144708
1474-80-2,-1.0690945
28616-48-0,-0.6167772
55769-64-7,0.27575582
89591-51-5,0.099480644
63580-68-7,-1.7793895
60244-63-5,-0.77807903
60244-60-2,-0.7525139
63039-90-7,-0.085877225
18886-42-5,0.72391784
37686-84-3,0.039483786
63717-17-9,-0.911531
57647-36-6,0.43675253
104907-82-6,0.66966116
76597-98-3,0.1616583
513-10-0,-1.5368038
107-64-2,0.31331998
68391-05-9,0.47359285
7173-51-5,0.30909786
37335-68-5,0.29979223
124-03-8,0.49199098
6458-13-5,0.1836645
70206-24-5,0.5291067
53-46-3,0.20575395
50-10-2,0.46430042
24789-78-4,0.19128107
3700-98-9,0.00016888091
3700-97-8,-0.055380158
63917-07-7,-0.8270546
38260-54-7,0.029315159
2830-87-7,0.10089774
21410-51-5,-0.24375315
1634-78-2,-0.29842106
121-75-5,0.08987627
18300-07-7,-0.6226473
3344-12-5,0.03413524
51012-33-0,0.3495631
4104-03-4,-0.76895607
15972-60-8,0.7129121
117666-91-8,0.7297789
117683-18-8,0.48003024
90220-16-9,-1.0904864
673-04-1,0.6313528
64-96-0,0.3287353
109410-00-6,0.24648789
364-62-5,0.4353653
4093-35-0,0.37597215
19351-21-4,0.25863355
304-84-7,0.90108997
19351-20-3,0.6342399
55619-22-2,0.22309516
919-53-9,-0.9628933
90245-33-3,-1.1064333
22082-34-4,-0.782206
78-62-6,1.0583999
1067-99-8,1.1880518
999-34-8,0.33174503
90220-14-7,-0.5136407
996-04-3,-0.8792673
996-05-4,-1.0698478
63906-39-8,-0.2304002
32744-43-7,-0.7405745
7292-16-2,-0.8253728
1014-70-6,0.50772506
21923-23-9,-0.8280461
2404-05-9,-1.4314239
51528-03-1,0.70479476
3254-62-4,-1.2248925
115-90-2,-1.2261974
6587-45-7,-1.4179567
6132-17-8,-1.1587944
101526-62-9,0.619108
109-66-0,1.1757458
110-54-3,1.1425651
84-76-4,1.8672351
50602-85-2,0.52351
119-07-3,1.4794766
123-79-5,1.1013501
1639-66-3,0.89862466
2915-53-9,1.2964313
117-84-0,1.8278352
70729-68-9,1.1115707
110-32-7,1.2243693
10058-20-5,1.2689853
3006-15-3,0.79580116
84-75-3,1.5197105
2050-92-2,1.0334089
13256-06-9,0.64635354
3913-02-8,1.3566526
17810-51-4,0.030077174
21270-08-6,0.058619328
123-95-5,1.4426571
111-92-2,0.9814832
109-46-6,0.6856618
102-83-0,0.6691089
36167-63-2,-0.13383536
102-81-8,1.016185
102207-73-8,0.56499976
119-48-2,0.7595174
51861-34-8,0.6845254
924-16-3,0.85758907
127-59-3,0.71204334
142-96-1,1.2751521
112-48-1,1.3238081
112-98-1,1.1877537
141-17-3,1.3514274
16672-39-2,1.1732391
141-03-7,1.3924938
85-70-1,1.4007602
4056-77-3,1.0761739
84-74-2,1.4756987
7483-25-2,1.5492663
4092-75-5,0.5188694
1809-19-4,1.2311527
130525-77-8,0.9106238
2528-36-1,-0.34886894
544-40-1,0.69408923
51-03-6,0.5032074
2430-27-5,1.086616
123-19-3,0.80213714
74550-96-2,0.66032314
106-31-0,1.3963957
132-82-1,1.1473672
105-66-8,1.2861453
142-84-7,1.198468
99247-33-3,0.8167782
52888-80-9,0.83689994
91893-38-8,-0.1574625
57-66-9,0.90996903
925-15-5,1.357888
136-45-8,0.79258704
16066-38-9,1.1106361
104-75-6,0.983617
10137-80-1,0.81553
113-48-4,0.99814063
104-76-7,1.2794013
5397-31-9,1.0528133
10213-75-9,1.1853192
4126-58-3,1.3486055
1559-35-9,1.2432334
2461-15-6,1.1449956
103-44-6,1.2572509
21270-19-9,0.24220845
17751-71-2,-0.17527738
17751-73-4,-0.19453116
17751-72-3,-0.16562483
17810-52-5,-0.2075503
17751-68-7,-0.11788868
21270-00-8,0.14380354
21270-16-6,-0.113614656
21270-12-2,-0.13585208
21270-02-0,-0.039954387
21270-03-1,0.058124416
1928-43-4,0.48609528
1928-47-8,0.3781468
7659-86-1,0.92942196
103-11-7,1.0947709
5444-75-7,1.0652748
4376-20-9,1.271893
18750-05-5,1.2278476
4248-21-9,1.1033185
24468-13-1,0.8466423
68037-57-0,1.1376196
1070-03-7,1.115815
126-92-1,0.89438194
123-04-6,0.8419855
63834-30-0,0.9065922
149-57-5,1.1569866
94-04-2,1.0975728
589-82-2,1.2306062
10138-47-3,1.2780938
10138-87-1,1.2910671
94-96-2,1.2089101
10140-93-9,0.7050088
7492-37-7,0.8082997
106-35-4,1.2085264
645-62-5,0.8542388
5309-52-4,1.1456832
6187-24-2,1.2696183
1471-51-8,0.9340741
126-93-2,0.77856916
13360-63-9,1.0746598
1861-40-1,0.4222865
91893-68-4,-0.17946897
68439-49-6,1.2803758
15523-43-0,1.1088433
628-81-9,1.3093073
4413-13-2,1.3328519
33236-04-3,0.38407418
106-32-1,1.4490106
79714-31-1,0.7066399
3570-46-5,0.38838646
64058-22-6,-0.294403
105-54-4,1.2719864
101205-02-1,0.35987496
40626-35-5,-0.62936664
89784-60-1,-0.5404914
38527-91-2,-0.16928512
38524-82-2,-0.26736695
34643-46-4,-0.6105638
24017-17-2,-0.93595606
18596-67-3,-0.56354606
617-79-8,0.95852786
97-95-0,1.2858785
10232-91-4,1.2931948
10213-74-8,1.2529762
4468-93-3,1.1910373
63907-07-3,0.4172452
3953-10-4,0.9187192
97-96-1,1.1179386
19962-50-6,0.501292
88-09-5,1.1362529
4189-10-0,0.85229737
584-02-1,1.0719196
101952-86-7,0.6867956
96-22-0,1.2091007
72-56-0,0.6214561
579-66-8,0.985527
38725-95-0,0.7725446
522-40-7,0.6565499
123-62-6,1.2715662
5837-63-8,0.9103866
41340-25-4,0.27172604
136572-09-3,-0.54508513
105-37-3,1.2608485
512-48-1,0.95616925
702-54-5,0.31995475
1085-91-2,0.5744244
77-04-3,0.73395616
80733-97-7,0.53166944
23192-94-1,0.61004347
99233-24-6,0.7170662
33236-13-4,0.4541094
109-89-7,0.965828
105-55-5,0.6443889
122-34-9,0.38027197
104-78-9,0.75964063
17074-44-1,-0.4729868
27312-93-2,0.19275993
6009-67-2,0.47183943
100-36-7,0.655369
3105-97-3,0.31915563
17074-42-9,-0.3789071
51-06-9,0.45988262
23205-22-3,-0.08207405
34341-24-7,0.50762755
100-37-8,1.0328895
63883-13-6,-0.11525652
53421-38-8,0.2848608
911-45-5,0.3924423
2192-21-4,0.6223382
2426-54-2,0.624008
31329-57-4,0.1428031
34580-71-7,-0.22990073
1641-74-3,0.76256436
2597-09-3,0.39686897
57-37-4,0.8034323
13352-70-0,0.20431982
3735-90-8,0.16495387
3010-02-4,0.9152717
102394-31-0,0.32459894
67367-65-1,0.41816017
2431-96-1,0.93231446
2315-36-8,0.8055737
120-21-8,0.6299187
2198-58-5,0.57542765
5123-63-7,0.71152586
17754-90-4,0.5393514
25953-06-4,0.5168448
1696-17-9,0.8633141
19311-91-2,0.86740273
63886-92-0,0.49439907
63887-51-4,0.46662262
32773-96-9,0.7060188
101152-94-7,0.45569822
14052-72-3,0.14552872
28249-77-6,0.5410042
95-06-7,0.48908216
95-30-7,0.43998232
1331-27-7,0.9736058
13056-98-9,0.4919718
21600-43-1,0.40551445
55-18-5,0.5856176
6794-94-1,0.989346
1709-50-8,0.7458211
36014-71-8,-1.442117
1050-48-2,0.2960241
60-29-7,1.2189609
629-14-1,1.3776963
112-36-7,1.4282769
763-69-9,1.3274469
110-40-7,1.366181
123-25-1,1.1532956
27292-19-9,0.7863547
22125-35-5,0.5396495
59894-95-0,0.33988443
73090-70-7,0.8225776
98318-25-3,0.5103434
84-66-2,1.3450208
1609-47-8,1.289375
502-55-6,-0.009822967
1851-77-0,0.16241598
1851-71-4,0.028020123
6485-91-2,1.109181
762-04-9,1.1625158
999-01-9,0.6979791
10419-79-1,-0.4138344
75889-62-2,0.045892406
679-36-7,-0.7032012
21548-32-3,-0.79559314
333-29-9,-0.88727576
1516-67-2,-0.5343995
5131-24-8,-0.6225739
64050-52-8,-0.16046764
311-47-7,-0.4181685
38331-02-1,-0.812519
14984-58-8,-0.9430225
311-45-5,-1.3704604
897-83-6,-1.1995515
2701-86-2,-0.51291025
33399-00-7,-0.6903676
2667-41-6,-0.64513487
60971-95-1,-0.6866203
5598-15-2,-0.6615012
1491-41-4,-0.60330224
16499-75-5,-0.85353106
3734-92-7,-1.0735466
51376-77-3,-1.8380009
14734-96-4,-1.0523734
1885-95-6,-1.0329436
1885-98-9,-0.6907634
5954-10-9,-1.2896674
54593-83-8,-0.9766178
33841-12-2,-1.2926074
3735-01-1,-0.6008294
84197-34-2,-1.2791879
84197-35-3,-1.1361682
39624-86-7,-1.0689822
29689-00-7,-0.9523868
6012-87-9,-0.771208
97-17-6,-1.0311031
1224-63-1,-0.8422953
4824-78-6,-0.775976
7533-79-1,-0.7092222
4935-28-8,-0.15916981
297-97-2,-1.1064342
13593-03-8,-0.9864769
18854-01-8,-0.7594259
2921-88-2,-0.6234926
24017-47-8,-0.65289706
14816-18-3,-0.81861186
2668-92-0,-0.5387405
16500-53-1,-0.99986374
13286-40-3,-1.0442991
2047-14-5,-0.4686906
35461-10-0,-1.1134053
16231-76-8,-0.5657087
30725-71-4,-0.7047595
2310-17-0,-0.70631415
6119-96-6,-1.1381016
51356-06-0,-1.3010064
51356-15-1,-0.42338595
51442-10-5,0.055643864
25923-97-1,-1.5453846
3152-41-8,-1.0210017
2275-14-1,-0.8464732
24934-91-6,-1.015613
6436-05-1,-0.5272753
41219-31-2,-0.7731787
3659-04-9,-1.3059968
10312-20-6,-0.9526072
38188-83-9,-0.6623853
5823-20-1,-0.8641583
973-28-4,-1.0261303
4681-36-1,-0.7412629
63716-53-0,-1.2615874
64-67-5,1.052318
7305-61-5,0.20948845
7776-66-1,-0.18088865
944-21-8,-0.9045574
62421-46-9,-0.80937284
1497-39-8,-1.4068042
3563-52-8,-1.006936
1593-27-7,-0.5997191
7260-35-7,-0.8466779
327-98-0,-0.45844463
24017-24-1,-1.0557683
18596-51-5,-0.66120416
63869-31-8,-0.6894677
597-88-6,-1.1053962
352-93-2,0.8450349
18771-38-5,0.25514728
34491-12-8,-0.24669634
110-81-6,0.6838106
70-29-1,0.9002574
59865-13-3,0.06511654
17013-35-3,0.24936344
94-86-0,0.69860977
1264-72-8,-0.12793088
108050-54-0,-0.48215124
80214-83-1,-0.30441368
81103-11-9,0.09949108
6683-17-6,-0.95899004
4147-51-7,0.5439682
7087-68-5,0.90738785
5827-05-4,-0.7295988
642-15-9,-0.04758726
1331-50-6,1.1756041
131929-60-7,-0.09573367
75443-99-1,-0.46493733
2964-06-9,0.24859825
973-21-7,0.024379972
54767-75-8,0.50939465
121158-58-5,0.9324738
34264-24-9,0.2623026
31218-83-4,-0.17878069
34381-68-5,0.8476366
33857-23-7,-0.4583386
78193-95-0,0.61488193
108419-32-5,1.3527853
26748-41-4,1.0753117
82560-54-1,-0.8594961
33236-08-7,0.18340854
26685-57-4,0.14778951
78-44-4,0.71464586
115767-74-3,0.3723458
51893-82-4,-0.7576559
1610-17-9,0.69991
3853-74-5,-0.80785733
834-12-8,0.79786146
55837-18-8,0.8199641
57-43-2,0.3315218
64-43-7,0.30839342
37205-87-1,0.930424
16537-52-3,-1.0380994
24838-84-4,-0.50718653
21270-25-7,0.18618241
21270-04-2,0.22863178
97683-31-3,0.72401595
1912-24-9,0.5528295
3733-84-4,0.03321614
51162-51-7,-0.075244434
328-04-1,-0.6316345
29911-28-2,1.2549713
91315-15-0,0.78306204
10031-58-0,0.66026694
477-32-7,0.4345375
1020-35-5,0.06024936
5633-25-0,0.20733254
43033-72-3,-0.2061539
51218-45-2,0.63595337
2307-68-8,0.7529472
37172-05-7,0.7057834
7319-47-3,0.60995173
314-40-9,0.71263313
105-46-4,1.3062189
50602-40-9,0.7023824
5787-73-5,0.7587164
2282-34-0,-0.37198734
2917-19-3,-0.03859358
3766-81-2,-0.09027674
1225-25-8,0.095735274
27778-78-5,0.3933485
27684-90-8,-0.07725146
35384-89-5,0.15286952
24729-96-2,0.31906945
561-78-4,0.31048775
30238-40-5,0.751396
89396-94-1,0.6147232
64050-87-9,0.5466924
3614-30-0,0.43154585
2753-45-9,0.35285592
79985-89-0,0.13022888
82586-52-5,0.4400269
22791-12-4,-0.60255796
70667-26-4,0.41168916
7789-99-3,0.8206741
106463-17-6,0.19000722
57558-46-0,0.34951454
33054-87-4,0.5793325
5389-12-8,-0.28764036
105-30-6,1.1069424
42615-29-2,0.8634973
97-61-0,1.1952387
76-73-3,-0.022320222
309-43-3,-0.06996266
66941-93-3,-0.28861794
30677-46-4,0.7413987
623-40-5,0.90052676
5131-66-8,1.2891719
1569-01-3,1.4137206
81406-37-3,0.7306592
99607-70-2,0.47636384
3084-62-6,0.38943732
541-95-7,1.0481694
120-62-7,0.27221847
557-36-8,1.0273532
96-17-3,1.1227766
14765-30-1,0.92435765
99-71-8,0.82409054
89-72-5,0.9677204
61005-12-7,0.66996944
88-85-7,0.0027485574
61614-62-8,-0.337358
104-89-2,0.9959406
96-29-7,1.0085933
78-92-2,1.2990791
17751-77-8,0.30309966
21270-20-2,-0.08509748
21270-21-3,0.010061971
21269-99-8,0.4056147
21395-07-3,0.2649899
513-53-1,1.0492715
5412-64-6,0.71291286
13717-04-9,0.3848892
99-79-6,0.7171086
10402-53-6,0.41890755
34067-03-3,0.70105034
66941-53-5,0.11844282
86371-40-6,-0.0042326753
130693-82-2,0.44210878
29766-64-1,0.9638763
63716-10-9,1.2929425
1569-02-4,1.3799436
1083-57-4,0.8878827
27205-24-9,0.63569635
14631-45-9,0.6506475
7698-97-7,0.63135636
92454-60-9,0.7399344
120-45-6,1.0475575
10137-87-8,0.80115306
54335-73-8,0.14683197
83435-67-0,0.28445807
82586-55-8,0.60537446
16118-49-3,0.8900227
16378-22-6,0.41223153
22212-55-1,0.7140509
97-64-3,1.0019497
87237-48-7,0.2696312
66441-23-4,0.4838296
66441-11-0,0.5231434
51-14-9,0.4719036
50765-95-2,-0.0785736
54406-48-3,0.7491948
79-81-2,0.78073585
106-29-6,1.3565168
61750-69-4,0.58602756
53083-27-5,0.7603989
19089-24-8,0.62792635
70381-67-8,0.576604
17689-77-9,1.2588971
97-41-6,0.9731269
64748-21-6,0.018468075
82163-55-1,-0.06376743
50765-88-3,-0.3442037
90729-41-2,-0.04088522
57846-36-3,-0.0886964
39562-70-4,0.51643026
638-10-8,1.2402289
106700-29-2,0.64362556
61792-11-8,1.110444
24199-46-0,1.3873615
70381-28-1,0.6284479
132031-81-3,0.24098516
80310-21-0,0.49866167
56611-65-5,0.9891717
13925-07-0,0.600975
70381-39-4,0.72399366
149543-07-7,-0.00010307905
15911-11-2,1.0103759
88-29-9,0.8052363
5957-75-5,0.27855602
3763-77-7,0.7658489
3568-56-7,-0.81448627
92065-18-4,-0.9213502
13539-59-8,0.20692867
2532-49-2,-0.16068871
78541-98-7,0.1934761
55242-55-2,0.65334904
87344-11-4,0.76836216
1399-80-0,0.46992004
22345-47-7,0.46683067
82875-37-4,0.76196665
6670-95-7,0.6078531
33232-85-8,-0.90393376
1942-80-9,-0.7014884
73698-61-0,0.86860925
134169-75-8,0.6649416
57846-37-4,-0.21615867
85365-53-3,0.20357506
167004-78-6,0.20865732
92-09-1,0.19221394
97-88-1,1.3105502
25044-01-3,1.2056614
20363-83-1,1.3659682
97-63-2,1.3930964
53153-66-5,0.90833753
1128-08-1,0.8109787
821-55-6,0.7386213
111-13-7,1.3136938
110-43-0,1.0058087
591-78-6,1.1726649
591-60-6,1.3555542
59558-23-5,1.0832609
2748-88-1,0.2657665
64-77-7,0.87693954
63992-49-4,0.98839426
63992-50-7,1.0517079
63989-86-6,1.0481741
5736-70-9,0.88354933
1610-29-3,1.2664621
1147-62-2,0.55428517
31143-55-2,0.89549124
488-10-8,1.0226269
1713-12-8,0.5486773
26485-82-5,0.65428
70381-35-0,0.7425253
88107-10-2,0.7321508
112668-65-2,0.88300866
112668-63-0,0.93091744
81250-14-8,-0.26274118
112-14-1,1.5707381
142-92-7,1.390982
628-63-7,1.5306721
14959-86-5,1.5320357
39920-56-4,1.5333833
123-86-4,1.4472367
112-07-2,1.5417262
124-17-4,1.4378157
2442-10-6,0.86367124
66017-91-2,0.71949166
20706-25-6,1.4851549
109-60-4,1.4352919
141-97-9,1.361411
122-82-7,0.83795416
623-36-9,1.3567721
102-27-2,0.64341474
148-69-6,0.75646406
88881-65-6,0.6225434
24441-47-2,-0.2772178
65516-17-8,0.06338261
104-90-5,0.99219686
13360-64-0,0.8027385
25646-77-9,0.44624087
58066-96-9,0.4878042
30086-84-1,0.8223606
10443-70-6,0.55082643
25319-90-8,0.5779537
21062-28-2,0.15400751
634-55-9,0.7357355
609-15-4,1.0591246
25331-92-4,0.123209804
15622-65-8,0.41678014
15707-23-0,0.7620196
70381-33-8,0.7504125
600-14-6,1.1735661
40054-69-1,0.29493073
73839-77-7,0.91968775
74037-54-0,1.1125364
17335-06-7,0.8448185
52217-47-7,0.6610233
62-44-2,0.8840839
73-66-5,0.7701179
1897-96-7,0.51801157
19387-91-8,0.88410276
65986-80-3,0.7361705
15862-11-0,0.61564386
111-15-9,1.550584
63843-89-0,0.14524849
58243-85-9,0.33639264
2984-66-9,-0.46208927
886-50-0,0.32665002
78168-93-1,0.45112237
17751-75-6,-0.16717072
21270-06-4,0.15137574
51308-54-4,0.3293751
66227-09-6,0.86545
80763-10-6,1.19841
153233-91-1,0.5852668
64529-56-2,0.56951904
59652-29-8,0.61899924
3398-69-4,0.6050578
15942-48-0,-0.0993117
65907-30-4,-0.7869239
