CASRN,LD50_xgboost_rdkit2d
102-83-0,0.4299606
36167-63-2,-0.31058836
102-81-8,1.0060914
102207-73-8,0.5351431
119-48-2,0.76147336
51861-34-8,0.6596396
924-16-3,0.6932797
127-59-3,0.48965624
142-96-1,1.2612121
112-48-1,1.4206117
112-98-1,0.7586259
141-17-3,1.3259999
16672-39-2,1.1991191
141-03-7,1.6006038
85-70-1,1.0863284
4056-77-3,1.4087554
84-74-2,1.4581848
7483-25-2,0.97783166
4092-75-5,0.4727504
1809-19-4,1.1134027
130525-77-8,0.20324601
2528-36-1,0.27060768
544-40-1,1.1977553
51-03-6,0.80978143
2430-27-5,0.9836769
123-19-3,1.142426
74550-96-2,0.58994454
106-31-0,1.5124044
132-82-1,1.1589917
105-66-8,1.702106
142-84-7,0.35858276
99247-33-3,0.7607449
52888-80-9,0.915618
91893-38-8,-0.11338245
57-66-9,0.7871373
925-15-5,1.5813297
136-45-8,0.9194624
16066-38-9,0.85885805
104-75-6,0.6011246
10137-80-1,0.8501986
113-48-4,0.90457696
104-76-7,1.2404813
5397-31-9,0.7837275
10213-75-9,1.2080499
4126-58-3,1.225702
1559-35-9,0.9993939
2461-15-6,1.1533186
103-44-6,1.4245003
21270-19-9,0.022430032
17751-71-2,-0.20478497
17751-73-4,-0.1729512
17751-72-3,-0.229324
17810-52-5,-0.054318983
17751-68-7,-0.07437893
21270-00-8,0.065294154
21270-16-6,-0.064550154
21270-12-2,-0.059054025
21270-02-0,-0.11039099
21270-03-1,0.005834014
1928-43-4,0.3353626
1928-47-8,0.23987776
7659-86-1,0.41380695
103-11-7,1.4113744
5444-75-7,1.5160012
4376-20-9,1.0551722
18750-05-5,0.88396746
4248-21-9,1.0130515
24468-13-1,0.5827651
68037-57-0,1.0689515
1070-03-7,0.9184527
126-92-1,0.86453325
123-04-6,1.4272418
63834-30-0,1.0887761
149-57-5,1.2589941
94-04-2,1.2335643
589-82-2,1.2066331
10138-47-3,1.1821761
10138-87-1,1.2744006
94-96-2,1.3428344
10140-93-9,0.22675131
7492-37-7,1.1534693
106-35-4,1.3256484
645-62-5,1.3721151
5309-52-4,1.2397128
6187-24-2,1.0123591
1471-51-8,0.67642576
126-93-2,0.81897426
13360-63-9,0.5715264
1861-40-1,0.6571532
91893-68-4,-0.20225264
68439-49-6,1.5474004
15523-43-0,1.2659079
628-81-9,1.4697436
4413-13-2,1.3301384
33236-04-3,-0.06017609
106-32-1,1.5609874
79714-31-1,0.50781715
3570-46-5,0.60725564
64058-22-6,-0.1298508
105-54-4,1.7978933
101205-02-1,0.4236292
40626-35-5,-0.5864763
89784-60-1,-0.53285754
38527-91-2,-0.60554737
38524-82-2,-0.2725216
34643-46-4,-0.46890092
24017-17-2,-1.043417
18596-67-3,-0.5423
617-79-8,0.56348675
97-95-0,1.2215378
10232-91-4,1.2659955
10213-74-8,1.2424936
4468-93-3,1.0266861
63907-07-3,0.46465674
3953-10-4,1.3781585
97-96-1,1.4963
19962-50-6,0.49849972
88-09-5,1.2042987
4189-10-0,0.9012906
584-02-1,1.3524604
101952-86-7,0.8031811
96-22-0,1.0526532
72-56-0,0.35652357
579-66-8,0.63852715
38725-95-0,0.70202607
522-40-7,0.56713086
123-62-6,1.5720292
5837-63-8,1.2387867
41340-25-4,0.17713149
136572-09-3,-0.6698848
105-37-3,1.8685116
512-48-1,0.8122089
702-54-5,0.59906095
1085-91-2,0.5171247
77-04-3,0.7210787
80733-97-7,0.5562526
23192-94-1,0.65916854
99233-24-6,0.4945061
33236-13-4,-0.03479318
109-89-7,0.50920093
105-55-5,0.48430967
122-34-9,0.6688931
104-78-9,0.89360964
17074-44-1,-0.63818073
27312-93-2,-0.08312646
6009-67-2,0.10695854
100-36-7,0.65248466
3105-97-3,0.2798493
17074-42-9,-0.43924704
51-06-9,0.33356214
23205-22-3,-0.2476174
34341-24-7,0.4454663
100-37-8,1.0725281
63883-13-6,0.16911322
53421-38-8,0.14329879
911-45-5,0.3145177
2192-21-4,0.310413
2426-54-2,0.8205147
31329-57-4,0.07538297
34580-71-7,0.18290584
1641-74-3,0.76253074
2597-09-3,0.25100327
57-37-4,0.6873945
13352-70-0,0.30259407
3735-90-8,0.5285371
3010-02-4,0.94797444
102394-31-0,0.28123164
67367-65-1,0.3288261
2431-96-1,0.91836524
2315-36-8,0.24429984
120-21-8,0.7748368
2198-58-5,0.23971272
5123-63-7,0.85008544
17754-90-4,0.5885326
25953-06-4,0.7490742
1696-17-9,0.9234037
19311-91-2,0.94902754
63886-92-0,0.78067046
63887-51-4,0.5249471
32773-96-9,0.70355386
101152-94-7,0.29444343
14052-72-3,0.06610386
28249-77-6,0.5290001
95-06-7,0.20135748
95-30-7,0.3730758
1331-27-7,0.9098536
13056-98-9,0.41308916
21600-43-1,0.22784975
55-18-5,0.47679648
6794-94-1,0.6308922
1709-50-8,0.7797421
36014-71-8,-1.2405647
1050-48-2,0.35248506
60-29-7,1.6284744
629-14-1,1.4872855
112-36-7,1.4472089
763-69-9,1.504109
110-40-7,1.5724525
123-25-1,1.4327989
27292-19-9,0.70958394
22125-35-5,0.4596135
59894-95-0,0.24363285
73090-70-7,0.5298729
98318-25-3,0.67033845
84-66-2,1.2276598
1609-47-8,0.9139951
502-55-6,0.3434752
1851-77-0,0.04211056
1851-71-4,0.018294562
6485-91-2,0.60706294
762-04-9,0.9291104
999-01-9,0.67109865
10419-79-1,0.036262732
75889-62-2,0.1288841
679-36-7,-0.835215
21548-32-3,-1.2548776
333-29-9,-0.996081
1516-67-2,-0.62682515
5131-24-8,-0.30066976
64050-52-8,-0.6668511
311-47-7,-0.35580656
38331-02-1,-0.682109
14984-58-8,-0.63185513
311-45-5,-1.3118414
897-83-6,-0.89510846
2701-86-2,-0.6268734
33399-00-7,-0.7849138
2667-41-6,-0.5956449
60971-95-1,-0.6533003
5598-15-2,-0.46553844
1491-41-4,-0.36056313
16499-75-5,-0.9166753
3734-92-7,-0.57777715
51376-77-3,-1.6090236
14734-96-4,-0.9938397
1885-95-6,-0.8612949
1885-98-9,-1.1325607
5954-10-9,-0.69822705
54593-83-8,-0.42692855
33841-12-2,-0.77511054
3735-01-1,-0.50606066
84197-34-2,-0.9968016
84197-35-3,-1.1863848
39624-86-7,-1.4333401
29689-00-7,-1.0310208
6012-87-9,-0.97688276
97-17-6,-0.81685066
1224-63-1,-0.7053102
4824-78-6,-0.787624
7533-79-1,-0.7669054
4935-28-8,-0.713997
297-97-2,-0.95638937
13593-03-8,-0.6651837
18854-01-8,-0.46836376
2921-88-2,-0.54739183
24017-47-8,-0.6566087
14816-18-3,-0.66993743
2668-92-0,0.19653259
16500-53-1,-0.9439854
13286-40-3,-0.91789836
2047-14-5,-0.23883362
35461-10-0,-0.8547501
16231-76-8,-0.36426196
30725-71-4,-0.7060992
2310-17-0,-0.614491
6119-96-6,-0.95067835
51356-06-0,-1.017868
51356-15-1,0.15193985
51442-10-5,-0.0021561608
25923-97-1,-0.78378665
3152-41-8,-0.95456564
2275-14-1,-0.76017284
24934-91-6,-1.0113207
6436-05-1,-0.7521443
41219-31-2,-0.83824295
3659-04-9,-0.53539824
10312-20-6,-0.5719358
38188-83-9,-1.0635464
5823-20-1,-0.7759048
973-28-4,-0.3099342
4681-36-1,-0.2543617
63716-53-0,-0.78415316
64-67-5,0.18459734
7305-61-5,1.0656768
7776-66-1,0.26744464
944-21-8,-0.7887818
62421-46-9,-0.93472123
1497-39-8,-0.8152648
3563-52-8,-0.59637064
1593-27-7,-1.0685526
7260-35-7,-1.0299566
327-98-0,-0.7630152
24017-24-1,-1.101086
18596-51-5,-0.631124
63869-31-8,-0.93203616
597-88-6,-1.0641545
352-93-2,1.0935109
18771-38-5,0.017100014
34491-12-8,-0.6594196
110-81-6,0.8195115
70-29-1,1.1634804
59865-13-3,-0.3561
17013-35-3,-0.1410232
94-86-0,1.1177163
1264-72-8,-0.40118134
108050-54-0,0.18145594
80214-83-1,0.06006269
81103-11-9,0.326088
6683-17-6,-0.7386971
4147-51-7,0.6522627
7087-68-5,0.39234322
5827-05-4,-1.2452226
642-15-9,0.40164274
1331-50-6,1.2395577
131929-60-7,-0.583401
75443-99-1,-0.12596004
2964-06-9,-0.084566444
973-21-7,-0.04399729
54767-75-8,0.32690197
121158-58-5,0.8955588
34264-24-9,0.25870416
31218-83-4,-0.3989827
34381-68-5,0.6913227
33857-23-7,-0.26265895
78193-95-0,0.6393035
108419-32-5,1.5722781
26748-41-4,1.2411741
82560-54-1,-0.5928809
33236-08-7,-0.029241895
26685-57-4,-0.37992227
78-44-4,0.52580255
115767-74-3,0.1565011
51893-82-4,-0.23525557
1610-17-9,0.72091895
3853-74-5,-0.926336
834-12-8,0.76483893
55837-18-8,1.0143903
57-43-2,-0.3127676
64-43-7,-0.21424644
37205-87-1,1.0581117
16537-52-3,-1.0463383
24838-84-4,-0.9491659
21270-25-7,0.21517053
21270-04-2,0.19995302
97683-31-3,1.0453031
1912-24-9,0.6743011
3733-84-4,0.26198563
51162-51-7,0.3939053
328-04-1,-0.3547236
29911-28-2,1.2408148
91315-15-0,0.76843935
10031-58-0,0.39437723
477-32-7,0.21319301
1020-35-5,-0.20839217
5633-25-0,-0.14687808
43033-72-3,-0.13960558
51218-45-2,0.63365173
2307-68-8,0.77111346
37172-05-7,1.1635444
7319-47-3,0.29327753
314-40-9,0.9306843
105-46-4,1.7959278
50602-40-9,0.963305
5787-73-5,0.43581903
2282-34-0,-0.035798594
2917-19-3,-0.3565156
3766-81-2,-0.281805
1225-25-8,0.39346012
27778-78-5,0.13427252
27684-90-8,-0.006067227
35384-89-5,0.25431275
24729-96-2,0.3579726
561-78-4,0.06703586
30238-40-5,0.5989096
89396-94-1,0.7082539
64050-87-9,0.7463674
3614-30-0,0.4431365
2753-45-9,0.5007168
79985-89-0,0.17440927
82586-52-5,0.528764
22791-12-4,-0.856845
70667-26-4,0.17788069
7789-99-3,1.527897
106463-17-6,0.56154174
57558-46-0,0.48173007
33054-87-4,0.17914896
5389-12-8,0.09340164
105-30-6,1.3261716
42615-29-2,0.80181515
97-61-0,1.2050445
76-73-3,-0.3712696
309-43-3,-0.0617544
66941-93-3,0.15951158
30677-46-4,0.51632935
623-40-5,1.0643835
5131-66-8,1.1824176
1569-01-3,1.4994851
81406-37-3,0.5736531
99607-70-2,0.65310365
3084-62-6,0.360251
541-95-7,1.0386431
120-62-7,0.44038412
557-36-8,0.84058845
96-17-3,1.3363378
14765-30-1,0.9685884
99-71-8,0.83992666
89-72-5,0.78904355
61005-12-7,0.38926205
88-85-7,-0.42658356
61614-62-8,-0.09128965
104-89-2,0.5426373
96-29-7,0.8928453
78-92-2,1.4591357
17751-77-8,0.0553665
21270-20-2,0.25221917
21270-21-3,0.19013019
21269-99-8,0.38996154
21395-07-3,0.29130778
513-53-1,1.3552243
5412-64-6,0.3932624
13717-04-9,0.42896965
99-79-6,0.44206965
10402-53-6,0.20729227
34067-03-3,0.017591892
66941-53-5,0.31574312
86371-40-6,0.18976936
130693-82-2,0.10525641
29766-64-1,0.56217945
63716-10-9,1.5127074
1569-02-4,1.4933507
1083-57-4,0.894274
27205-24-9,0.9659013
14631-45-9,0.66606134
7698-97-7,0.37714124
92454-60-9,0.5570793
120-45-6,1.1832906
10137-87-8,0.23231518
54335-73-8,-0.6289593
83435-67-0,0.70410097
82586-55-8,0.9462693
16118-49-3,0.42224243
16378-22-6,0.13360392
22212-55-1,0.58335507
97-64-3,1.5183283
87237-48-7,0.30718383
66441-23-4,0.2252782
66441-11-0,0.4076285
51-14-9,0.738799
50765-95-2,-0.165406
54406-48-3,0.9551011
79-81-2,0.57478195
106-29-6,1.2954179
61750-69-4,0.63981205
53083-27-5,0.76381844
19089-24-8,0.13765347
70381-67-8,0.5891505
17689-77-9,0.74078715
97-41-6,1.2445976
64748-21-6,0.028984664
82163-55-1,0.25572026
50765-88-3,-0.4576863
90729-41-2,0.52721
57846-36-3,-0.3724047
39562-70-4,0.57592034
638-10-8,1.6989549
106700-29-2,0.6121073
61792-11-8,1.218951
24199-46-0,1.2614797
70381-28-1,0.6110839
132031-81-3,0.39592966
80310-21-0,0.65863764
56611-65-5,0.7816009
13925-07-0,0.6529098
70381-39-4,0.70386404
149543-07-7,0.06819167
15911-11-2,0.968422
88-29-9,0.9556514
5957-75-5,0.51910573
3763-77-7,0.73903143
3568-56-7,-0.8808894
92065-18-4,-0.6344277
13539-59-8,0.325857
2532-49-2,-0.6031851
78541-98-7,0.1686891
55242-55-2,0.66342556
87344-11-4,0.5545108
1399-80-0,0.21344024
22345-47-7,0.101866685
82875-37-4,0.8238127
6670-95-7,0.10274672
33232-85-8,-0.0075611793
1942-80-9,-0.86068296
73698-61-0,0.7452022
134169-75-8,0.34648362
57846-37-4,-0.34151158
85365-53-3,-0.2956862
167004-78-6,0.26201272
92-09-1,0.4016326
97-88-1,1.5357296
25044-01-3,1.0650026
20363-83-1,1.0370798
97-63-2,1.5643172
53153-66-5,1.2352071
1128-08-1,1.233607
821-55-6,0.5442442
111-13-7,1.4150983
110-43-0,0.7429096
591-78-6,1.0477859
591-60-6,1.5150365
59558-23-5,1.083031
2748-88-1,0.3438757
64-77-7,1.0085833
63992-49-4,1.0091627
63992-50-7,1.1550547
63989-86-6,1.1275321
5736-70-9,0.916865
1610-29-3,1.3920126
1147-62-2,0.662298
31143-55-2,0.76885414
488-10-8,1.0214231
1713-12-8,0.5935763
26485-82-5,0.54216796
70381-35-0,0.61958873
88107-10-2,0.5573923
112668-65-2,0.53778404
112668-63-0,0.6594784
81250-14-8,-0.3406597
112-14-1,1.884939
142-92-7,1.5988708
628-63-7,2.0216084
14959-86-5,1.3614683
39920-56-4,1.4876121
123-86-4,1.6654272
112-07-2,1.5402063
124-17-4,1.4220828
2442-10-6,0.9913808
66017-91-2,0.6847687
20706-25-6,1.4267629
109-60-4,1.8091528
141-97-9,1.6158123
122-82-7,1.0033128
623-36-9,1.1717486
102-27-2,0.7867048
148-69-6,0.8090149
88881-65-6,0.32931176
24441-47-2,-0.5960937
65516-17-8,0.101339
104-90-5,0.66675544
13360-64-0,0.72084206
25646-77-9,0.5344527
58066-96-9,0.5689583
30086-84-1,0.703614
10443-70-6,0.45628688
25319-90-8,0.5411399
21062-28-2,0.12527373
634-55-9,0.884602
609-15-4,0.7295344
25331-92-4,0.011783177
15622-65-8,0.1918158
15707-23-0,0.75031483
70381-33-8,0.66064787
600-14-6,1.0529823
40054-69-1,0.5643709
73839-77-7,0.8756744
74037-54-0,1.0913167
17335-06-7,0.71206963
52217-47-7,0.658648
62-44-2,1.0431923
73-66-5,0.6736918
1897-96-7,0.2463642
19387-91-8,0.61499184
65986-80-3,0.57446766
15862-11-0,0.7937321
111-15-9,1.5858195
63843-89-0,0.27163994
58243-85-9,0.57584167
2984-66-9,-0.18234967
886-50-0,0.6302189
78168-93-1,0.42217734
17751-75-6,-0.15229288
21270-06-4,-0.13402458
51308-54-4,0.35544866
66227-09-6,1.0878226
80763-10-6,1.2019082
153233-91-1,0.24136545
64529-56-2,0.5618609
59652-29-8,0.28889915
3398-69-4,0.6268555
15942-48-0,-0.35055393
65907-30-4,-0.2932095
