CASRN,Toxic_xgboost_maccs-0,Toxic_xgboost_maccs-1
295800-70-3,0.7140507,0.2859493
10143-60-9,0.850119,0.14988102
22174-70-5,0.9291367,0.070863314
19074-24-9,0.96453476,0.035465244
122-62-3,0.96890914,0.031090831
103-24-2,0.97054267,0.029457344
103-23-1,0.97054267,0.029457344
2915-57-3,0.96453476,0.035465244
84731-70-4,0.9686564,0.031343587
117-81-7,0.9569193,0.043080665
14858-73-2,0.9399477,0.06005228
3658-48-8,0.9089421,0.091057904
298-07-7,0.92047375,0.07952625
63449-80-9,0.4630044,0.5369956
7425-14-1,0.9635042,0.036495827
18268-70-7,0.96677,0.03322998
94-28-0,0.96925926,0.030740732
3282-85-7,0.40345114,0.59654886
7790-07-0,0.93846434,0.061535675
25724-60-1,0.9385006,0.061499394
10022-60-3,0.9353349,0.06466511
468-61-1,0.19209355,0.80790645
4551-59-1,0.29913062,0.7008694
57647-13-9,0.08335948,0.9166405
27591-69-1,0.26269132,0.7373087
589-32-2,0.42079258,0.5792074
60012-88-6,0.405688,0.594312
78-53-5,0.055445552,0.94455445
115-79-7,0.38073194,0.61926806
122-31-6,0.8852797,0.11472026
78-10-4,0.8148317,0.18516831
17356-42-2,0.050438702,0.9495613
3689-24-5,0.039485216,0.9605148
563-12-2,0.023116171,0.9768838
6926-73-4,0.029554248,0.97044575
78-07-9,0.89824384,0.10175614
20395-17-9,0.04917723,0.9508228
18300-10-2,0.018706739,0.98129326
2667-40-5,0.058158457,0.94184154
55134-13-9,0.41112912,0.5888709
33446-90-1,0.75855106,0.24144892
17980-47-1,0.95154154,0.048458446
27879-29-4,0.38407958,0.6159204
35435-21-3,0.9425892,0.057410795
55934-93-5,0.926624,0.07337601
52030-05-4,0.71217877,0.28782123
74051-80-2,0.32034045,0.67965955
2224-33-1,0.47601002,0.52399
34036-80-1,0.4815855,0.5184145
6104-58-1,0.95892954,0.04107047
77-90-7,0.9569641,0.043035906
21327-31-1,0.28893977,0.7110602
5826-91-5,0.03954041,0.9604596
22787-59-3,0.16621602,0.833784
22787-58-2,0.034112334,0.96588767
5675-57-0,0.05827272,0.9417273
3730-54-9,0.07089043,0.9291096
655-35-6,0.32310402,0.676896
77-89-4,0.8837452,0.11625483
24748-23-0,0.6023842,0.3976158
70833-40-8,0.9611688,0.038831193
14504-73-5,0.19759429,0.8024057
67239-04-7,0.47701126,0.52298874
2595-54-2,0.03573191,0.9642681
5137-55-3,0.3437932,0.6562068
1421-14-3,0.36727017,0.6327298
2031-67-6,0.8522612,0.14773883
64036-99-3,0.030769229,0.9692308
26523-78-4,0.8651743,0.13482568
68814-95-9,0.3075043,0.6924957
538-23-8,0.96513087,0.03486913
68130-53-0,0.9617766,0.03822337
2528-38-3,0.8626145,0.13738552
5343-44-2,0.78624475,0.21375526
5831-80-1,0.74532247,0.25467756
51249-05-9,0.33342433,0.6665757
102-85-2,0.53997517,0.46002483
126-73-8,0.69412875,0.30587125
998-40-3,0.63202226,0.36797777
115-78-6,0.3494631,0.6505369
33060-84-3,0.092053175,0.9079468
150-50-5,0.03850329,0.9614967
78-48-8,0.031416178,0.9685838
60-01-5,0.75857544,0.24142453
74125-01-2,0.021098435,0.97890157
1496-94-2,0.8074,0.19260004
21270-07-5,0.10524893,0.8947511
29806-73-3,0.9614512,0.038548816
7346-61-4,0.8670063,0.13299373
59130-69-7,0.9614512,0.038548816
63907-12-0,0.9059706,0.094029434
1114-71-2,0.46524423,0.53475577
64058-98-6,0.07240057,0.92759943
64059-01-4,0.065912426,0.9340876
13194-48-4,0.021080852,0.97891915
2511-15-1,0.02598226,0.97401774
90220-15-8,0.021435857,0.97856414
759-94-4,0.4000765,0.5999235
23184-66-9,0.28431344,0.71568656
51218-49-6,0.42328614,0.57671386
109965-82-4,0.21050352,0.7894965
20954-13-6,0.39729905,0.60270095
102579-43-1,0.5775409,0.4224591
168152-77-0,0.08921009,0.9107899
168152-89-4,0.10376471,0.8962353
92953-10-1,0.23639452,0.7636055
17088-72-1,0.40055066,0.59944934
60763-41-9,0.9456514,0.054348566
35850-79-4,0.6914176,0.30858245
3309-68-0,0.022806644,0.97719336
18109-81-4,0.31850857,0.68149143
52736-14-8,0.8260422,0.1739578
3862-08-6,0.7910908,0.20890923
139-45-7,0.83796835,0.16203162
38727-55-8,0.6834488,0.3165512
80472-88-4,0.0944435,0.9055565
51356-13-9,0.051006734,0.94899327
33210-44-5,0.033734024,0.966266
33210-40-1,0.031210244,0.96878976
33210-43-4,0.031210244,0.96878976
1912-26-1,0.11973792,0.8802621
7779-27-3,0.25067317,0.7493268
78816-48-5,0.46890217,0.5310978
2941-55-1,0.29936838,0.7006316
4740-11-8,0.23079634,0.76920366
125-99-5,0.18099028,0.8190097
5957-17-5,0.34795678,0.6520432
2001-81-2,0.3996597,0.6003403
56-37-1,0.25567567,0.7443243
9004-57-3,0.7904769,0.20952305
7789-92-6,0.85698223,0.14301778
10140-99-5,0.3474946,0.6525054
122-51-0,0.7395587,0.26044127
63869-26-1,0.09160465,0.90839535
2425-25-4,0.03205961,0.9679404
5823-25-6,0.05209011,0.9479099
919-54-0,0.071979046,0.92802095
1067-47-6,0.7696207,0.2303793
919-30-2,0.5539988,0.4460012
76524-94-2,0.47115374,0.52884626
2602-34-8,0.8096717,0.19032831
14814-09-6,0.73567796,0.26432204
34708-08-2,0.7428671,0.2571329
15129-36-9,0.32895827,0.6710417
15267-95-5,0.47383368,0.5261663
122-52-1,0.263211,0.736789
78-40-0,0.24066329,0.7593367
78-38-6,0.67093885,0.32906115
126-75-0,0.02785188,0.9721481
298-03-3,0.030759037,0.96924096
298-04-4,0.021533787,0.9784662
298-02-2,0.023083746,0.97691625
1186-09-0,0.021592319,0.9784077
2524-09-6,0.013711572,0.9862884
2497-07-6,0.023668945,0.97633106
2588-03-6,0.035390377,0.9646096
2496-91-5,0.039373755,0.96062624
4891-54-7,0.034587085,0.9654129
2497-06-5,0.050359964,0.94964004
2511-11-7,0.017141283,0.9828587
2404-78-6,0.021128833,0.97887117
688-62-0,0.03493595,0.96506405
1486-39-1,0.031170785,0.9688292
87310-56-3,0.18790668,0.8120933
55881-07-7,0.6567128,0.34328726
2229-55-2,0.9504273,0.049572676
79451-10-8,0.041919827,0.9580802
66996-10-9,0.06701934,0.93298066
30129-29-4,0.83010924,0.16989075
30129-30-7,0.83010924,0.16989075
55297-95-5,0.5506004,0.4493996
3004-70-4,0.093604505,0.9063955
53521-41-8,0.7118586,0.28814143
139-88-8,0.44518828,0.5548117
33820-53-0,0.77799416,0.22200587
5892-41-1,0.35996836,0.64003164
1912-25-0,0.12054646,0.87945354
2275-18-5,0.040789366,0.95921063
87130-20-9,0.3946705,0.6053295
63873-23-4,0.03282273,0.9671773
78-52-4,0.02869755,0.97130245
63873-21-2,0.029491007,0.970509
68649-11-6,0.9364397,0.063560314
63990-57-8,0.54508424,0.4549158
26818-53-1,0.13413996,0.86586004
27891-14-1,0.51098406,0.48901597
36756-79-3,0.3051998,0.6948002
19072-57-2,0.19648546,0.80351454
27591-74-8,0.055608988,0.944391
66734-13-2,0.9039071,0.09609287
5593-20-4,0.90534437,0.09465563
5534-09-8,0.9191352,0.0808648
27778-88-7,0.037735045,0.96226496
27778-86-5,0.042704105,0.9572959
27778-84-3,0.045247197,0.9547528
27778-80-9,0.045168936,0.95483106
27778-82-1,0.053842902,0.9461571
27684-92-0,0.045021355,0.95497864
26259-45-0,0.14296138,0.8570386
40618-52-8,0.024380028,0.97562
69-05-6,0.42422432,0.5757757
9050-04-8,0.053831458,0.94616854
60735-64-0,0.5977647,0.40223533
24151-93-7,0.15056992,0.8494301
2109-64-0,0.4729988,0.5270012
22457-23-4,0.19523054,0.80476946
541-85-5,0.9078196,0.09218037
14355-07-8,0.097837925,0.9021621
10032-15-2,0.96605194,0.033948094
14355-12-5,0.081861496,0.9181385
10024-78-9,0.16362005,0.83637995
32838-28-1,0.7523452,0.24765483
57-33-0,0.087726355,0.91227365
71-73-8,0.08448666,0.91551334
871-22-7,0.92703944,0.07296058
105-82-8,0.94095206,0.05904793
29122-60-9,0.08598834,0.91401166
186817-80-1,0.94482064,0.055179384
7452-79-1,0.95993996,0.040060043
7286-69-3,0.16072702,0.839273
98886-44-3,0.08377731,0.9162227
125-64-4,0.31482738,0.6851726
82834-16-0,0.8717963,0.1282037
730-07-4,0.5694647,0.43053532
33499-11-5,0.385621,0.614379
110429-62-4,0.59567004,0.40432996
67050-64-0,0.0653218,0.9346782
54-05-7,0.16606975,0.83393025
1094-08-2,0.14804673,0.85195327
30238-41-6,0.57555187,0.42444813
64241-34-5,0.29141212,0.7085879
33499-13-7,0.5947007,0.4052993
63867-07-2,0.46304715,0.53695285
15299-99-7,0.41208267,0.5879173
4630-95-9,0.23051196,0.76948804
66968-39-6,0.13272446,0.86727554
105-57-7,0.83617693,0.16382308
137658-79-8,0.7302277,0.26977226
7492-66-2,0.95147187,0.04852814
87820-88-0,0.7300064,0.2699936
103890-78-4,0.6299287,0.37007126
52-60-8,0.01772499,0.982275
50765-73-6,0.0696404,0.9303596
50765-89-4,0.04202783,0.95797217
15763-48-1,0.33331627,0.66668373
22609-73-0,0.44480002,0.5552
88045-99-2,0.82451606,0.17548397
56358-09-9,0.40668535,0.59331465
17702-79-3,0.044709325,0.9552907
41611-76-1,0.82409024,0.17590973
137-58-6,0.36418092,0.6358191
333-40-4,0.03942448,0.9605755
31775-20-9,0.9614675,0.038532525
105779-78-0,0.30928445,0.69071555
23191-75-5,0.509368,0.490632
88045-98-1,0.7893497,0.21065032
243973-20-8,0.29597718,0.7040228
57470-78-7,0.8153556,0.1846444
68227-46-3,0.5488186,0.45118138
5221-49-8,0.037376225,0.9626238
72542-60-0,0.040907025,0.959093
79438-83-8,0.11978334,0.88021666
21409-78-9,0.086110115,0.9138899
40374-14-9,0.0615803,0.9384197
29232-93-7,0.050979912,0.9490201
13171-21-6,0.030754924,0.9692451
73521-00-3,0.36284643,0.63715357
73512-92-2,0.11583066,0.88416934
73520-99-7,0.1458165,0.8541835
73512-93-3,0.2164287,0.7835713
73512-94-4,0.2164287,0.7835713
128606-48-4,0.026268959,0.97373104
57846-34-1,0.080415785,0.9195842
74639-40-0,0.37158167,0.6284183
1716-09-2,0.017633677,0.9823663
14143-09-0,0.030632257,0.96936774
10097-26-4,0.9631961,0.036803916
688-84-6,0.9510095,0.04899048
105-16-8,0.37738454,0.62261546
1918-08-7,0.7247635,0.27523646
14663-66-2,0.13177001,0.86823
14663-67-3,0.10096961,0.8990304
10137-90-3,0.91746485,0.08253515
78193-97-2,0.52357006,0.4764299
58458-55-2,0.5005413,0.49945867
103-09-3,0.9625488,0.037451215
29214-60-6,0.83923995,0.16076005
23947-60-6,0.4312939,0.5687061
437717-43-6,0.91558963,0.08441035
6946-94-7,0.7390647,0.26093528
1187-74-2,0.9293268,0.07067321
274671-61-3,0.2234118,0.7765882
2728-05-4,0.4474041,0.5525959
134-62-3,0.6083325,0.3916675
52406-01-6,0.74660563,0.25339437
953-32-2,0.014388323,0.9856117
60090-47-3,0.3592021,0.6407979
15386-51-3,0.25139743,0.74860257
2728-04-3,0.49309075,0.50690925
56632-42-9,0.43551636,0.56448364
299-45-6,0.051492155,0.94850785
2425-15-2,0.024934888,0.9750651
51356-23-1,0.05216974,0.94783026
51356-21-9,0.06793606,0.93206394
3099-88-5,0.018553376,0.9814466
1942-78-5,0.019604385,0.9803956
108-35-0,0.040376186,0.9596238
15421-84-8,0.15804255,0.84195745
51356-11-7,0.042096496,0.9579035
51356-09-3,0.056352973,0.943647
22439-40-3,0.083544254,0.91645575
5633-16-9,0.2433272,0.7566728
26662-09-9,0.0666123,0.9333877
21673-86-9,0.5421059,0.45789406
107812-70-4,0.11618638,0.8838136
105435-14-1,0.3135323,0.6864677
63979-26-0,0.21789658,0.7821034
75274-20-3,0.16597706,0.83402294
2532-92-5,0.27484322,0.7251568
2544-52-7,0.046558738,0.95344126
88-24-4,0.7165594,0.28344062
120-95-6,0.25518334,0.74481666
51959-14-9,0.07145876,0.92854124
79-74-3,0.33631498,0.663685
10508-09-5,0.76382744,0.23617257
118134-30-8,0.2768783,0.7231217
3006-82-4,0.9263529,0.07364707
329-21-5,0.041531622,0.9584684
7795-74-6,0.042263508,0.9577365
69784-43-6,0.071321905,0.9286781
55285-14-8,0.027069151,0.97293085
42222-50-4,0.9418985,0.058101498
3489-84-7,0.673072,0.326928
919-94-8,0.8796404,0.12035958
3734-95-0,0.09297842,0.9070216
129927-33-9,0.15580487,0.8441951
72590-77-3,0.92190033,0.07809967
13472-08-7,0.14677691,0.8532231
78-66-0,0.5258082,0.47419178
1338-23-4,0.77558553,0.22441448
154619-86-0,0.03267473,0.96732527
154619-76-8,0.027590632,0.97240937
82559-96-4,0.57199854,0.42800146
82558-50-7,0.46611142,0.5338886
4268-36-4,0.3836118,0.6163882
5340-36-3,0.8834961,0.11650387
33236-05-4,0.03391266,0.96608734
33210-49-0,0.033413053,0.96658695
17091-21-3,0.5843275,0.41567248
82560-06-3,0.28863388,0.7113661
123199-92-8,0.15783185,0.84216815
77-74-7,0.63303506,0.36696497
1986-53-4,0.9090259,0.09097409
55937-99-0,0.904251,0.09574904
1081-95-4,0.043394864,0.95660514
103446-98-6,0.39844167,0.6015583
19457-00-2,0.38162786,0.61837214
30087-47-9,0.043109834,0.95689017
40373-31-7,0.0377962,0.9622038
2631-26-7,0.07911599,0.920884
3772-48-3,0.04256773,0.95743227
1474-80-2,0.036852777,0.9631472
28616-48-0,0.06584805,0.93415195
55769-64-7,0.67651784,0.32348213
89591-51-5,0.57377243,0.42622754
63580-68-7,0.035686135,0.96431386
60244-63-5,0.056022704,0.9439773
60244-60-2,0.060587466,0.93941253
7396-58-9,0.24527478,0.7547252
63039-90-7,0.0529837,0.9470163
18886-42-5,0.08063805,0.91936195
37686-84-3,0.18221164,0.81778836
63717-17-9,0.04032123,0.95967877
57647-36-6,0.06031084,0.93968916
104907-82-6,0.5061445,0.49385545
80472-86-2,0.060469985,0.93953
76597-98-3,0.5203903,0.47960973
513-10-0,0.06932068,0.9306793
107-64-2,0.2458834,0.7541166
68391-05-9,0.3398509,0.6601491
7173-51-5,0.30488062,0.6951194
37335-68-5,0.13110733,0.86889267
124-03-8,0.30488062,0.6951194
6458-13-5,0.37594265,0.62405735
70206-24-5,0.30540365,0.69459635
53-46-3,0.09903002,0.90097
50-10-2,0.068504155,0.93149585
54663-47-7,0.17584896,0.82415104
32358-09-1,0.047825456,0.95217454
24789-78-4,0.4071179,0.5928821
154-82-5,0.5235764,0.47642362
3700-98-9,0.03356296,0.96643704
3700-97-8,0.028530955,0.97146904
63917-07-7,0.03486854,0.96513146
38260-54-7,0.03482479,0.9651752
2830-87-7,0.08398712,0.9160129
21410-51-5,0.05279517,0.9472048
1634-78-2,0.022404432,0.97759557
121-75-5,0.045501947,0.95449805
18300-07-7,0.017352045,0.98264796
3344-12-5,0.031716585,0.9682834
51012-33-0,0.40986592,0.5901341
4104-03-4,0.02291137,0.97708863
816-19-3,0.95635235,0.043647658
15972-60-8,0.2532367,0.7467633
117666-91-8,0.5471106,0.45288938
117683-18-8,0.22974163,0.77025837
90220-16-9,0.02053231,0.9794677
673-04-1,0.19853461,0.8014654
64-96-0,0.123928964,0.87607104
109410-00-6,0.1067754,0.8932246
364-62-5,0.12232244,0.87767756
4093-35-0,0.16166854,0.83833146
19351-21-4,0.25607175,0.74392825
304-84-7,0.3166573,0.6833427
19351-20-3,0.13546067,0.8645393
55619-22-2,0.5279568,0.47204322
919-53-9,0.07690394,0.92309606
90245-33-3,0.01767975,0.98232025
22082-34-4,0.015131474,0.9848685
78-62-6,0.89308655,0.10691342
1067-99-8,0.77319777,0.2268022
999-34-8,0.054417014,0.945583
90220-14-7,0.01825267,0.9817473
996-04-3,0.023560107,0.9764399
996-05-4,0.027267456,0.97273254
63906-39-8,0.023884237,0.97611576
32744-43-7,0.042125523,0.9578745
7292-16-2,0.03708756,0.96291244
1014-70-6,0.32097083,0.67902917
21923-23-9,0.029788673,0.9702113
2404-05-9,0.01747173,0.98252827
51528-03-1,0.4827459,0.5172541
3254-62-4,0.03569728,0.9643027
115-90-2,0.024763048,0.97523695
6587-45-7,0.01991868,0.9800813
6132-17-8,0.031131387,0.9688686
101526-62-9,0.3396706,0.6603294
109-66-0,0.8455203,0.15447968
110-54-3,0.91625375,0.08374628
1120-21-4,0.91997737,0.08002264
112-40-3,0.9238213,0.076178744
629-50-5,0.9179374,0.082062595
629-59-4,0.9179374,0.082062595
593-45-3,0.91997737,0.08002264
112-95-8,0.9310044,0.06899562
2500-88-1,0.70148253,0.29851747
627-83-8,0.95879436,0.041205615
26322-14-5,0.9521086,0.047891397
41672-81-5,0.60733634,0.39266366
68153-95-7,0.20017958,0.7998204
53220-22-7,0.9517324,0.04826759
3234-85-3,0.95624983,0.043750193
16958-92-2,0.9563034,0.043696597
119-06-2,0.9661256,0.033874415
3648-20-2,0.9557155,0.044284534
84-76-4,0.95608675,0.043913227
50602-85-2,0.200957,0.799043
119-07-3,0.9581061,0.04189392
8007-43-0,0.83851117,0.16148883
629-82-3,0.7957209,0.20427912
123-79-5,0.95810604,0.04189394
1639-66-3,0.360937,0.639063
2915-53-9,0.956966,0.04303401
117-84-0,0.9557155,0.044284534
64896-70-4,0.87073714,0.12926285
1117-55-1,0.95960724,0.040392764
70729-68-9,0.95815754,0.04184248
110-32-7,0.9566953,0.043304697
10058-20-5,0.9591535,0.04084651
3006-15-3,0.27346563,0.72653437
84-75-3,0.95861334,0.041386686
61788-89-4,0.86207426,0.13792576
540-07-8,0.95297956,0.047020443
2050-92-2,0.32730496,0.67269504
13256-06-9,0.115600765,0.88439924
3913-02-8,0.87537205,0.124627925
2173-56-0,0.95960724,0.040392764
17810-51-4,0.08238727,0.91761273
21270-08-6,0.07156676,0.92843324
123-95-5,0.95960724,0.040392764
110-36-1,0.95624983,0.043750193
626-82-4,0.9565748,0.043425184
111-92-2,0.18669611,0.8133039
109-46-6,0.09216595,0.90783405
102-83-0,0.22448403,0.775516
36167-63-2,0.11514974,0.88485026
102-81-8,0.26129007,0.7387099
102207-73-8,0.2315104,0.7684896
119-48-2,0.60176575,0.39823422
51861-34-8,0.24299395,0.75700605
924-16-3,0.05816543,0.94183457
127-59-3,0.35467112,0.6453289
142-96-1,0.7774971,0.22250289
112-48-1,0.8932365,0.10676351
112-98-1,0.9333705,0.066629544
141-17-3,0.9556366,0.04436337
16672-39-2,0.95043373,0.049566273
141-03-7,0.9496385,0.0503615
14338-82-0,0.8965754,0.1034246
6280-99-5,0.8895164,0.11048359
85-70-1,0.95761406,0.042385932
4056-77-3,0.9422312,0.05776881
1770-80-5,0.7623715,0.23762852
1962-75-0,0.94559866,0.054401346
84-74-2,0.9426872,0.0573128
7483-25-2,0.9555859,0.044414077
4092-75-5,0.23511392,0.7648861
1809-19-4,0.617466,0.38253406
130525-77-8,0.7533543,0.24664567
2528-36-1,0.35146022,0.6485398
544-40-1,0.7871105,0.2128895
2639-63-6,0.9613172,0.03868284
51-03-6,0.8680505,0.1319495
2430-27-5,0.54173636,0.45826367
63449-39-8,0.816754,0.183246
123-19-3,0.86423,0.13577004
168152-91-8,0.05814278,0.9418572
74550-96-2,0.31648016,0.68351984
106-31-0,0.7657832,0.23421681
132-82-1,0.86849886,0.13150112
105-66-8,0.90021193,0.099788085
142-84-7,0.3054527,0.6945473
111757-17-6,0.30065864,0.69934136
99247-33-3,0.91008073,0.08991928
19044-88-3,0.6895815,0.31041852
52888-80-9,0.44283175,0.55716825
91893-38-8,0.09453833,0.90546167
57-66-9,0.49398702,0.506013
925-15-5,0.88635045,0.113649525
136-45-8,0.7899349,0.21006513
58416-00-5,0.63618755,0.36381245
16066-38-9,0.80304074,0.19695923
104-75-6,0.16234928,0.8376507
10137-80-1,0.27274692,0.7272531
113-48-4,0.5098288,0.49017122
104-76-7,0.85619336,0.14380662
5397-31-9,0.30008256,0.69991744
10213-75-9,0.8626261,0.1373739
4126-58-3,0.8711266,0.12887341
1559-35-9,0.79831487,0.20168515
2461-15-6,0.8196897,0.18031032
103-44-6,0.8963559,0.10364405
21270-19-9,0.07082957,0.9291704
17751-71-2,0.049426496,0.9505735
17751-73-4,0.053857327,0.9461427
17751-72-3,0.056702256,0.94329774
17810-52-5,0.064162076,0.9358379
17751-68-7,0.07041961,0.9295804
21270-00-8,0.072838545,0.92716146
21270-16-6,0.07649183,0.92350817
21270-12-2,0.062168658,0.93783134
21270-02-0,0.068837404,0.9311626
21270-03-1,0.06899077,0.93100923
13361-34-7,0.8806693,0.1193307
1928-43-4,0.13258243,0.8674176
1928-47-8,0.10458249,0.8954175
7659-86-1,0.72577775,0.27422225
103-11-7,0.75676364,0.24323638
5444-75-7,0.9476857,0.052314293
16397-70-9,0.76265657,0.2373434
4376-20-9,0.9562451,0.04375487
18750-05-5,0.9510786,0.04892139
6197-30-4,0.8825435,0.1174565
4248-21-9,0.17235065,0.82764935
24468-13-1,0.7678318,0.23216818
68037-57-0,0.91374695,0.08625308
1070-03-7,0.8812086,0.1187914
126-92-1,0.35948163,0.64051837
123-04-6,0.84506625,0.15493374
5588-20-5,0.2461847,0.7538153
63834-30-0,0.9181357,0.081864275
149-57-5,0.9247185,0.07528149
94-04-2,0.81238276,0.18761724
589-98-0,0.8003365,0.1996635
589-82-2,0.90251553,0.09748446
10138-47-3,0.8792025,0.12079751
10138-87-1,0.87784594,0.122154064
94-96-2,0.918956,0.08104402
98532-85-5,0.03823471,0.9617653
10140-93-9,0.32098097,0.67901903
7492-37-7,0.87321454,0.12678547
106-68-3,0.9090578,0.0909422
106-35-4,0.8871023,0.11289768
