CASRN,Toxic_xgboost_rdkit2d-0,Toxic_xgboost_rdkit2d-1
96-13-9,0.055515826,0.9444842
96-12-8,0.035576046,0.96442395
18791-02-1,0.023846209,0.9761538
75-81-0,0.047677577,0.9523224
590-12-5,0.058445156,0.94155484
2302-30-9,0.035609305,0.9643907
14689-59-9,0.003911495,0.9960885
79-27-6,0.21026987,0.78973013
63867-08-3,0.5494906,0.45050943
64047-47-8,0.3086834,0.6913166
63938-47-6,0.12649977,0.8735002
613-53-6,0.20870817,0.79129183
115-17-3,0.036153674,0.9638463
75-25-2,0.03912157,0.96087843
42136-31-2,0.037201107,0.9627989
64050-72-2,0.086285114,0.9137149
42136-30-1,0.100171864,0.89982814
26637-71-8,0.70359766,0.29640236
69094-18-4,0.1328932,0.8671068
74-95-3,0.08557218,0.9144278
3252-43-5,0.03447008,0.9655299
598-91-4,0.038604677,0.9613953
124-48-1,0.06753862,0.9324614
25497-30-7,0.76872784,0.23127218
83447-96-5,0.4356541,0.5643459
473-49-4,0.12231469,0.8776853
117900-35-3,0.32339138,0.6766086
4460-32-6,0.1096943,0.8903057
2260-08-4,0.55712533,0.44287467
386-17-4,0.6094266,0.39057335
67-30-1,0.6179536,0.3820464
16423-68-0,0.801382,0.19861798
10397-75-8,0.96765137,0.03234862
59017-64-0,0.9524353,0.047564667
79770-24-4,0.9383829,0.061617084
7246-21-1,0.75090545,0.24909453
96-84-4,0.18174613,0.8182539
59939-17-2,0.59985006,0.40014997
16034-77-8,0.89585567,0.10414433
22730-89-8,0.80400276,0.19599725
31112-62-6,0.91369486,0.08630511
440-58-4,0.9588281,0.04117191
66108-95-0,0.94709885,0.052901156
3115-05-7,0.74896944,0.25103056
111453-32-8,0.9433416,0.056658413
19403-92-0,0.31117886,0.68882114
35453-19-1,0.9725217,0.02747829
37441-29-5,0.9214757,0.0785243
19774-82-4,0.1888116,0.8111884
3861-47-0,0.15181941,0.8481806
57808-65-8,0.7703141,0.22968589
577-91-3,0.38912868,0.6108713
14689-57-7,0.0037665963,0.9962334
17601-49-9,0.68613493,0.3138651
1746-25-4,0.040312767,0.95968723
29717-26-8,0.8778441,0.122155875
75-47-8,0.21795756,0.78204244
68439-50-9,0.8729891,0.12701088
9004-95-9,0.95629954,0.043700486
65-29-2,0.5191131,0.48088688
63869-27-2,0.58079207,0.41920793
3247-33-4,0.29066515,0.70933485
70682-61-0,0.9656714,0.034328602
3319-31-1,0.9935203,0.006479705
301-13-3,0.968869,0.03113103
78-42-2,0.9404159,0.059584085
56706-10-6,0.7999038,0.20009618
160194-28-5,0.6317178,0.3682822
15458-87-4,0.16562396,0.83437604
105084-66-0,0.12679112,0.8732089
13080-06-3,0.78695154,0.21304849
15180-47-9,0.37884486,0.62115514
35077-00-0,0.936493,0.063507006
63869-22-7,0.14330715,0.85669285
139-60-6,0.48204303,0.517957
34206-40-1,0.9606716,0.039328393
752-56-7,0.70843935,0.29156062
74758-25-1,0.13719732,0.8628027
23505-41-1,0.041671574,0.9583284
154702-15-5,0.9718082,0.028191835
3857-80-5,0.021698713,0.9783013
3687-16-9,0.02463442,0.9753656
141-94-6,0.04575789,0.9542421
68289-21-4,0.14251137,0.85748863
67762-53-2,0.94309264,0.056907352
4559-86-8,0.7730933,0.22690672
10254-57-6,0.55120975,0.44879025
53306-54-0,0.9954693,0.004530717
1941-30-6,0.40673327,0.5932667
682-01-9,0.9736658,0.0263342
486455-65-6,0.6935488,0.3064512
126-57-8,0.99499965,0.0050003314
11138-60-6,0.9945478,0.005452196
78-16-0,0.9902482,0.009751794
106-20-7,0.43525606,0.56474394
295800-70-3,0.8943587,0.10564129
10143-60-9,0.89098597,0.10901401
22174-70-5,0.93697834,0.063021645
19074-24-9,0.99702674,0.002973251
122-62-3,0.99693495,0.003065022
103-24-2,0.99558526,0.004414753
103-23-1,0.99510926,0.004890731
2915-57-3,0.98829085,0.01170915
84731-70-4,0.9811388,0.018861169
117-81-7,0.9912772,0.008722757
14858-73-2,0.9856993,0.014300709
3658-48-8,0.9365952,0.06340481
298-07-7,0.88315237,0.11684764
63449-80-9,0.3957507,0.6042493
7425-14-1,0.9789338,0.02106621
18268-70-7,0.9703857,0.029614354
94-28-0,0.9875386,0.012461443
3282-85-7,0.702803,0.297197
7790-07-0,0.9929456,0.007054377
25724-60-1,0.98715794,0.012842077
10022-60-3,0.99246246,0.0075375685
468-61-1,0.093711495,0.9062885
4551-59-1,0.16380733,0.83619267
57647-13-9,0.08692324,0.91307676
27591-69-1,0.4497245,0.5502755
589-32-2,0.20041484,0.79958516
60012-88-6,0.47433907,0.52566093
78-53-5,0.011960685,0.9880393
115-79-7,0.76452845,0.23547155
122-31-6,0.8529533,0.14704669
78-10-4,0.77389616,0.22610386
17356-42-2,0.01992923,0.98007077
3689-24-5,0.20877355,0.79122645
563-12-2,0.084831536,0.91516846
6926-73-4,0.24760967,0.7523903
78-07-9,0.82158774,0.17841226
20395-17-9,0.0698393,0.9301607
18300-10-2,0.2192393,0.7807607
2667-40-5,0.049357414,0.9506426
55134-13-9,0.6418165,0.35818347
33446-90-1,0.9564502,0.043549765
17980-47-1,0.9594286,0.04057138
27879-29-4,0.32028955,0.67971045
35435-21-3,0.9519367,0.04806327
55934-93-5,0.87814236,0.12185767
52030-05-4,0.79689085,0.20310916
74051-80-2,0.48838925,0.51161075
2224-33-1,0.7712468,0.22875324
34036-80-1,0.8126118,0.18738815
6104-58-1,0.94364154,0.056358427
77-90-7,0.9258158,0.07418415
21327-31-1,0.5715275,0.4284725
5826-91-5,0.041149735,0.95885026
22787-59-3,0.13751578,0.8624842
22787-58-2,0.007073581,0.9929264
5675-57-0,0.027291179,0.9727088
3730-54-9,0.36125696,0.63874304
655-35-6,0.2987311,0.7012689
77-89-4,0.9061088,0.093891196
24748-23-0,0.8750764,0.12492362
70833-40-8,0.9013804,0.098619565
14504-73-5,0.09105569,0.9089443
67239-04-7,0.7662506,0.23374937
2595-54-2,0.025733173,0.9742668
5137-55-3,0.62163687,0.37836313
1421-14-3,0.5820153,0.41798475
2031-67-6,0.8380572,0.16194277
64036-99-3,0.004719734,0.99528027
26523-78-4,0.946646,0.053354044
68814-95-9,0.74533236,0.25466764
538-23-8,0.98818874,0.0118112285
68130-53-0,0.9951548,0.0048451982
2528-38-3,0.6202897,0.37971035
5343-44-2,0.9756396,0.024360396
5831-80-1,0.9751778,0.024822192
51249-05-9,0.16350871,0.8364913
102-85-2,0.82849294,0.17150705
126-73-8,0.88996905,0.11003095
998-40-3,0.7087003,0.29129973
115-78-6,0.17916977,0.8208302
33060-84-3,0.0774737,0.9225263
150-50-5,0.19685781,0.8031422
78-48-8,0.3292579,0.6707421
60-01-5,0.9047343,0.09526567
74125-01-2,0.04823786,0.95176214
1496-94-2,0.42790526,0.57209474
21270-07-5,0.046750367,0.95324963
29806-73-3,0.9916228,0.008377201
7346-61-4,0.69999045,0.30000955
59130-69-7,0.9900513,0.009948679
63907-12-0,0.9230082,0.07699182
1114-71-2,0.19744658,0.8025534
64058-98-6,0.03953284,0.96046716
64059-01-4,0.014944077,0.9850559
13194-48-4,0.019707263,0.98029274
2511-15-1,0.0593369,0.9406631
90220-15-8,0.0153157115,0.9846843
759-94-4,0.17182636,0.82817364
23184-66-9,0.28809023,0.7119098
51218-49-6,0.21399951,0.7860005
109965-82-4,0.114821315,0.8851787
20954-13-6,0.46446407,0.53553593
102579-43-1,0.5842123,0.4157877
168152-77-0,0.037594676,0.9624053
168152-89-4,0.03302908,0.9669709
92953-10-1,0.18661785,0.81338215
17088-72-1,0.4140103,0.5859897
60763-41-9,0.8719381,0.1280619
35850-79-4,0.8735367,0.12646331
3309-68-0,0.004872799,0.9951272
18109-81-4,0.21836609,0.7816339
52736-14-8,0.9779843,0.022015687
3862-08-6,0.90846735,0.091532625
139-45-7,0.9603678,0.039632175
38727-55-8,0.474068,0.525932
80472-88-4,0.056380153,0.94361985
51356-13-9,0.013107717,0.9868923
33210-44-5,0.0067237616,0.99327624
33210-40-1,0.009270847,0.99072915
33210-43-4,0.009015799,0.9909842
1912-26-1,0.052103937,0.94789606
7779-27-3,0.07894021,0.9210598
78816-48-5,0.2601825,0.7398175
2941-55-1,0.13925546,0.86074454
4740-11-8,0.02512592,0.9748741
125-99-5,0.08944672,0.9105533
5957-17-5,0.5876718,0.41232818
2001-81-2,0.34031826,0.65968174
56-37-1,0.16839057,0.8316094
9004-57-3,0.9005928,0.09940721
7789-92-6,0.89990675,0.10009327
10140-99-5,0.10079867,0.89920133
122-51-0,0.5287416,0.47125837
63869-26-1,0.024369001,0.975631
2425-25-4,0.019733965,0.98026603
5823-25-6,0.16229773,0.8377023
919-54-0,0.027063847,0.97293615
1067-47-6,0.8628207,0.13717933
919-30-2,0.85946023,0.1405398
76524-94-2,0.2671808,0.7328192
2602-34-8,0.75853217,0.24146783
14814-09-6,0.3393454,0.6606546
34708-08-2,0.2752943,0.7247057
15129-36-9,0.3434192,0.6565808
15267-95-5,0.35226226,0.64773774
122-52-1,0.5283891,0.47161093
78-40-0,0.21015239,0.7898476
78-38-6,0.09208548,0.9079145
126-75-0,0.0069786906,0.9930213
298-03-3,0.018088758,0.98191124
298-04-4,0.0064335465,0.99356645
298-02-2,0.0042067766,0.9957932
1186-09-0,0.009259105,0.9907409
2524-09-6,0.0033968687,0.99660313
2497-07-6,0.006483674,0.9935163
2588-03-6,0.003960967,0.99603903
2496-91-5,0.0050579906,0.994942
4891-54-7,0.053775907,0.9462241
2497-06-5,0.0061431527,0.99385685
2511-11-7,0.01887834,0.98112166
2404-78-6,0.014764428,0.9852356
688-62-0,0.06817019,0.9318298
1486-39-1,0.02217865,0.97782135
87310-56-3,0.16588855,0.83411145
55881-07-7,0.62104285,0.37895712
2229-55-2,0.9814168,0.018583167
79451-10-8,0.012112856,0.98788714
66996-10-9,0.031615674,0.9683843
30129-29-4,0.7004439,0.29955608
30129-30-7,0.6898973,0.31010267
55297-95-5,0.4705686,0.5294314
3004-70-4,0.15603459,0.8439654
53521-41-8,0.81406194,0.18593805
139-88-8,0.66191,0.33809
33820-53-0,0.81810725,0.18189275
5892-41-1,0.16365498,0.836345
1912-25-0,0.12754762,0.8724524
2275-18-5,0.015131354,0.98486865
87130-20-9,0.32936472,0.6706353
63873-23-4,0.0646193,0.9353807
78-52-4,0.0078789,0.9921211
63873-21-2,0.01469022,0.9853098
68649-11-6,0.8786254,0.12137464
63990-57-8,0.74550223,0.25449774
26818-53-1,0.10343808,0.8965619
27891-14-1,0.6892775,0.3107225
36756-79-3,0.49275076,0.50724924
19072-57-2,0.16322637,0.83677363
27591-74-8,0.16863602,0.831364
66734-13-2,0.92858505,0.07141492
5593-20-4,0.9479394,0.052060574
5534-09-8,0.9425429,0.057457063
27778-88-7,0.02696246,0.97303754
27778-86-5,0.017151833,0.98284817
27778-84-3,0.014059782,0.9859402
27778-80-9,0.014390528,0.9856095
27778-82-1,0.027892947,0.97210705
27684-92-0,0.012253761,0.98774624
26259-45-0,0.10380626,0.89619374
40618-52-8,0.041849554,0.95815045
69-05-6,0.72561073,0.27438927
9050-04-8,0.09144384,0.90855616
60735-64-0,0.2051298,0.7948702
24151-93-7,0.054513037,0.94548696
2109-64-0,0.54881686,0.45118314
22457-23-4,0.43096578,0.5690342
541-85-5,0.8570185,0.14298154
14355-07-8,0.086520135,0.91347986
10032-15-2,0.9718858,0.028114222
14355-12-5,0.059002697,0.9409973
10024-78-9,0.10866594,0.89133406
32838-28-1,0.7952343,0.20476565
57-33-0,0.045809627,0.9541904
71-73-8,0.100872755,0.89912724
871-22-7,0.9298467,0.07015328
105-82-8,0.8908385,0.109161526
29122-60-9,0.041773736,0.95822626
186817-80-1,0.9644345,0.035565466
7452-79-1,0.9820265,0.017973496
7286-69-3,0.080958605,0.9190414
98886-44-3,0.029745936,0.97025406
125-64-4,0.072500765,0.92749923
82834-16-0,0.9056678,0.094332226
730-07-4,0.45919198,0.540808
33499-11-5,0.520975,0.47902498
110429-62-4,0.57180434,0.42819566
67050-64-0,0.06414795,0.93585205
54-05-7,0.06524098,0.934759
1094-08-2,0.10416502,0.895835
30238-41-6,0.40835732,0.5916427
64241-34-5,0.13442814,0.86557186
33499-13-7,0.5171704,0.4828296
63867-07-2,0.29968315,0.70031685
15299-99-7,0.29619372,0.7038063
4630-95-9,0.13091439,0.8690856
66968-39-6,0.111726284,0.8882737
105-57-7,0.8840808,0.11591915
137658-79-8,0.7919148,0.20808518
7492-66-2,0.94983226,0.050167732
87820-88-0,0.5965346,0.40346542
103890-78-4,0.83069897,0.16930106
52-60-8,0.017233968,0.98276603
50765-73-6,0.028373778,0.9716262
50765-89-4,0.017342746,0.98265725
15763-48-1,0.38868535,0.61131465
22609-73-0,0.4234786,0.5765214
88045-99-2,0.7107346,0.28926536
56358-09-9,0.82417893,0.17582105
17702-79-3,0.05627364,0.94372636
41611-76-1,0.97245353,0.027546471
137-58-6,0.2903148,0.7096852
333-40-4,0.03778541,0.9622146
31775-20-9,0.9851625,0.014837495
105779-78-0,0.067091465,0.93290854
23191-75-5,0.5008106,0.49918938
88045-98-1,0.8179287,0.18207131
243973-20-8,0.35700166,0.64299834
57470-78-7,0.69144404,0.30855593
68227-46-3,0.15630984,0.84369016
5221-49-8,0.017408669,0.98259133
72542-60-0,0.01781869,0.9821813
79438-83-8,0.16720569,0.8327943
21409-78-9,0.117425025,0.882575
40374-14-9,0.062006295,0.9379937
29232-93-7,0.009407103,0.9905929
13171-21-6,0.015556574,0.9844434
73521-00-3,0.16566563,0.8343344
73512-92-2,0.05052936,0.94947064
73520-99-7,0.045248628,0.9547514
73512-93-3,0.11930132,0.8806987
73512-94-4,0.25122643,0.7487736
128606-48-4,0.03040278,0.9695972
57846-34-1,0.0510208,0.9489792
74639-40-0,0.6005651,0.3994349
1716-09-2,0.00412482,0.9958752
14143-09-0,0.030442595,0.9695574
10097-26-4,0.9749706,0.025029408
688-84-6,0.9841321,0.015867893
105-16-8,0.4103368,0.5896632
1918-08-7,0.6760392,0.32396075
14663-66-2,0.08132708,0.9186729
14663-67-3,0.032402396,0.9675976
10137-90-3,0.9001564,0.09984359
78193-97-2,0.65946484,0.3405352
58458-55-2,0.36465275,0.63534725
103-09-3,0.9805544,0.019445574
29214-60-6,0.89408886,0.10591114
23947-60-6,0.31198603,0.688014
437717-43-6,0.81053996,0.18946007
6946-94-7,0.62415606,0.37584394
1187-74-2,0.8924433,0.10755669
274671-61-3,0.12178022,0.8782198
2728-05-4,0.24451178,0.7554882
134-62-3,0.49081564,0.50918436
52406-01-6,0.8553273,0.14467268
953-32-2,0.010930181,0.9890698
60090-47-3,0.2605729,0.7394271
15386-51-3,0.035225987,0.964774
2728-04-3,0.44909143,0.55090857
56632-42-9,0.68745446,0.3125455
299-45-6,0.038407624,0.9615924
2425-15-2,0.016938984,0.983061
51356-23-1,0.011520565,0.98847944
51356-21-9,0.009796977,0.990203
3099-88-5,0.017946482,0.9820535
1942-78-5,0.01815188,0.9818481
108-35-0,0.017148376,0.9828516
15421-84-8,0.047543764,0.95245624
51356-11-7,0.008887351,0.99111265
51356-09-3,0.008030593,0.9919694
22439-40-3,0.017233491,0.9827665
5633-16-9,0.09730351,0.9026965
26662-09-9,0.034608305,0.9653917
21673-86-9,0.30352384,0.69647616
107812-70-4,0.48542583,0.51457417
105435-14-1,0.46229607,0.53770393
63979-26-0,0.25065953,0.7493405
75274-20-3,0.58545804,0.41454196
2532-92-5,0.19021088,0.8097891
2544-52-7,0.016692758,0.98330724
88-24-4,0.9217137,0.07828631
120-95-6,0.32359535,0.67640465
51959-14-9,0.109995246,0.89000475
79-74-3,0.61388373,0.38611624
10508-09-5,0.8821106,0.117889374
118134-30-8,0.2784645,0.7215355
3006-82-4,0.91976935,0.08023065
329-21-5,0.068942726,0.9310573
7795-74-6,0.025297105,0.9747029
69784-43-6,0.0707739,0.9292261
55285-14-8,0.031964898,0.9680351
42222-50-4,0.99590856,0.0040914295
3489-84-7,0.81931233,0.18068765
919-94-8,0.7775732,0.2224268
3734-95-0,0.015482366,0.98451763
129927-33-9,0.13977695,0.86022305
72590-77-3,0.93906254,0.06093749
13472-08-7,0.12755603,0.872444
78-66-0,0.5372884,0.4627116
1338-23-4,0.57660544,0.42339456
154619-86-0,0.016962945,0.98303705
154619-76-8,0.016120732,0.98387927
82559-96-4,0.66165876,0.33834124
82558-50-7,0.25422072,0.7457793
4268-36-4,0.35726964,0.64273036
5340-36-3,0.7788533,0.22114667
33236-05-4,0.008583844,0.99141616
33210-49-0,0.012571037,0.98742896
17091-21-3,0.71211624,0.2878838
82560-06-3,0.09323865,0.90676135
123199-92-8,0.38750488,0.6124951
77-74-7,0.49867302,0.501327
1986-53-4,0.8429773,0.1570227
55937-99-0,0.7837701,0.21622993
1081-95-4,0.0029287338,0.99707127
103446-98-6,0.3751428,0.6248572
19457-00-2,0.4214005,0.5785995
30087-47-9,0.014217615,0.9857824
40373-31-7,0.008751392,0.9912486
2631-26-7,0.0086173415,0.99138266
3772-48-3,0.009512365,0.99048764
1474-80-2,0.010684848,0.98931515
28616-48-0,0.0071430206,0.992857
55769-64-7,0.87550753,0.12449245
89591-51-5,0.3722247,0.6277753
63580-68-7,0.021677017,0.978323
60244-63-5,0.016358912,0.9836411
60244-60-2,0.04873216,0.95126784
7396-58-9,0.6386077,0.36139232
63039-90-7,0.02565068,0.9743493
18886-42-5,0.03993094,0.96006906
37686-84-3,0.042472005,0.957528
63717-17-9,0.05977243,0.94022757
57647-36-6,0.017193317,0.9828067
104907-82-6,0.1625759,0.8374241
80472-86-2,0.048452497,0.9515475
76597-98-3,0.6574519,0.34254807
513-10-0,0.008003652,0.99199635
107-64-2,0.15368056,0.84631944
68391-05-9,0.6788651,0.32113495
7173-51-5,0.21495569,0.7850443
37335-68-5,0.07115799,0.928842
124-03-8,0.18774402,0.812256
6458-13-5,0.093804836,0.90619516
70206-24-5,0.72610414,0.2738959
53-46-3,0.06385541,0.9361446
50-10-2,0.038833976,0.961166
54663-47-7,0.38920033,0.6107997
32358-09-1,0.2259193,0.7740807
24789-78-4,0.38241386,0.61758614
154-82-5,0.6746075,0.32539248
3700-98-9,0.13696426,0.86303574
3700-97-8,0.07490438,0.9250956
63917-07-7,0.101282,0.898718
38260-54-7,0.03839898,0.961601
2830-87-7,0.05245298,0.947547
21410-51-5,0.050798178,0.9492018
1634-78-2,0.017649889,0.9823501
121-75-5,0.08262664,0.91737336
18300-07-7,0.07006252,0.9299375
3344-12-5,0.04767251,0.9523275
51012-33-0,0.53397363,0.46602637
4104-03-4,0.009702265,0.99029773
816-19-3,0.96772385,0.032276146
15972-60-8,0.20423877,0.7957612
117666-91-8,0.3771025,0.6228975
117683-18-8,0.09001547,0.9099845
90220-16-9,0.018863857,0.98113614
673-04-1,0.36557525,0.63442475
64-96-0,0.07870698,0.921293
109410-00-6,0.031752467,0.96824753
364-62-5,0.19584233,0.8041577
4093-35-0,0.124648154,0.87535185
19351-21-4,0.25347865,0.74652135
304-84-7,0.23071587,0.7692841
19351-20-3,0.17484164,0.82515836
55619-22-2,0.46256143,0.5374386
919-53-9,0.05145538,0.9485446
90245-33-3,0.030462861,0.96953714
22082-34-4,0.01558876,0.98441124
78-62-6,0.7744145,0.2255855
1067-99-8,0.72938114,0.27061886
999-34-8,0.0782184,0.9217816
90220-14-7,0.014090717,0.9859093
996-04-3,0.014198244,0.98580176
996-05-4,0.043473184,0.9565268
63906-39-8,0.029357374,0.9706426
32744-43-7,0.07145697,0.92854303
7292-16-2,0.06759399,0.932406
1014-70-6,0.13021213,0.8697879
21923-23-9,0.0060921907,0.9939078
2404-05-9,0.02008599,0.979914
51528-03-1,0.52389616,0.47610384
3254-62-4,0.022533715,0.9774663
115-90-2,0.008887231,0.99111277
6587-45-7,0.018608212,0.9813918
6132-17-8,0.021116674,0.9788833
101526-62-9,0.58893585,0.41106415
109-66-0,0.93018174,0.06981827
110-54-3,0.7504597,0.24954034
1120-21-4,0.975193,0.024806967
112-40-3,0.9806737,0.019326352
629-50-5,0.98226887,0.017731132
629-59-4,0.9840523,0.015947683
593-45-3,0.975369,0.024631022
112-95-8,0.9655933,0.03440673
2500-88-1,0.9799523,0.02004775
627-83-8,0.99745005,0.002549948
26322-14-5,0.99288064,0.0071193655
41672-81-5,0.98051745,0.019482573
68153-95-7,0.6591023,0.3408977
53220-22-7,0.9932493,0.00675071
3234-85-3,0.99507666,0.004923347
16958-92-2,0.996512,0.0034880172
119-06-2,0.9964867,0.0035132773
3648-20-2,0.997335,0.0026650005
84-76-4,0.99195606,0.008043955
50602-85-2,0.65356886,0.34643114
119-07-3,0.99393845,0.00606154
8007-43-0,0.97391295,0.026087051
629-82-3,0.8424315,0.1575685
123-79-5,0.9879636,0.012036393
1639-66-3,0.85090685,0.14909317
2915-53-9,0.9915209,0.0084791
117-84-0,0.9935566,0.006443403
64896-70-4,0.93834245,0.06165754
1117-55-1,0.96570563,0.03429435
70729-68-9,0.9821525,0.017847477
110-32-7,0.9914486,0.008551435
10058-20-5,0.9805658,0.019434195
3006-15-3,0.4250002,0.5749998
84-75-3,0.99076116,0.009238834
61788-89-4,0.9905599,0.009440141
540-07-8,0.9782284,0.021771623
2050-92-2,0.3062637,0.6937363
13256-06-9,0.19637334,0.80362666
3913-02-8,0.97518426,0.024815729
2173-56-0,0.9780052,0.021994857
17810-51-4,0.08446884,0.91553116
21270-08-6,0.03644675,0.96355325
123-95-5,0.9922152,0.0077848043
110-36-1,0.9925981,0.007401889
626-82-4,0.987051,0.012948971
111-92-2,0.06829435,0.93170565
109-46-6,0.08786571,0.9121343
102-83-0,0.04401827,0.95598173
36167-63-2,0.26638776,0.73361224
102-81-8,0.19290268,0.8070973
102207-73-8,0.23021972,0.7697803
119-48-2,0.68002915,0.31997082
51861-34-8,0.34247327,0.65752673
924-16-3,0.030857801,0.9691422
127-59-3,0.34604365,0.65395635
142-96-1,0.69855464,0.30144534
112-48-1,0.93869495,0.061305076
112-98-1,0.8805982,0.11940184
141-17-3,0.96076095,0.039239034
16672-39-2,0.8435855,0.1564145
141-03-7,0.97044176,0.029558234
14338-82-0,0.22900724,0.77099276
6280-99-5,0.9000219,0.09997807
85-70-1,0.89780164,0.10219834
4056-77-3,0.9817349,0.018265108
1770-80-5,0.42229396,0.57770604
1962-75-0,0.9823495,0.017650481
84-74-2,0.9577065,0.042293485
7483-25-2,0.9688633,0.031136671
4092-75-5,0.3102697,0.6897303
1809-19-4,0.7773589,0.22264113
130525-77-8,0.47379583,0.52620417
2528-36-1,0.2782246,0.7217754
544-40-1,0.91641957,0.08358042
2639-63-6,0.98485357,0.015146453
51-03-6,0.65007997,0.34992
2430-27-5,0.34007472,0.6599253
63449-39-8,0.9396722,0.06032785
123-19-3,0.8092766,0.1907234
168152-91-8,0.05607623,0.9439238
74550-96-2,0.12022537,0.87977463
106-31-0,0.8130603,0.18693973
132-82-1,0.8453005,0.15469952
105-66-8,0.97737014,0.022629838
142-84-7,0.022129416,0.9778706
111757-17-6,0.24806929,0.7519307
99247-33-3,0.8346206,0.16537942
19044-88-3,0.7908263,0.20917365
52888-80-9,0.738719,0.26128098
91893-38-8,0.053974688,0.9460253
57-66-9,0.55746484,0.44253516
925-15-5,0.944921,0.055078965
136-45-8,0.7327315,0.26726848
58416-00-5,0.7532491,0.2467509
16066-38-9,0.61070955,0.38929042
104-75-6,0.03648162,0.9635184
10137-80-1,0.3459702,0.6540298
113-48-4,0.5665442,0.43345582
104-76-7,0.63539207,0.36460796
5397-31-9,0.29406065,0.70593935
10213-75-9,0.9094858,0.09051419
4126-58-3,0.9151367,0.08486332
1559-35-9,0.61292833,0.38707167
2461-15-6,0.7118382,0.2881618
103-44-6,0.9361992,0.06380081
21270-19-9,0.07359576,0.92640424
17751-71-2,0.017400622,0.9825994
17751-73-4,0.021156311,0.9788437
17751-72-3,0.030891716,0.9691083
17810-52-5,0.120456874,0.8795431
17751-68-7,0.15908861,0.8409114
21270-00-8,0.14680976,0.85319024
21270-16-6,0.032598555,0.96740144
21270-12-2,0.042476356,0.95752364
21270-02-0,0.03609997,0.9639
21270-03-1,0.04806894,0.95193106
13361-34-7,0.9123722,0.08762784
1928-43-4,0.09816563,0.90183437
1928-47-8,0.12436956,0.87563044
7659-86-1,0.76166165,0.23833835
103-11-7,0.91829413,0.08170589
5444-75-7,0.9758799,0.024120066
16397-70-9,0.7211673,0.27883264
4376-20-9,0.77658325,0.22341675
18750-05-5,0.9185831,0.0814169
6197-30-4,0.66457176,0.33542824
4248-21-9,0.6230453,0.3769547
24468-13-1,0.6750754,0.32492456
68037-57-0,0.89499146,0.10500852
1070-03-7,0.8157867,0.18421325
126-92-1,0.5602261,0.4397739
123-04-6,0.92319286,0.07680713
5588-20-5,0.35144967,0.64855033
63834-30-0,0.8033227,0.19667736
149-57-5,0.84155554,0.15844446
94-04-2,0.8053605,0.19463949
589-98-0,0.8433458,0.1566542
589-82-2,0.770658,0.22934201
10138-47-3,0.8489268,0.15107319
10138-87-1,0.9581074,0.041892603
94-96-2,0.86538774,0.13461226
98532-85-5,0.011735797,0.9882642
10140-93-9,0.17636263,0.82363737
7492-37-7,0.8512292,0.14877082
