CASRN,EPA_xgboost_ecfp6bits-1,EPA_xgboost_ecfp6bits-2,EPA_xgboost_ecfp6bits-3,EPA_xgboost_ecfp6bits-4
32536-52-0,0.059343383,0.2868156,0.49100015,0.1628408
27858-07-7,0.077513225,0.09066865,0.27338865,0.5584295
61262-53-1,0.04070639,0.1315669,0.53965586,0.2880709
84852-53-9,0.066841066,0.25133222,0.31355375,0.36827296
13654-09-6,0.041277166,0.0787058,0.241509,0.638508
3674-13-3,0.0075318697,0.12799029,0.7272958,0.13718203
78-75-1,0.016989969,0.25895342,0.60568255,0.11837409
89427-38-3,0.7753688,0.19643895,0.020302178,0.007890112
10474-14-3,0.037544433,0.3978524,0.51886255,0.04574066
300-76-5,0.39494595,0.28136992,0.23241869,0.09126537
2872-96-0,0.34733596,0.40947372,0.14097647,0.10221383
106-93-4,0.048320994,0.2983257,0.5014426,0.15191075
1947-58-6,0.017911905,0.13007493,0.52948505,0.32252812
96-13-9,0.017847678,0.18173477,0.51415175,0.2862658
96-12-8,0.04050867,0.40091282,0.51492023,0.043658294
18791-02-1,0.023046855,0.4435419,0.4284675,0.10494372
75-81-0,0.07220229,0.29997894,0.48327076,0.144548
590-12-5,0.10240192,0.29445982,0.39749703,0.20564121
2302-30-9,0.12664631,0.24277525,0.51620704,0.11437138
14689-59-9,0.9485827,0.03724698,0.0115919355,0.002578429
79-27-6,0.02356474,0.29435372,0.53738207,0.14469947
63867-08-3,0.06870253,0.13964003,0.3916222,0.40003526
64047-47-8,0.013850496,0.048152756,0.80597657,0.13202024
63938-47-6,0.04104493,0.17619582,0.735143,0.047616247
613-53-6,0.014121524,0.2069134,0.55178326,0.22718184
115-17-3,0.023154318,0.2589756,0.55726767,0.16060244
75-25-2,0.03369276,0.30327672,0.5116517,0.15137883
42136-31-2,0.51177406,0.39944938,0.06859683,0.020179711
64050-72-2,0.120528094,0.46194082,0.32858613,0.08894488
42136-30-1,0.10860717,0.81427485,0.0650538,0.012064205
26637-71-8,0.053614866,0.27219892,0.49665722,0.17752904
69094-18-4,0.05384676,0.16029124,0.57738495,0.20847706
74-95-3,0.047734745,0.31234863,0.45272276,0.18719383
3252-43-5,0.04823113,0.62305814,0.273424,0.055286717
598-91-4,0.020812314,0.5066937,0.37178692,0.100707084
124-48-1,0.02544619,0.29218155,0.54518616,0.13718607
25497-30-7,0.07998074,0.3151562,0.48990682,0.11495619
83447-96-5,0.0453224,0.17523704,0.60471576,0.17472482
473-49-4,0.06351836,0.1998644,0.54459435,0.19202286
117900-35-3,0.05215007,0.15895519,0.4886571,0.3002377
4460-32-6,0.14657038,0.12124816,0.6567861,0.07539539
2260-08-4,0.03184171,0.020762691,0.74615353,0.20124209
386-17-4,0.010407531,0.070218414,0.7895332,0.12984084
67-30-1,0.029463261,0.17869677,0.42073148,0.37110853
16423-68-0,0.02552625,0.083759874,0.34498647,0.54572743
10397-75-8,0.034027178,0.17131162,0.28730172,0.5073595
59017-64-0,0.017042747,0.014350857,0.10886168,0.85974467
79770-24-4,0.032478396,0.05379234,0.76287854,0.15085073
7246-21-1,0.011226814,0.104482934,0.83310825,0.05118197
96-84-4,0.04046625,0.08837072,0.72010064,0.15106235
59939-17-2,0.015909305,0.053766735,0.62583345,0.30449045
16034-77-8,0.018927058,0.13439476,0.47377843,0.37289974
22730-89-8,0.0078042625,0.13522016,0.29790857,0.559067
31112-62-6,0.050816637,0.10090334,0.23997086,0.6083092
440-58-4,0.07331566,0.1623129,0.495388,0.2689835
66108-95-0,0.0120961955,0.05812002,0.25723466,0.6725491
3115-05-7,0.0126547655,0.10586765,0.68966055,0.19181708
111453-32-8,0.005484277,0.026430989,0.0647964,0.9032883
19403-92-0,0.03474556,0.13252334,0.72531325,0.10741787
37441-29-5,0.108112335,0.1406953,0.625355,0.12583736
19774-82-4,0.00572238,0.078839876,0.80949694,0.1059408
3861-47-0,0.06119912,0.20141888,0.37737358,0.36000845
57808-65-8,0.05275009,0.39490193,0.35709912,0.19524884
577-91-3,0.012274698,0.17013153,0.7178116,0.09978221
14689-57-7,0.9034318,0.057934813,0.023917878,0.014715488
17601-49-9,0.020889873,0.36715743,0.52473104,0.08722168
1746-25-4,0.095463336,0.14911664,0.6541727,0.101247326
29717-26-8,0.009300428,0.048780765,0.05584634,0.8860725
75-47-8,0.020938613,0.4191814,0.39681393,0.16306612
68439-50-9,0.0022834102,0.048062127,0.67882353,0.2708309
9004-95-9,0.0029269625,0.041567985,0.7471763,0.20832874
65-29-2,0.03865043,0.16943799,0.7625794,0.029332153
63869-27-2,0.78089017,0.14975668,0.050533578,0.018819578
3247-33-4,0.75691813,0.11696726,0.1110802,0.0150344055
70682-61-0,0.003402264,0.025153944,0.5596316,0.41181225
3319-31-1,0.001336241,0.005591051,0.844201,0.1488717
301-13-3,0.003806188,0.102284305,0.48393044,0.40997905
78-42-2,0.011891505,0.12656073,0.6875685,0.17397925
56706-10-6,0.018905722,0.034646545,0.73996454,0.2064832
160194-28-5,0.11113765,0.376309,0.35946906,0.15308428
15458-87-4,0.09352257,0.2546287,0.47258183,0.17926697
105084-66-0,0.42518795,0.25634086,0.2943173,0.024153844
13080-06-3,0.008574079,0.12074303,0.41223428,0.45844865
15180-47-9,0.03437476,0.039922055,0.87593627,0.049766872
35077-00-0,0.0105638895,0.16249888,0.740967,0.08597023
63869-22-7,0.20694397,0.38760838,0.3269387,0.078509
139-60-6,0.018864295,0.073533595,0.8143527,0.09324938
34206-40-1,0.049281362,0.056086693,0.7229254,0.17170653
752-56-7,0.10216893,0.029317938,0.36558774,0.50292534
74758-25-1,0.006126575,0.36577913,0.5931371,0.03495722
23505-41-1,0.11852345,0.7786925,0.08609972,0.016684392
154702-15-5,0.00020775957,0.0056902436,0.6951951,0.29890695
3857-80-5,0.011147651,0.29696512,0.49731383,0.19457342
3687-16-9,0.017608782,0.1302407,0.5538374,0.29831308
141-94-6,0.0016775625,0.18053627,0.7270777,0.090708494
68289-21-4,0.008090551,0.13518795,0.7811592,0.07556229
67762-53-2,0.005431796,0.07328143,0.75143987,0.1698469
4559-86-8,0.009258871,0.21007188,0.45703268,0.32363656
10254-57-6,0.037006676,0.14579454,0.75627524,0.060923543
53306-54-0,0.002553885,0.025273588,0.6708933,0.30127922
1941-30-6,0.024296831,0.16641311,0.58859015,0.2206999
682-01-9,0.020482706,0.0631219,0.6578828,0.2585126
486455-65-6,0.0020853665,0.098456256,0.74682736,0.15263094
126-57-8,0.014253467,0.023792213,0.33755797,0.6243963
11138-60-6,0.020915419,0.06924984,0.31036553,0.5994692
78-16-0,0.014486191,0.04411633,0.5154191,0.4259784
106-20-7,0.0040267822,0.045401637,0.82044977,0.13012186
295800-70-3,0.002459627,0.010911891,0.9044663,0.08216224
10143-60-9,0.0034087964,0.15788932,0.53280765,0.30589423
22174-70-5,0.0028478766,0.05776697,0.2707188,0.66866636
19074-24-9,0.007482208,0.038568053,0.5060611,0.4478887
122-62-3,0.008086463,0.04042502,0.4157602,0.53572834
103-24-2,0.008687407,0.040979788,0.41956046,0.5307723
103-23-1,0.010231274,0.039011676,0.5584347,0.39232227
2915-57-3,0.0055763344,0.044026785,0.4929847,0.45741218
84731-70-4,0.0038119738,0.024840211,0.5829848,0.38836303
117-81-7,0.0014420486,0.023179993,0.7848879,0.19049005
14858-73-2,0.0016899816,0.032984167,0.8144779,0.15084787
3658-48-8,0.002916298,0.078294605,0.7412182,0.1775709
298-07-7,0.0043166038,0.18489861,0.48903453,0.32175022
63449-80-9,0.014634446,0.1646688,0.49402288,0.32667395
7425-14-1,0.0030650434,0.024232654,0.74892503,0.22377726
18268-70-7,0.0028030085,0.026272796,0.52051973,0.45040444
94-28-0,0.0045828745,0.026555466,0.4741483,0.49471337
3282-85-7,0.008367704,0.10478238,0.76032144,0.12652853
7790-07-0,0.007493118,0.036946084,0.3446668,0.610894
25724-60-1,0.003965707,0.045059852,0.6305442,0.32043022
10022-60-3,0.020320771,0.044100486,0.44695607,0.48862264
468-61-1,0.0062432257,0.08452823,0.7964627,0.112765886
4551-59-1,0.016578952,0.11196816,0.76122206,0.11023078
57647-13-9,0.003577032,0.1013403,0.87352306,0.021559605
27591-69-1,0.0104004415,0.047526658,0.85436165,0.08771122
589-32-2,0.030226624,0.26587135,0.67313796,0.03076413
60012-88-6,0.015865466,0.034924574,0.90833175,0.040878203
78-53-5,0.73663527,0.19050865,0.06300559,0.009850483
115-79-7,0.03758619,0.108413145,0.80644697,0.047553696
122-31-6,0.0072711497,0.12615064,0.79533273,0.071245484
78-10-4,0.02499004,0.07413213,0.6731472,0.22773062
17356-42-2,0.88299555,0.088056065,0.02657903,0.0023693165
3689-24-5,0.32551664,0.44808412,0.19228408,0.03411511
563-12-2,0.84412205,0.118483335,0.03370328,0.0036913515
6926-73-4,0.9417024,0.02886748,0.025400765,0.0040293187
78-07-9,0.02757157,0.11023628,0.68422365,0.17796846
20395-17-9,0.93248624,0.030029828,0.017966257,0.01951765
18300-10-2,0.93334186,0.04856443,0.016198792,0.0018948738
2667-40-5,0.5102733,0.24363977,0.14649414,0.09959285
55134-13-9,0.21503307,0.0078031663,0.46743536,0.30972838
33446-90-1,0.014758445,0.13578662,0.19022931,0.65922564
27879-29-4,0.011392878,0.2522807,0.65445334,0.08187307
35435-21-3,0.005453302,0.035007756,0.5544433,0.4050956
55934-93-5,0.01620103,0.034211807,0.7393373,0.21024984
52030-05-4,0.009754195,0.10553072,0.6928026,0.19191249
74051-80-2,0.12379974,0.2543738,0.48976684,0.13205959
2224-33-1,0.30202726,0.042283967,0.4862442,0.16944456
34036-80-1,0.04462998,0.035467587,0.86112404,0.05877835
6104-58-1,0.0079445895,0.012400689,0.48618308,0.49347168
77-90-7,0.04078163,0.0510478,0.22493508,0.68323547
21327-31-1,0.57988864,0.21736446,0.08589024,0.11685664
5826-91-5,0.44345215,0.3167378,0.1794615,0.06034858
22787-59-3,0.62291884,0.102911256,0.1325277,0.14164215
22787-58-2,0.87066525,0.089265056,0.031525195,0.008544457
5675-57-0,0.43356326,0.14275329,0.14977498,0.27390844
3730-54-9,0.2526866,0.10979853,0.44616395,0.19135097
655-35-6,0.0017009893,0.038353834,0.9437495,0.016195677
77-89-4,0.019369032,0.083579525,0.41438258,0.48266885
24748-23-0,0.13667886,0.27649245,0.3877499,0.19907881
70833-40-8,0.0016318292,0.009696704,0.89900446,0.08966703
14504-73-5,0.045118578,0.081475206,0.8020536,0.071352586
67239-04-7,0.0081316065,0.0688758,0.81246734,0.11052526
2595-54-2,0.56563604,0.34495193,0.05537007,0.034041934
5137-55-3,0.023569636,0.2479458,0.49059367,0.23789091
1421-14-3,0.06493218,0.068102814,0.7384571,0.1285079
2031-67-6,0.023204524,0.026081966,0.6763483,0.27436525
64036-99-3,0.92920274,0.042602655,0.007872259,0.020322356
26523-78-4,0.0048226877,0.11940793,0.4373006,0.4384688
68814-95-9,0.007957111,0.19432366,0.51896113,0.27875814
538-23-8,0.0073419968,0.051425874,0.2233825,0.7178496
68130-53-0,0.0007152486,0.036621027,0.24408643,0.71857727
2528-38-3,0.026834592,0.16765815,0.42434692,0.38116032
5343-44-2,0.0028505293,0.056911845,0.5210984,0.41913927
5831-80-1,0.0021180734,0.050631586,0.49292496,0.45432532
51249-05-9,0.11222437,0.078577444,0.33493698,0.4742612
102-85-2,0.042687777,0.20264569,0.47370425,0.28096232
126-73-8,0.020205025,0.26963887,0.46904793,0.24110813
998-40-3,0.024642808,0.24467997,0.5282686,0.20240864
115-78-6,0.002750268,0.48098892,0.48609,0.030170834
33060-84-3,0.0025671944,0.22586961,0.6650511,0.1065121
150-50-5,0.04026775,0.21782094,0.58594286,0.15596843
78-48-8,0.18230647,0.54166776,0.19013298,0.08589279
60-01-5,0.0059748045,0.056444585,0.22682987,0.71075076
74125-01-2,0.3287403,0.40587097,0.1560735,0.109315224
1496-94-2,0.115848035,0.2638261,0.4150451,0.20528069
21270-07-5,0.00014267216,0.88115656,0.055927027,0.06277369
29806-73-3,0.0039716396,0.014821921,0.3760817,0.6051248
7346-61-4,0.011005967,0.06833976,0.6032389,0.31741542
59130-69-7,0.0032897189,0.01667773,0.15519847,0.8248341
63907-12-0,0.007413593,0.014140409,0.033312462,0.9451335
1114-71-2,0.016346544,0.21075545,0.63773686,0.13516116
64058-98-6,0.0069422894,0.6139253,0.29811674,0.08101567
64059-01-4,0.017824445,0.4892842,0.3570277,0.13586372
13194-48-4,0.5158389,0.30749384,0.10436846,0.07229881
2511-15-1,0.58098674,0.2487994,0.11568902,0.054524846
90220-15-8,0.7227699,0.19433993,0.057457063,0.025433082
759-94-4,0.028617978,0.22556421,0.56595904,0.17985879
23184-66-9,0.008843697,0.18662769,0.693056,0.111472644
51218-49-6,0.012052096,0.15782067,0.73584723,0.094279945
109965-82-4,0.003357395,0.14334445,0.81105447,0.042243708
20954-13-6,0.0003841618,0.0020956518,0.94398504,0.053535145
102579-43-1,0.0005458992,0.01981297,0.75614774,0.22349334
168152-77-0,0.0017051233,0.9858329,0.011343989,0.0011180008
168152-89-4,0.0002952102,0.9525518,0.046209678,0.0009433401
92953-10-1,0.032533586,0.19798201,0.59549284,0.17399156
17088-72-1,0.03219558,0.09176735,0.69809306,0.17794403
60763-41-9,0.009974133,0.02488213,0.3596356,0.60550815
35850-79-4,0.0066142427,0.0568665,0.38889208,0.5476272
3309-68-0,0.8841794,0.07022131,0.041345775,0.004253512
18109-81-4,0.0018149131,0.07741007,0.88813025,0.032644738
52736-14-8,0.14423473,0.12400354,0.40850028,0.3232615
3862-08-6,0.06297083,0.18605714,0.4935045,0.25746757
139-45-7,0.018709594,0.19087934,0.4833201,0.30709097
38727-55-8,0.0053400234,0.08880397,0.8309499,0.074906066
80472-88-4,0.0034718364,0.030285552,0.8942264,0.07201625
51356-13-9,0.75469,0.11955846,0.10185696,0.023894617
33210-44-5,0.0025324395,0.35489097,0.61887324,0.023703355
33210-40-1,0.0037774593,0.7789517,0.19630297,0.02096784
33210-43-4,0.0022583224,0.6201702,0.32409614,0.053475384
1912-26-1,0.028659731,0.21077524,0.70429415,0.0562709
7779-27-3,0.027614053,0.16307178,0.73724926,0.07206489
78816-48-5,0.0030009921,0.49350125,0.43812668,0.065371044
2941-55-1,0.029121686,0.06834172,0.85704666,0.045489922
4740-11-8,0.029683053,0.2853018,0.62858623,0.056428865
125-99-5,0.18160091,0.14282729,0.6324056,0.043166265
5957-17-5,0.028206376,0.06380836,0.766504,0.14148131
2001-81-2,0.010036626,0.07021106,0.8438809,0.07587146
56-37-1,0.10223882,0.24100944,0.5602513,0.096500434
9004-57-3,0.004988792,0.023896355,0.27616063,0.6949542
7789-92-6,0.0057784123,0.12222124,0.67574596,0.19625445
10140-99-5,0.015392741,0.1398199,0.7286224,0.116164975
122-51-0,0.017653178,0.19904436,0.5560143,0.22728817
63869-26-1,0.3868259,0.48028365,0.065351635,0.06753888
2425-25-4,0.45699567,0.2288922,0.16198176,0.15213032
5823-25-6,0.24598055,0.30503345,0.36770302,0.081283
919-54-0,0.35344207,0.38830656,0.232844,0.025407352
998-30-1,0.048849437,0.12927729,0.6408628,0.18101045
1067-47-6,0.015451479,0.029985715,0.8812796,0.07328314
919-30-2,0.014875018,0.14428832,0.7859836,0.054853074
76524-94-2,0.014985697,0.06939093,0.6845667,0.23105668
2602-34-8,0.003221988,0.018599074,0.69193435,0.2862446
14814-09-6,0.007502193,0.062493525,0.9116148,0.0183895
34708-08-2,0.052007277,0.10693649,0.7030632,0.13799305
15129-36-9,0.0033493135,0.042410586,0.8210077,0.13323234
15267-95-5,0.032280926,0.05564351,0.83157045,0.080505095
122-52-1,0.03412315,0.20970756,0.53849334,0.21767598
78-40-0,0.3574694,0.2937222,0.23644935,0.11235907
78-38-6,0.53826743,0.18149786,0.1481823,0.13205245
126-75-0,0.9291074,0.045063257,0.021381741,0.0044475957
298-03-3,0.527836,0.33591744,0.123589545,0.012657003
298-04-4,0.615657,0.24915919,0.12925139,0.0059324545
298-02-2,0.7645771,0.17147614,0.060198504,0.0037482881
1186-09-0,0.9001391,0.07146047,0.015564375,0.012836049
2524-09-6,0.8569888,0.09784625,0.041068587,0.004096436
2497-07-6,0.5813942,0.330665,0.07017622,0.017764555
2588-03-6,0.7345687,0.17051676,0.07508326,0.019831292
2496-91-5,0.89133614,0.0673676,0.017844174,0.023452032
4891-54-7,0.5900765,0.16842887,0.2180102,0.023484413
2497-06-5,0.7728359,0.1179366,0.091843516,0.017384008
2511-11-7,0.9512002,0.022127021,0.014458702,0.012214053
2404-78-6,0.8166042,0.09570457,0.051809385,0.035881888
688-62-0,0.04421044,0.2743582,0.5647057,0.116725646
1486-39-1,0.30451208,0.43222156,0.18013453,0.08313177
87310-56-3,0.0059589464,0.10202044,0.8613461,0.03067441
55881-07-7,0.01761058,0.00035238377,0.16286749,0.8191696
2229-55-2,0.0035722745,0.02650539,0.41666025,0.55326205
79451-10-8,0.09040032,0.59739476,0.2085431,0.1036618
66996-10-9,0.21259966,0.5380479,0.20443054,0.044921845
30129-29-4,0.01682369,0.07063253,0.80827254,0.10427121
30129-30-7,0.005171974,0.11054077,0.6696304,0.21465686
55297-95-5,0.009543778,0.15300046,0.5825877,0.25486806
3004-70-4,0.02556559,0.09148442,0.7985951,0.084354945
53521-41-8,0.023348888,0.22698158,0.26996097,0.4797086
139-88-8,0.0024062872,0.101049945,0.5701073,0.32643652
33820-53-0,0.016389009,0.28985164,0.6475217,0.046237685
5892-41-1,0.0070349216,0.17984723,0.62724626,0.18587162
1912-25-0,0.0054283557,0.06734327,0.89778686,0.029441467
2275-18-5,0.4858527,0.17105652,0.33183083,0.011259945
87130-20-9,0.0050534,0.0883698,0.801073,0.105503835
63873-23-4,0.6985801,0.15834619,0.124966554,0.018107135
78-52-4,0.8849856,0.08209881,0.025993727,0.006921778
63873-21-2,0.27938625,0.434913,0.17907815,0.1066226
68649-11-6,0.0024364637,0.05336603,0.26583627,0.67836124
63990-57-8,0.003260813,0.36704716,0.43436128,0.19533078
26818-53-1,0.024345284,0.20158634,0.6323277,0.14174068
27891-14-1,0.011422416,0.17564741,0.65888405,0.15404612
36756-79-3,0.066639565,0.20973456,0.59768313,0.12594275
19072-57-2,0.009598683,0.26942384,0.60396427,0.11701321
27591-74-8,0.58966905,0.13884862,0.20698021,0.06450214
66734-13-2,0.121963896,0.07935632,0.61386824,0.18481156
5593-20-4,0.0010688938,0.0045243762,0.97872823,0.015678553
5534-09-8,0.0040982314,0.060504403,0.83708274,0.09831465
27778-88-7,0.0043221265,0.72550285,0.2543848,0.015790181
27778-86-5,0.0022993765,0.7239524,0.26843262,0.0053156307
27778-84-3,0.0145106,0.3375211,0.62866986,0.019298421
27778-80-9,0.0066390047,0.25023314,0.7376419,0.005485972
27778-82-1,0.03417647,0.1474287,0.8025647,0.015830137
27684-92-0,0.008038253,0.48369762,0.49525458,0.013009579
26259-45-0,0.0051077516,0.052486844,0.8372096,0.105195835
40618-52-8,0.32457379,0.34042284,0.2816234,0.053380046
69-05-6,0.009616788,0.46414384,0.46120265,0.06503668
9050-04-8,0.010478205,0.34275168,0.5717719,0.074998185
60735-64-0,0.010247844,0.14462543,0.789411,0.055715743
24151-93-7,0.21518959,0.5182925,0.2353625,0.031155447
2109-64-0,0.0054678023,0.06459241,0.48281616,0.44712368
22457-23-4,0.022794796,0.21741302,0.6183939,0.14139825
541-85-5,0.025597515,0.12301257,0.6283231,0.22306684
14355-07-8,0.030707713,0.4571633,0.47600242,0.03612655
10032-15-2,0.0037025316,0.040203694,0.27519524,0.68089855
14355-12-5,0.1296342,0.7720476,0.089287184,0.009031067
10024-78-9,0.002429651,0.34696347,0.54052806,0.11007881
32838-28-1,0.009962613,0.032046042,0.55979615,0.39819518
57-33-0,0.028570205,0.5059717,0.43074265,0.034715433
71-73-8,0.020605354,0.23825172,0.5438007,0.19734223
871-22-7,0.006510979,0.22992328,0.59484416,0.16872159
105-82-8,0.010387386,0.18825227,0.5169221,0.28443822
29122-60-9,0.005898104,0.06113064,0.90747803,0.025493233
186817-80-1,0.0018958228,0.11094638,0.58768123,0.29947656
7452-79-1,0.008512662,0.17881905,0.5721694,0.24049884
7286-69-3,0.031904608,0.12977408,0.67073554,0.16758573
98886-44-3,0.21063446,0.34266096,0.29406542,0.15263917
125-64-4,0.06804081,0.2894216,0.4523964,0.1901412
82834-16-0,0.047375068,0.115048416,0.44626993,0.39130664
730-07-4,0.020913312,0.06581313,0.7538916,0.15938202
33499-11-5,0.008710166,0.07118447,0.8182468,0.101858556
110429-62-4,0.012737704,0.045952853,0.8134486,0.12786089
67050-64-0,0.016841795,0.53673667,0.37681475,0.0696068
54-05-7,0.0024955205,0.32821912,0.661838,0.007447371
1094-08-2,0.012703642,0.43235195,0.5365652,0.018379245
30238-41-6,0.0035027217,0.041155178,0.84737504,0.107967004
64241-34-5,0.024150312,0.14758104,0.66519445,0.16307425
33499-13-7,0.0067318375,0.17232125,0.7286867,0.09226024
63867-07-2,0.01567773,0.35805616,0.49435732,0.13190876
15299-99-7,0.0010616754,0.29048488,0.61767143,0.09078198
4630-95-9,0.047463614,0.025625579,0.8213908,0.10552
66968-39-6,0.16398704,0.17348972,0.5995557,0.06296759
105-57-7,0.017946681,0.15551649,0.4065473,0.4199896
137658-79-8,0.0003521771,0.0123102795,0.91628176,0.07105581
7492-66-2,0.002066945,0.0068076905,0.27512118,0.71600413
87820-88-0,0.019119054,0.10897848,0.667439,0.20446348
103890-78-4,0.041704234,0.024142232,0.6114536,0.3226999
52-60-8,0.7747277,0.19271731,0.019777691,0.012777363
50765-73-6,0.03878407,0.5609367,0.38682702,0.013452203
50765-89-4,0.0050690114,0.89088815,0.09379615,0.010246727
15763-48-1,0.020458644,0.14166817,0.73246396,0.10540925
22609-73-0,0.01291199,0.28887442,0.46722394,0.23098962
88045-99-2,0.017127728,0.046420164,0.5582094,0.3782427
56358-09-9,0.002470724,0.2217979,0.56051564,0.21521573
17702-79-3,0.05112468,0.8433329,0.08893509,0.016607286
41611-76-1,0.005816138,0.09274455,0.53645533,0.36498395
137-58-6,0.016202835,0.09929635,0.85864687,0.02585393
333-40-4,0.13636202,0.70652246,0.14095958,0.01615596
31775-20-9,0.029831154,0.019689923,0.7637919,0.18668701
105779-78-0,0.013769197,0.47227803,0.43699482,0.07695789
23191-75-5,0.04326451,0.073210575,0.76098496,0.12253996
88045-98-1,0.020849645,0.045989852,0.78503233,0.14812823
243973-20-8,0.0050198794,0.09008536,0.81850004,0.08639472
57470-78-7,0.00050256203,0.017173858,0.899664,0.08265967
68227-46-3,0.008355421,0.07732214,0.8796574,0.034665022
5221-49-8,0.2754919,0.66083205,0.045323767,0.018352322
72542-60-0,0.049353212,0.682298,0.24425504,0.024093686
79438-83-8,0.119004,0.7812759,0.06328863,0.036431406
21409-78-9,0.65354526,0.13979627,0.12637666,0.08028181
40374-14-9,0.08879459,0.2696886,0.60860264,0.032914203
29232-93-7,0.025130268,0.577822,0.36827478,0.028772922
13171-21-6,0.2201393,0.45817602,0.27194542,0.0497393
73521-00-3,0.014207035,0.58053964,0.33951244,0.065740876
73512-92-2,0.05929722,0.53112614,0.30689347,0.10268319
73520-99-7,0.0024127432,0.62593526,0.34659076,0.025061257
73512-93-3,0.012536684,0.3190652,0.58930737,0.07909068
73512-94-4,0.029623738,0.6212627,0.2886254,0.060488176
128606-48-4,0.3209354,0.39104962,0.26576713,0.022247797
57846-34-1,0.03230004,0.80623645,0.150547,0.0109165
74639-40-0,0.010778629,0.103424825,0.5055132,0.38028336
1716-09-2,0.46971524,0.50173837,0.019169632,0.009376771
14143-09-0,0.4931518,0.15167221,0.19744778,0.15772821
10097-26-4,0.0023192116,0.018565295,0.061406743,0.91770875
688-84-6,0.0028497535,0.026577586,0.34822273,0.6223499
105-16-8,0.03909787,0.201323,0.36569813,0.393881
1918-08-7,0.029826552,0.23346865,0.5088891,0.22781569
14663-66-2,0.06628244,0.59341794,0.27719784,0.06310176
14663-67-3,0.116079874,0.59488773,0.19280197,0.0962304
10137-90-3,0.008070688,0.07839096,0.7376355,0.17590281
78193-97-2,0.0022416657,0.031610228,0.9603418,0.0058062933
58458-55-2,0.024433441,0.008930791,0.919286,0.047349747
103-09-3,0.004277625,0.034552097,0.5254772,0.4356931
29214-60-6,0.0015819956,0.07497194,0.19174609,0.73169994
