CASRN,EPA_xgboost_rdkit2d-1,EPA_xgboost_rdkit2d-2,EPA_xgboost_rdkit2d-3,EPA_xgboost_rdkit2d-4
89427-33-8,0.99986255,0.000119057724,1.1952683e-05,6.366319e-06
14689-56-6,0.9999033,6.449325e-05,2.7503607e-05,4.6958894e-06
3393-60-0,0.9990005,0.00095202774,2.0446581e-05,2.7026503e-05
89427-29-2,0.9996686,0.0002922857,3.5839694e-05,3.2665616e-06
15287-51-1,0.1321788,0.24036619,0.6076446,0.01981037
94847-66-2,0.22381026,0.28441864,0.44658557,0.04518556
2034-22-2,0.26372874,0.4313677,0.30021966,0.0046838783
52907-07-0,0.03868091,0.008107109,0.15562922,0.7975828
50585-41-6,0.50238484,0.13199182,0.094850406,0.2707729
3322-93-8,0.011224179,0.16040738,0.7922516,0.03611681
21850-44-2,0.005232611,0.0036490762,0.039258406,0.9518599
7682-32-8,0.99952304,0.00044509748,1.3073031e-05,1.8823694e-05
89427-35-0,0.9999217,5.951589e-05,1.5045792e-05,3.767835e-06
126-72-7,0.11841731,0.024750128,0.4784294,0.3784032
3194-55-6,0.00051456597,0.0089902645,0.49414688,0.49634826
20566-35-2,0.010450493,0.38552472,0.29097158,0.3130532
2338-30-9,0.99810946,0.0018029828,7.729845e-05,1.0276339e-05
87-84-3,0.0019029587,0.070383444,0.8060436,0.12166994
608-71-9,0.26041514,0.0041979477,0.7130718,0.022315115
32588-76-4,0.0014374452,0.0020743217,0.016697904,0.97979033
32536-52-0,0.11474509,0.021585247,0.06397874,0.79969096
27858-07-7,0.00037620706,0.0028282437,0.007258233,0.98953736
61262-53-1,0.007614243,0.011180195,0.036361687,0.9448438
84852-53-9,2.7687394e-05,9.610535e-05,0.0014883236,0.99838793
13654-09-6,3.6965408e-05,4.9208564e-05,0.0007391136,0.99917465
3674-13-3,2.0059804e-05,0.01604332,0.9832681,0.0006685444
78-75-1,0.0010675465,0.6899507,0.30165237,0.007329335
89427-38-3,0.96506304,0.03416508,0.00061778515,0.00015403965
10474-14-3,0.00043200722,0.10341814,0.8954156,0.0007342816
300-76-5,0.93976194,0.049973447,0.008715273,0.0015493388
2872-96-0,0.07684019,0.91586256,0.005249509,0.0020477325
106-93-4,0.001223085,0.9436859,0.05503762,5.3409854e-05
1947-58-6,0.00065038295,0.029845752,0.9651862,0.004317613
96-13-9,0.08405394,0.5232592,0.39153013,0.0011566627
96-12-8,0.0022405433,0.023080554,0.97355914,0.0011197226
18791-02-1,0.00022091468,0.96825224,0.03143807,8.884198e-05
75-81-0,0.00011022918,0.516455,0.47057346,0.012861325
590-12-5,0.00030410738,0.97857076,0.017131362,0.0039937883
2302-30-9,0.24058583,0.6968121,0.062335912,0.00026620124
14689-59-9,0.99981827,0.00014856258,2.3525952e-05,9.72955e-06
79-27-6,0.00013983823,0.8630035,0.13104156,0.0058151404
63867-08-3,0.007819844,0.013908967,0.6425887,0.33568248
64047-47-8,0.0015499076,0.008750254,0.9858021,0.0038976937
63938-47-6,0.008398994,0.09931402,0.8847019,0.007585088
613-53-6,0.0010098055,0.379803,0.5526325,0.06655469
115-17-3,0.0095012905,0.7241183,0.26580873,0.000571671
75-25-2,0.0003444099,0.9748496,0.024245873,0.00056013925
42136-31-2,0.92693746,0.053813122,0.01743084,0.0018185846
64050-72-2,0.0031342488,0.9902874,0.0056874417,0.00089090294
42136-30-1,0.0023076339,0.98691756,0.010577881,0.00019688538
26637-71-8,0.0006442861,0.030970419,0.9431394,0.025245862
69094-18-4,0.43362898,0.41846263,0.11147622,0.036432207
74-95-3,0.004180866,0.929092,0.03614744,0.030579664
3252-43-5,0.001402014,0.9958931,0.0024637696,0.00024109543
598-91-4,0.29894915,0.48282397,0.16309306,0.055133827
124-48-1,0.0005369445,0.060694788,0.9331245,0.0056437827
25497-30-7,0.0024088968,0.014070878,0.014034652,0.9694856
83447-96-5,0.0013357167,0.21224608,0.7850646,0.0013536352
473-49-4,0.064001285,0.6166032,0.30795923,0.011436366
117900-35-3,0.0142482035,0.1074102,0.867765,0.010576568
4460-32-6,0.2876788,0.5095753,0.1972101,0.005535828
2260-08-4,0.01146227,0.061189413,0.687611,0.23973732
386-17-4,0.008207054,0.027357616,0.9090916,0.05534373
67-30-1,0.0012700498,0.1747165,0.64501536,0.17899811
16423-68-0,0.06667899,0.0374057,0.83000845,0.06590684
10397-75-8,0.00045981514,0.00021225159,0.007932325,0.99139565
59017-64-0,0.0006668908,0.00030398098,0.005374049,0.9936551
79770-24-4,0.003207846,0.002130898,0.030410824,0.9642505
7246-21-1,0.0068918513,0.15651701,0.6842511,0.15234
96-84-4,0.07824166,0.2645615,0.53197986,0.12521698
59939-17-2,0.008438135,0.14381163,0.62601376,0.22173646
16034-77-8,0.010926994,0.038243268,0.8280592,0.122770585
22730-89-8,0.011179128,0.085318826,0.17171592,0.73178613
31112-62-6,0.0015468402,0.0023871844,0.087966904,0.9080991
440-58-4,0.0016575621,0.00069593237,0.5696933,0.42795315
66108-95-0,0.0029130857,0.0019102927,0.05284096,0.94233567
3115-05-7,0.0020135795,0.097789235,0.847526,0.052671183
111453-32-8,0.0030280969,0.0062861405,0.051281273,0.9394045
19403-92-0,0.056998875,0.6392993,0.3008577,0.0028441534
37441-29-5,0.0041575367,0.007951342,0.7044452,0.28344592
19774-82-4,0.0011858701,0.020463333,0.96766126,0.010689572
3861-47-0,0.0013517628,0.9658721,0.022220464,0.010555604
57808-65-8,0.012616126,0.11798229,0.8323122,0.03708936
577-91-3,0.01015783,0.059485845,0.9249066,0.0054497253
14689-57-7,0.5604709,0.43903247,0.00021022196,0.00028642477
17601-49-9,0.03392718,0.25001162,0.68944865,0.026612578
1746-25-4,0.81604767,0.13666098,0.043743353,0.0035479947
29717-26-8,0.01257491,0.009800638,0.24871147,0.72891295
75-47-8,0.0029800783,0.07560434,0.8725963,0.04881927
68439-50-9,9.382549e-05,3.7613518e-05,0.9846613,0.015207334
9004-95-9,9.7067306e-05,0.00017759214,0.98649234,0.013232962
65-29-2,0.0016776568,0.012173449,0.9436497,0.042499177
63869-27-2,0.82793707,0.022062724,0.07553896,0.07446124
3247-33-4,0.8548922,0.007835902,0.10984834,0.027423598
70682-61-0,0.00044769415,0.00011592424,0.9300272,0.06940925
3319-31-1,9.6764474e-05,5.5541255e-05,0.026364164,0.97348356
301-13-3,0.00015414327,9.2145034e-05,0.024011798,0.97574186
78-42-2,0.00039152073,3.3078464e-05,0.06674612,0.93282926
56706-10-6,0.10466806,0.013830431,0.48815224,0.39334926
160194-28-5,0.016100788,0.111174524,0.5630516,0.30967313
15458-87-4,0.0012318675,0.90134597,0.09517142,0.0022507103
105084-66-0,0.025003383,0.17472397,0.7872486,0.013024062
13080-06-3,0.0023270296,0.0035425064,0.96204805,0.032082383
15180-47-9,0.0008791408,0.004294269,0.99079984,0.004026726
35077-00-0,0.00040216823,0.0028767432,0.99145997,0.0052610813
63869-22-7,0.62071955,0.22778149,0.13240738,0.019091565
139-60-6,0.00022886411,0.0013252796,0.99551183,0.0029340473
34206-40-1,0.0028021052,0.0049154093,0.87870884,0.11357367
752-56-7,0.0036988226,0.0006135522,0.34582373,0.6498639
74758-25-1,7.66104e-05,0.004373703,0.9938643,0.0016853889
23505-41-1,0.007431861,0.84916425,0.14036845,0.0030354366
154702-15-5,0.00010707041,0.00013066748,0.012749136,0.98701316
3857-80-5,0.00028212852,0.03948196,0.9597266,0.00050937035
3687-16-9,0.0005862421,0.016799236,0.9804119,0.0022026398
141-94-6,0.0022281231,0.36864528,0.62673527,0.0023912922
68289-21-4,0.0013759946,0.14412962,0.80862176,0.04587268
67762-53-2,0.00012891153,5.9231454e-05,0.8440933,0.1557185
4559-86-8,6.0256647e-05,0.0006434177,0.99768746,0.0016088657
10254-57-6,0.0073599713,0.0065238103,0.94509536,0.04102081
53306-54-0,0.00028022172,0.00016767276,0.13617994,0.8633722
1941-30-6,0.0001860668,0.047486726,0.94003254,0.012294606
682-01-9,0.00030380863,0.0013989845,0.5109544,0.48734283
486455-65-6,0.003039764,0.0012103431,0.8607029,0.13504702
126-57-8,0.0002594226,8.0003134e-05,0.9570002,0.042660367
11138-60-6,0.00021718616,0.00013728859,0.90357083,0.09607469
78-16-0,0.0002456463,0.0004298931,0.9240572,0.0752672
106-20-7,0.00091185793,0.30943948,0.5662179,0.12343075
295800-70-3,0.004713985,0.001597785,0.36006498,0.63362324
10143-60-9,7.242867e-05,0.0010506635,0.8026098,0.19626713
22174-70-5,0.0004029707,0.0042287614,0.14891998,0.8464483
19074-24-9,9.615978e-06,1.0405883e-05,0.9885924,0.011387558
122-62-3,5.734912e-05,0.00011273736,0.8716971,0.12813279
103-24-2,5.992445e-05,0.00021850265,0.72098255,0.27873906
103-23-1,5.5943994e-05,9.5054005e-05,0.47702423,0.52282476
2915-57-3,2.4005214e-05,0.000106211424,0.064578734,0.9352911
84731-70-4,0.00022604942,0.0021603086,0.52164555,0.4759681
117-81-7,0.00068448286,0.001207649,0.057861123,0.94024676
14858-73-2,0.001787311,0.00034475938,0.06684122,0.9310267
3658-48-8,0.0018433948,0.0023519574,0.9570241,0.03878059
298-07-7,0.0005400045,0.0019693992,0.82925004,0.16824058
63449-80-9,0.059673827,0.08792188,0.61669713,0.23570718
7425-14-1,0.00016063586,0.0018864422,0.30654135,0.6914116
18268-70-7,0.00016820586,0.00011833631,0.025881926,0.97383153
94-28-0,0.00038096722,0.00028667756,0.47454506,0.5247873
3282-85-7,0.0011648106,0.0009642972,0.876386,0.12148494
7790-07-0,0.00015630278,0.00015716358,0.265659,0.73402756
25724-60-1,0.00010330199,0.00062259514,0.7806625,0.21861163
10022-60-3,8.3118284e-05,8.5729676e-05,0.47875625,0.52107495
468-61-1,0.0024672814,0.03454195,0.9470304,0.015960371
4551-59-1,0.00062702916,0.037300028,0.9352768,0.026796142
57647-13-9,0.00010683519,0.0027066993,0.99552214,0.0016643532
27591-69-1,0.001059876,0.008514537,0.97745967,0.012965875
589-32-2,0.002156767,0.009432138,0.98773336,0.0006777061
60012-88-6,0.00045980298,0.0066914978,0.9780813,0.014767431
78-53-5,0.98381627,0.0096982755,0.006432104,5.333339e-05
115-79-7,0.0022071474,0.011879837,0.29760236,0.6883107
122-31-6,0.00033744407,0.0015642224,0.6594736,0.33862478
78-10-4,0.00010411511,0.00018148927,0.97676986,0.022944557
17356-42-2,0.99928683,0.0003479272,0.00035282114,1.2439899e-05
3689-24-5,0.5448895,0.17404634,0.27286372,0.008200423
563-12-2,0.59057105,0.015740857,0.37923285,0.014455275
6926-73-4,0.9117873,0.02793698,0.020476306,0.039799448
78-07-9,1.05012305e-05,1.3593102e-05,0.9951782,0.0047977082
20395-17-9,0.83579934,0.13771722,0.014461955,0.012021457
18300-10-2,0.98627496,0.0016903825,0.009248237,0.0027863502
2667-40-5,0.8779093,0.050936606,0.070615396,0.0005386266
55134-13-9,0.22419721,0.0067955204,0.5984491,0.17055817
33446-90-1,0.00041721645,0.0015076436,0.1269414,0.8711338
27879-29-4,0.0008060486,0.0026755054,0.99387133,0.00264709
35435-21-3,0.00014572809,0.00076693733,0.9670789,0.03200837
55934-93-5,0.0006204868,0.0019425455,0.09972255,0.89771444
52030-05-4,0.00017199798,0.002034524,0.9188566,0.0789368
74051-80-2,0.0003845494,0.0048980652,0.6287675,0.36594987
2224-33-1,0.0002997822,0.0014680981,0.9922085,0.0060235634
34036-80-1,0.0007744997,0.013557338,0.98122483,0.0044432855
6104-58-1,0.007782216,0.0017245441,0.638926,0.3515672
77-90-7,0.0016298833,0.00020401801,0.35111603,0.6470501
21327-31-1,0.0935986,0.2437021,0.013690982,0.64900833
5826-91-5,0.03926645,0.91060174,0.043925453,0.006206315
22787-59-3,0.8999631,0.0050756466,0.035448343,0.05951292
22787-58-2,0.9959396,0.00392498,0.0001308696,4.5820075e-06
5675-57-0,0.96662,0.026700804,0.005949976,0.0007292267
3730-54-9,0.3312789,0.037026368,0.59038764,0.04130713
655-35-6,0.001618282,0.02628949,0.9693973,0.0026948857
77-89-4,0.004505023,0.018396344,0.50228345,0.4748152
24748-23-0,0.00035749451,0.010351572,0.032590955,0.9567
70833-40-8,0.0048175934,0.0034935493,0.12685841,0.86483043
14504-73-5,0.009580949,0.032621026,0.94311243,0.014685563
67239-04-7,0.0013707324,0.009314285,0.95859474,0.030720254
2595-54-2,0.6287672,0.27966788,0.08872812,0.0028368095
5137-55-3,0.00022624574,0.0636218,0.12857339,0.8075786
1421-14-3,0.00032023297,0.08054735,0.8865199,0.0326125
2031-67-6,1.9874617e-05,3.6847625e-05,0.060491048,0.9394523
64036-99-3,0.9994423,0.00047592018,7.930524e-05,2.5197312e-06
26523-78-4,0.00028919632,0.0025114708,0.57751274,0.41968656
68814-95-9,0.00016846579,0.02508848,0.8248549,0.14988814
538-23-8,0.00015130924,0.00015888209,0.06214946,0.9375404
68130-53-0,0.000116889285,0.000111374226,0.45311257,0.5466592
2528-38-3,0.00045111147,0.00022699485,0.96975076,0.029571073
5343-44-2,0.00011458398,0.0016918828,0.8153624,0.18283117
5831-80-1,0.00015024567,0.00045024103,0.6203726,0.37902695
51249-05-9,0.042732667,0.07022365,0.8296303,0.057413332
102-85-2,0.0006795814,0.0010546885,0.83026147,0.16800432
126-73-8,0.00088488666,0.0019444703,0.7193348,0.2778359
998-40-3,0.0008457003,0.015235936,0.5714017,0.41251665
115-78-6,0.0046675666,0.65912634,0.24710958,0.0890965
33060-84-3,0.015073535,0.91906464,0.05258171,0.013280076
150-50-5,0.01952454,0.80423635,0.15525196,0.020987151
78-48-8,0.04384744,0.14057449,0.599141,0.21643704
60-01-5,0.00046166815,0.0009867224,0.036279924,0.96227163
74125-01-2,0.52973884,0.37124547,0.09320156,0.005814099
1496-94-2,0.013534525,0.06926007,0.8770908,0.040114574
21270-07-5,0.00010397431,0.99753773,0.00082969497,0.0015286069
29806-73-3,7.208869e-05,0.0012401587,0.64533365,0.3533541
7346-61-4,0.0015380305,0.16579644,0.70527333,0.12739214
59130-69-7,3.7094444e-05,0.0005013004,0.15559393,0.84386766
63907-12-0,0.001533023,0.003092238,0.19717564,0.7981991
1114-71-2,0.005670282,0.10456805,0.85439265,0.035369072
64058-98-6,0.0003084103,0.9838734,0.015074761,0.0007434485
64059-01-4,0.00025723598,0.3417688,0.65690744,0.001066537
13194-48-4,0.7011297,0.23528393,0.06149702,0.002089398
2511-15-1,0.8320087,0.12905885,0.02916261,0.009769797
90220-15-8,0.9927636,0.00539602,0.0016120329,0.00022837207
759-94-4,0.00129058,0.026469402,0.95369375,0.01854632
23184-66-9,3.6648224e-05,0.00088969874,0.9988582,0.00021545828
51218-49-6,0.00026845164,0.0035237116,0.99422187,0.0019858899
109965-82-4,0.0019743028,0.34178635,0.655585,0.00065437
20954-13-6,3.7597838e-05,0.0007861223,0.9962232,0.0029530758
102579-43-1,0.0003935086,0.00870159,0.96146476,0.029440178
168152-77-0,7.4537485e-05,0.99825937,0.001443359,0.00022278435
168152-89-4,0.00026703952,0.9912723,0.0075814747,0.000879209
92953-10-1,0.000119021715,0.7151646,0.28151307,0.003203359
17088-72-1,0.0018860394,0.020950379,0.9284173,0.04874621
60763-41-9,0.0001943842,0.051720306,0.028513037,0.9195723
35850-79-4,0.0017921403,0.00037400436,0.4689318,0.52890205
3309-68-0,0.9979334,0.002039575,1.49115285e-05,1.209631e-05
18109-81-4,0.0005300034,0.04286568,0.9519354,0.0046689473
52736-14-8,3.745984e-05,0.00034678518,0.024237173,0.9753786
3862-08-6,0.00017844897,0.0013977764,0.072555184,0.9258686
139-45-7,0.00053649646,0.0015805318,0.49191567,0.5059673
38727-55-8,0.00016599578,0.0019149112,0.9957568,0.0021622663
80472-88-4,0.00012753798,0.009160361,0.987756,0.0029560872
51356-13-9,0.8170732,0.15941143,0.023199007,0.00031638175
33210-44-5,8.065338e-05,0.99236685,0.0073915175,0.00016095817
33210-40-1,3.856105e-05,0.99791867,0.0018479524,0.00019480544
33210-43-4,1.9592686e-05,0.9995745,0.0003572794,4.868341e-05
1912-26-1,0.00027672437,0.0012454492,0.9982364,0.00024139644
7779-27-3,0.0013882637,0.07723573,0.9208215,0.0005544976
78816-48-5,0.0024744323,0.5120361,0.44826567,0.037223805
2941-55-1,0.0010640413,0.0024895458,0.9959628,0.00048360552
4740-11-8,0.0058354074,0.30588728,0.685671,0.0026063074
125-99-5,0.00080654916,0.0056524915,0.9922954,0.0012455961
5957-17-5,0.00013637806,0.00026486255,0.9980089,0.0015899161
2001-81-2,2.4933071e-05,0.004084232,0.9948455,0.0010453324
56-37-1,0.055192325,0.08030758,0.8537271,0.010772958
9004-57-3,0.0012506373,0.0019611453,0.048181113,0.94860715
7789-92-6,5.604955e-05,0.001416082,0.9396279,0.058899928
10140-99-5,0.00022585317,0.005687229,0.9908257,0.0032612043
122-51-0,5.6934183e-05,0.0042363373,0.97533846,0.020368233
63869-26-1,0.85906,0.033580713,0.10217691,0.005182393
2425-25-4,0.5861329,0.25986496,0.14861861,0.0053835297
5823-25-6,0.4147182,0.050172362,0.48546937,0.049639992
919-54-0,0.09106528,0.015867408,0.89188534,0.0011819865
998-30-1,6.9660404e-05,0.00061459705,0.24395335,0.7553624
1067-47-6,4.297362e-05,0.00022235616,0.9995995,0.00013512357
919-30-2,0.0010665088,0.007756261,0.65907633,0.33210093
76524-94-2,0.00082064274,0.0021713309,0.9924671,0.0045409035
2602-34-8,0.0007980506,0.0059331176,0.97612303,0.017145835
14814-09-6,0.0031396672,0.005436289,0.9903736,0.00105043
34708-08-2,0.17766462,0.14411038,0.62856257,0.049662445
15129-36-9,0.00085765263,0.0009773887,0.99706537,0.0010995581
15267-95-5,0.0023108071,0.0050353105,0.9269501,0.06570381
122-52-1,0.0027336609,0.006159698,0.9705706,0.020536022
78-40-0,0.069280334,0.0064207474,0.901293,0.023005884
78-38-6,0.043310802,0.007836297,0.93767047,0.011182446
126-75-0,0.9997571,0.00018731541,5.3934542e-05,1.6727823e-06
298-03-3,0.7399779,0.07583225,0.18203689,0.002152909
298-04-4,0.9976025,0.0022880821,7.600962e-05,3.3437107e-05
298-02-2,0.99053735,0.009294518,0.00010848132,5.9656395e-05
1186-09-0,0.9322919,0.06552889,0.001903157,0.00027600196
2524-09-6,0.9686086,0.0258983,0.0050209938,0.0004721024
2497-07-6,0.97181267,0.027931133,0.00021508645,4.112014e-05
2588-03-6,0.98636717,0.013381817,0.00022833659,2.2616408e-05
2496-91-5,0.9402705,0.05948277,0.0002163677,3.0418816e-05
4891-54-7,0.96182734,0.016863652,0.01867537,0.0026335916
2497-06-5,0.9816279,0.015594813,0.0026354548,0.00014180725
2511-11-7,0.9826775,0.016654002,0.00049439416,0.000174045
2404-78-6,0.25446412,0.7328451,0.009816264,0.0028744645
688-62-0,0.035456177,0.2126792,0.74930567,0.0025589836
1486-39-1,0.055707812,0.92839605,0.012958647,0.0029374585
87310-56-3,0.0001502752,0.0008381662,0.9983621,0.0006494703
55881-07-7,0.008694661,0.0826936,0.10398759,0.80462414
2229-55-2,0.0003187826,0.00023964497,0.07220886,0.92723274
79451-10-8,0.39513996,0.59434944,0.009937317,0.0005732791
66996-10-9,0.4220814,0.4045394,0.16692352,0.0064556897
30129-29-4,4.466318e-05,0.00050602126,0.99414176,0.005307492
30129-30-7,4.012269e-05,0.0006484354,0.99494874,0.0043627387
55297-95-5,0.029293189,0.05417056,0.90149444,0.015041753
3004-70-4,1.8713366e-05,0.0005139378,0.9993411,0.00012629696
53521-41-8,0.003358522,0.014864105,0.82537264,0.15640469
139-88-8,0.0020916804,0.0012964898,0.8855293,0.11108261
33820-53-0,0.000460539,0.0031634565,0.9763974,0.019978622
5892-41-1,0.002882596,0.20247407,0.74238706,0.052256282
1912-25-0,6.48393e-05,0.0019986192,0.99755573,0.00038080578
2275-18-5,0.966697,0.015953597,0.017211532,0.00013783379
87130-20-9,0.0099770315,0.053527005,0.93353915,0.0029568495
63873-23-4,0.0029321976,0.8878587,0.09799931,0.011209802
78-52-4,0.9981614,0.0015291818,0.0002868768,2.2537639e-05
63873-21-2,0.68477726,0.3001025,0.013463649,0.0016565527
68649-11-6,9.026653e-06,0.00039347823,0.3226294,0.6769681
63990-57-8,0.00018539009,0.011166852,0.9468674,0.041780334
26818-53-1,0.00021272931,0.09340047,0.9053801,0.0010067532
27891-14-1,0.0012545461,0.41840568,0.40496597,0.17537381
36756-79-3,0.0010484933,0.03561817,0.889424,0.073909275
19072-57-2,0.00084116583,0.68391556,0.3042498,0.010993436
27591-74-8,0.083926395,0.65084565,0.18918584,0.07604209
66734-13-2,0.051621918,0.012670613,0.89286226,0.04284519
5593-20-4,0.0014260683,0.0005143414,0.9953003,0.002759293
5534-09-8,0.060023595,0.003233837,0.91091996,0.025822593
27778-88-7,0.00016473912,0.5134379,0.48559234,0.00080497237
27778-86-5,0.00033563637,0.26176137,0.7377617,0.00014126446
27778-84-3,6.4720865e-05,0.01800427,0.981766,0.00016507818
27778-80-9,7.391078e-05,0.0064561125,0.9934361,3.3886325e-05
27778-82-1,0.00012836466,0.02876022,0.9710056,0.000105822255
27684-92-0,0.0010558242,0.59441936,0.40285116,0.0016736333
26259-45-0,3.75182e-05,0.00021363824,0.99973375,1.5051288e-05
40618-52-8,0.006611591,0.8789093,0.113514185,0.0009649367
69-05-6,0.0038964353,0.80832785,0.16857894,0.01919683
9050-04-8,0.0033649919,0.7423251,0.21334594,0.0409639
60735-64-0,0.0007368234,0.004753446,0.99290437,0.0016053618
24151-93-7,0.47458273,0.5005761,0.024372555,0.00046863194
2109-64-0,0.00074613304,0.0036828548,0.8267006,0.16887036
22457-23-4,6.799466e-05,0.013613155,0.97691363,0.009405196
541-85-5,0.00041955977,0.0031044318,0.97224253,0.024233432
14355-07-8,0.00037419604,0.06993934,0.9129859,0.016700476
10032-15-2,2.2485332e-05,2.2542874e-05,0.0059993374,0.9939557
14355-12-5,0.0002770262,0.99488825,0.0012468492,0.0035879186
10024-78-9,0.0009310686,0.22260883,0.7509762,0.02548387
32838-28-1,0.0017510626,0.0017667429,0.96351355,0.032968707
57-33-0,0.00021369474,0.97938156,0.020072438,0.00033233233
71-73-8,0.0006062392,0.11018708,0.8869329,0.0022737181
871-22-7,4.4717595e-05,0.0026967956,0.027655609,0.96960294
105-82-8,0.00016993047,0.018940262,0.3308558,0.650034
29122-60-9,0.00019280937,0.09215849,0.9061476,0.0015010791
186817-80-1,0.0013903191,0.0009111807,0.952882,0.04481654
7452-79-1,6.749922e-06,0.0011004533,0.05427855,0.94461423
7286-69-3,0.0010920229,0.40042874,0.5940723,0.0044069295
98886-44-3,0.8542504,0.1311424,0.013818499,0.0007886947
125-64-4,0.000189181,0.03932195,0.95995235,0.00053647277
82834-16-0,0.0010173314,0.0005024244,0.36677134,0.63170886
730-07-4,0.00021520295,0.0012245971,0.97885644,0.019703759
33499-11-5,0.00059876224,0.00033716692,0.9900248,0.0090392
110429-62-4,0.010049532,0.6208615,0.28898677,0.08010223
67050-64-0,0.000580221,0.061092388,0.9376652,0.0006621701
54-05-7,0.000873224,0.8032064,0.19379617,0.0021242518
1094-08-2,0.00065383344,0.73863006,0.25555843,0.0051576784
30238-41-6,0.0016805293,0.1607221,0.82025695,0.017340412
64241-34-5,0.009686962,0.0554039,0.92857033,0.0063387402
33499-13-7,0.02019214,0.006110579,0.941816,0.031881247
63867-07-2,0.00010600128,0.00022584747,0.9989974,0.00067075965
15299-99-7,0.0006923314,0.030431645,0.9579131,0.010962917
4630-95-9,0.0026000573,0.0204867,0.97677875,0.00013447432
66968-39-6,0.034386136,0.34594426,0.5820195,0.037650097
105-57-7,0.00015248208,0.006535041,0.27256387,0.72074854
137658-79-8,0.0009596312,0.00064223475,0.7858585,0.21253961
7492-66-2,1.2516972e-05,8.30536e-05,0.0001977604,0.9997067
87820-88-0,0.0031756226,0.0026921823,0.96554804,0.028584134
103890-78-4,0.0018335027,0.03794456,0.33523056,0.62499136
52-60-8,0.23238507,0.7256383,0.041161306,0.000815351
50765-73-6,0.00368329,0.5095963,0.4806692,0.0060512186
50765-89-4,3.80463e-05,0.99839956,0.0013165501,0.00024584302
15763-48-1,0.057588115,0.37147045,0.5343557,0.036585674
22609-73-0,0.0077378443,0.27405182,0.59582525,0.12238506
88045-99-2,0.015488494,0.02346276,0.93314046,0.027908338
56358-09-9,0.0031926977,0.056353148,0.6182109,0.3222432
17702-79-3,0.0018443635,0.9895558,0.0077960617,0.00080376497
41611-76-1,0.00066037243,0.0031037715,0.043627065,0.95260876
137-58-6,0.00045317766,0.26527184,0.7163765,0.017898533
333-40-4,0.016978074,0.9403698,0.036208097,0.0064440607
31775-20-9,5.131496e-05,0.00031078764,0.9923618,0.007276081
105779-78-0,0.0015293051,0.043614175,0.9511946,0.003661922
23191-75-5,0.004282106,0.061296515,0.7654832,0.16893822
88045-98-1,0.0016568833,0.0023324722,0.9914624,0.004548224
243973-20-8,0.0005763707,0.19367154,0.7616657,0.044086408
57470-78-7,0.000800471,0.041535348,0.9131646,0.04449958
68227-46-3,0.003027536,0.5423704,0.36299813,0.091604024
5221-49-8,0.10200331,0.595482,0.2987935,0.0037211624
72542-60-0,0.006098591,0.98094684,0.010955971,0.0019985728
79438-83-8,0.1569726,0.6210912,0.10617618,0.11575998
21409-78-9,0.9921948,0.0017507158,0.00014199417,0.005912541
40374-14-9,0.0006842949,0.01250597,0.9856155,0.0011942894
29232-93-7,0.024225874,0.931607,0.043564256,0.0006028376
