CASRN,LD50_xgboost_ecfp6bits
37686-84-3,-0.0019077583
63717-17-9,-0.9098547
57647-36-6,0.30464172
104907-82-6,0.31477642
76597-98-3,0.53337795
513-10-0,-1.5913354
107-64-2,0.5065485
68391-05-9,0.42447817
7173-51-5,0.5065485
37335-68-5,0.19503647
124-03-8,0.17340846
6458-13-5,0.3566159
70206-24-5,0.19846323
53-46-3,0.109157
50-10-2,0.27233034
24789-78-4,0.41584435
3700-98-9,0.0085537685
3700-97-8,-0.07419599
63917-07-7,-0.8271296
38260-54-7,0.041306607
2830-87-7,-0.25303558
21410-51-5,-0.02537356
1634-78-2,-0.10519236
121-75-5,0.055953264
18300-07-7,-1.2572263
3344-12-5,0.03800718
51012-33-0,0.5663413
4104-03-4,-0.50297475
15972-60-8,0.71376026
117666-91-8,0.30080226
117683-18-8,0.6305014
90220-16-9,-1.418168
673-04-1,0.52561474
64-96-0,0.33682898
109410-00-6,0.05751573
364-62-5,0.49587673
4093-35-0,0.18085006
19351-21-4,0.5285736
304-84-7,0.81416184
19351-20-3,0.6007501
55619-22-2,0.34099835
919-53-9,-0.54618627
90245-33-3,-1.1637279
22082-34-4,-0.7419201
78-62-6,1.1812013
1067-99-8,1.1490693
999-34-8,0.5218954
90220-14-7,-0.9079285
996-04-3,-0.6367321
996-05-4,-0.65997833
63906-39-8,-0.21643107
32744-43-7,-0.31091467
7292-16-2,-0.82613486
1014-70-6,0.35740593
21923-23-9,-0.8964965
2404-05-9,-0.8976335
51528-03-1,0.4901589
3254-62-4,-1.1310734
115-90-2,-1.2766843
6587-45-7,-1.659645
6132-17-8,-1.3295165
101526-62-9,0.61095786
109-66-0,1.0751655
110-54-3,1.0634155
84-76-4,1.6019926
50602-85-2,0.6907237
119-07-3,1.4375914
123-79-5,1.2297082
1639-66-3,1.1764766
2915-53-9,1.3203194
117-84-0,1.6019926
70729-68-9,1.246333
110-32-7,1.2831084
10058-20-5,1.2797073
3006-15-3,1.111937
84-75-3,1.3895007
2050-92-2,0.8903616
13256-06-9,0.63752025
3913-02-8,1.3205264
17810-51-4,-0.019832222
21270-08-6,0.051380686
123-95-5,1.3857318
111-92-2,0.8573437
109-46-6,0.58318424
102-83-0,0.6390471
36167-63-2,0.34627977
102-81-8,1.2776843
102207-73-8,0.6696171
119-48-2,1.1495738
51861-34-8,0.62739766
924-16-3,0.85418266
127-59-3,0.657767
142-96-1,1.1228957
112-48-1,1.1574005
112-98-1,1.1865487
141-17-3,1.3229234
16672-39-2,1.3193089
141-03-7,1.3865169
85-70-1,1.3544258
4056-77-3,1.2246931
84-74-2,1.3878051
7483-25-2,1.2544031
4092-75-5,0.6834945
1809-19-4,1.000489
130525-77-8,0.75756013
2528-36-1,-0.30092892
544-40-1,0.8664948
51-03-6,0.7390187
2430-27-5,0.99337393
123-19-3,1.1328585
74550-96-2,0.77532643
106-31-0,1.3069961
132-82-1,1.3124889
105-66-8,1.1571101
142-84-7,1.0278641
99247-33-3,0.73076576
52888-80-9,0.7681222
91893-38-8,-0.31026828
57-66-9,0.94556946
925-15-5,1.3346168
136-45-8,0.9083047
16066-38-9,1.1951889
104-75-6,0.9477721
10137-80-1,0.90469474
113-48-4,1.1436839
104-76-7,1.2844807
5397-31-9,0.95801955
10213-75-9,1.1209391
4126-58-3,1.4186962
1559-35-9,1.2981914
2461-15-6,1.2257767
103-44-6,1.4996868
21270-19-9,-0.024547702
17751-71-2,-0.16296655
17751-73-4,-0.21020052
17751-72-3,-0.030761367
17810-52-5,-0.0141579695
17751-68-7,-0.22677584
21270-00-8,0.05793213
21270-16-6,-0.13658655
21270-12-2,-0.10008758
21270-02-0,0.13328442
21270-03-1,0.07181856
1928-43-4,0.40347064
1928-47-8,0.4299365
7659-86-1,0.91244036
103-11-7,1.1266841
5444-75-7,1.3429031
4376-20-9,1.6329639
18750-05-5,1.1083574
4248-21-9,1.0662276
24468-13-1,0.81921077
68037-57-0,1.0710994
1070-03-7,1.2994559
126-92-1,1.0474343
123-04-6,0.7994151
63834-30-0,1.0904931
149-57-5,1.3249826
94-04-2,1.0122889
589-82-2,1.1268272
10138-47-3,1.2667304
10138-87-1,1.2742457
94-96-2,1.3631103
10140-93-9,0.49768445
7492-37-7,0.6590388
106-35-4,1.0508713
645-62-5,1.2243757
5309-52-4,1.0919874
6187-24-2,1.0196677
1471-51-8,1.0386498
126-93-2,0.8286322
13360-63-9,0.922803
1861-40-1,0.7344372
91893-68-4,-0.3183873
68439-49-6,1.1589636
15523-43-0,1.070115
628-81-9,1.1739712
4413-13-2,1.2260969
33236-04-3,0.42248183
106-32-1,1.4502971
79714-31-1,0.577566
3570-46-5,0.2171912
64058-22-6,-0.23529965
105-54-4,1.2868927
101205-02-1,0.5988214
40626-35-5,-0.9065405
89784-60-1,-1.156032
38527-91-2,0.24272822
38524-82-2,-0.4296949
34643-46-4,-0.35307828
24017-17-2,-1.074181
18596-67-3,-0.5887313
617-79-8,0.7281197
97-95-0,1.3968582
10232-91-4,1.3394256
10213-74-8,1.279592
4468-93-3,1.2644458
63907-07-3,0.61517566
3953-10-4,0.72517836
97-96-1,1.0406774
19962-50-6,0.6009507
88-09-5,1.1437774
4189-10-0,0.9169127
584-02-1,0.76318634
101952-86-7,0.38204175
96-22-0,1.1076547
72-56-0,0.4057127
579-66-8,0.8448577
38725-95-0,0.66119224
522-40-7,0.48777846
123-62-6,1.1945001
5837-63-8,1.2478875
41340-25-4,-0.1877223
136572-09-3,-0.20691732
105-37-3,1.2610503
512-48-1,0.744308
702-54-5,0.23023336
1085-91-2,0.5291989
77-04-3,0.59616274
80733-97-7,0.42266646
23192-94-1,0.52615774
99233-24-6,0.55237424
33236-13-4,0.39808714
109-89-7,0.9779292
105-55-5,0.7328834
122-34-9,0.5018276
104-78-9,0.57326037
17074-44-1,-0.30459514
27312-93-2,-0.042634927
6009-67-2,0.4390608
100-36-7,0.48851094
3105-97-3,0.41015157
17074-42-9,-0.37781876
51-06-9,0.3952561
23205-22-3,-0.07086065
34341-24-7,0.49267048
100-37-8,1.1872042
63883-13-6,-0.072293386
53421-38-8,0.36467004
911-45-5,0.44844377
2192-21-4,0.8371487
2426-54-2,0.5703018
31329-57-4,-0.0557297
34580-71-7,0.120439425
1641-74-3,0.87122667
2597-09-3,0.33861694
57-37-4,0.7991011
13352-70-0,0.17825581
3735-90-8,0.4471257
3010-02-4,0.6499388
102394-31-0,0.18412304
67367-65-1,0.62581044
2431-96-1,0.8050862
2315-36-8,0.5887813
120-21-8,0.66708463
2198-58-5,0.5311899
5123-63-7,0.88387495
17754-90-4,0.5082939
25953-06-4,0.65078294
1696-17-9,0.87782365
19311-91-2,0.867567
63886-92-0,0.38442576
63887-51-4,0.44253817
32773-96-9,0.5780213
101152-94-7,0.6368159
14052-72-3,0.31134722
28249-77-6,0.38180652
95-06-7,0.37273717
95-30-7,0.52470803
1331-27-7,1.4483933
13056-98-9,0.5803486
21600-43-1,0.12901781
55-18-5,0.7105622
6794-94-1,0.858411
1709-50-8,0.74236923
36014-71-8,-1.6039815
1050-48-2,0.4062716
60-29-7,1.1446756
629-14-1,1.1915324
112-36-7,1.1766659
763-69-9,1.4221188
110-40-7,1.4967864
123-25-1,1.3665833
27292-19-9,0.82987463
22125-35-5,0.22229448
59894-95-0,0.44121355
73090-70-7,0.60524446
98318-25-3,0.6444803
84-66-2,1.2126876
1609-47-8,1.1053753
502-55-6,0.31793082
1851-77-0,0.30429125
1851-71-4,0.3369646
6485-91-2,0.68410283
762-04-9,1.1448842
999-01-9,0.3881898
10419-79-1,-0.10847161
75889-62-2,-0.09173831
679-36-7,-0.95173305
21548-32-3,-0.6899238
333-29-9,-0.8896727
1516-67-2,-0.38169542
5131-24-8,-0.57999325
64050-52-8,-0.0023513788
311-47-7,-0.43029168
38331-02-1,-0.6140952
14984-58-8,-0.8157529
311-45-5,-1.169619
897-83-6,-1.102941
2701-86-2,-0.46881515
33399-00-7,-0.8406781
2667-41-6,-0.8281459
60971-95-1,-0.72801733
5598-15-2,-0.4884915
1491-41-4,-0.21638387
16499-75-5,-1.1098855
3734-92-7,-1.2771019
51376-77-3,-1.5932531
14734-96-4,-1.1743865
1885-95-6,-0.8599022
1885-98-9,-0.85873073
5954-10-9,-1.1231471
54593-83-8,-0.4877096
33841-12-2,-1.1143901
3735-01-1,-0.498322
84197-34-2,-1.3627279
84197-35-3,-0.82421196
39624-86-7,-1.0299593
29689-00-7,-0.9894494
6012-87-9,-0.74669623
97-17-6,-0.48484465
1224-63-1,-1.0173523
4824-78-6,-0.73825115
7533-79-1,-0.8141507
4935-28-8,-0.6965196
297-97-2,-1.0127324
13593-03-8,-0.93886393
18854-01-8,-0.7018748
2921-88-2,-0.49504423
24017-47-8,-0.8133237
14816-18-3,-0.7223215
2668-92-0,-0.5239156
16500-53-1,-0.952543
13286-40-3,-1.1376703
2047-14-5,-0.5890048
35461-10-0,-0.8343368
16231-76-8,-0.20279662
30725-71-4,-1.2008623
2310-17-0,-0.7791286
6119-96-6,-1.0471449
51356-06-0,-1.1253014
51356-15-1,-0.42516258
51442-10-5,0.107412174
25923-97-1,-1.4261458
3152-41-8,-1.1196595
2275-14-1,-0.8415407
24934-91-6,-1.2546576
6436-05-1,-0.3682939
41219-31-2,-0.63629603
3659-04-9,-1.2738672
10312-20-6,-1.1491766
38188-83-9,-0.7088088
5823-20-1,-1.1309093
973-28-4,-0.9856865
4681-36-1,-1.0325149
63716-53-0,-1.0786945
64-67-5,0.8918193
7305-61-5,-0.09477254
7776-66-1,-0.00064215745
944-21-8,-1.0180801
62421-46-9,-1.0411062
1497-39-8,-1.5634236
3563-52-8,-1.2617275
1593-27-7,-0.5190982
7260-35-7,-0.80022305
327-98-0,-0.84887123
24017-24-1,-1.2389348
18596-51-5,-0.5216789
63869-31-8,-1.2790167
597-88-6,-1.0849837
352-93-2,0.74989057
18771-38-5,0.1523246
34491-12-8,-0.27758163
110-81-6,0.91057897
70-29-1,1.0395532
59865-13-3,-0.0694231
17013-35-3,0.27136213
94-86-0,0.9262737
1264-72-8,-0.09149601
108050-54-0,0.24847057
80214-83-1,-0.05239744
81103-11-9,0.24952668
6683-17-6,-0.97538143
4147-51-7,0.5837852
7087-68-5,0.94012666
5827-05-4,-1.0188266
642-15-9,0.3050899
1331-50-6,1.1798595
131929-60-7,0.27143255
75443-99-1,-0.28053176
2964-06-9,0.3332404
973-21-7,-0.07452487
54767-75-8,0.41415027
121158-58-5,1.0559194
34264-24-9,0.12512568
31218-83-4,-0.50893843
34381-68-5,0.7894344
33857-23-7,-0.58674586
78193-95-0,0.5375712
108419-32-5,1.3592182
26748-41-4,0.9887789
82560-54-1,-0.8624749
33236-08-7,0.4005395
26685-57-4,0.29913995
78-44-4,0.5597408
115767-74-3,0.23418774
51893-82-4,-1.1898131
1610-17-9,0.91213375
3853-74-5,-0.9982881
834-12-8,0.7781356
55837-18-8,0.72951645
57-43-2,0.37454996
64-43-7,0.4464666
37205-87-1,0.93508786
16537-52-3,-1.099674
24838-84-4,-0.67787683
21270-25-7,0.058754995
21270-04-2,0.0863908
97683-31-3,1.1174239
1912-24-9,0.63993686
3733-84-4,-0.028285911
51162-51-7,-0.30303958
328-04-1,-0.9837196
29911-28-2,1.1532791
91315-15-0,0.8277777
10031-58-0,0.64285344
477-32-7,0.61586773
1020-35-5,-0.2561186
5633-25-0,0.24951732
43033-72-3,-0.055814244
51218-45-2,0.5667615
2307-68-8,0.69111663
37172-05-7,0.6752864
7319-47-3,0.36567324
314-40-9,0.6035767
105-46-4,1.2107508
50602-40-9,0.51115054
5787-73-5,0.3340854
2282-34-0,-0.7113258
2917-19-3,-0.12526493
3766-81-2,-0.36620986
1225-25-8,0.47700378
27778-78-5,0.37741095
27684-90-8,0.43204468
35384-89-5,0.38965547
24729-96-2,0.20737258
561-78-4,-0.019062718
30238-40-5,0.78960514
89396-94-1,0.7146306
64050-87-9,0.7317252
3614-30-0,0.22804724
2753-45-9,0.52760553
79985-89-0,0.27347794
82586-52-5,0.5864405
22791-12-4,-0.6960865
70667-26-4,0.51251954
7789-99-3,1.0502411
106463-17-6,0.35298377
57558-46-0,0.36694372
33054-87-4,0.4932583
5389-12-8,-0.29717016
105-30-6,1.19802
42615-29-2,0.88992226
97-61-0,1.090036
76-73-3,0.17632842
309-43-3,0.092384204
66941-93-3,-0.15130594
30677-46-4,0.8541339
623-40-5,0.8565761
5131-66-8,1.2341702
1569-01-3,1.2798493
81406-37-3,0.50434154
99607-70-2,0.56985503
3084-62-6,0.43355772
541-95-7,0.9674306
120-62-7,0.6116605
557-36-8,0.7971474
96-17-3,1.0458157
14765-30-1,0.66824216
99-71-8,0.7148862
89-72-5,0.5688116
61005-12-7,0.64346284
88-85-7,-0.12895091
61614-62-8,-0.46703392
104-89-2,1.1520166
96-29-7,0.93129116
78-92-2,1.1988653
17751-77-8,0.09310979
21270-20-2,-0.045553315
21270-21-3,0.089170575
21269-99-8,0.3173472
21395-07-3,0.08111522
513-53-1,0.9899661
5412-64-6,0.76279414
13717-04-9,0.3444851
99-79-6,0.9534752
10402-53-6,0.51116407
34067-03-3,0.6891905
66941-53-5,0.04723689
86371-40-6,0.27830634
130693-82-2,0.14638235
29766-64-1,0.6801169
63716-10-9,1.2162457
1569-02-4,1.289747
1083-57-4,0.66910535
27205-24-9,0.8721263
14631-45-9,0.65772
7698-97-7,0.7891671
92454-60-9,0.68342674
120-45-6,0.8567357
10137-87-8,0.7345611
54335-73-8,0.07628181
83435-67-0,0.62629384
82586-55-8,0.8665568
16118-49-3,0.80042535
16378-22-6,0.29363218
22212-55-1,0.6059877
97-64-3,1.1433502
87237-48-7,0.27747944
66441-23-4,0.69871205
66441-11-0,0.65786946
51-14-9,0.39004543
50765-95-2,-0.1999541
54406-48-3,0.9139907
79-81-2,1.0053029
106-29-6,1.3535044
61750-69-4,1.0704577
53083-27-5,0.74585223
19089-24-8,0.7578919
70381-67-8,0.71947265
17689-77-9,0.9396653
97-41-6,0.64480114
64748-21-6,-0.4067854
82163-55-1,0.26695347
50765-88-3,-0.5119095
90729-41-2,0.12830815
57846-36-3,-0.088137336
39562-70-4,0.5717297
638-10-8,1.2039769
106700-29-2,0.46663377
61792-11-8,0.82712597
24199-46-0,1.345027
70381-28-1,0.6633196
132031-81-3,0.6220128
80310-21-0,0.7436079
56611-65-5,1.0786432
13925-07-0,0.7445087
70381-39-4,0.7442413
149543-07-7,-0.022996703
15911-11-2,0.98819584
88-29-9,0.748174
5957-75-5,0.5243468
3763-77-7,0.7164881
3568-56-7,-0.94586325
92065-18-4,-0.9083233
13539-59-8,0.17548496
2532-49-2,-0.03769435
78541-98-7,0.030443555
55242-55-2,0.62047994
87344-11-4,0.61939406
1399-80-0,0.5436579
22345-47-7,0.3821662
82875-37-4,0.48764476
6670-95-7,0.668877
33232-85-8,-0.7445072
1942-80-9,-0.65517557
73698-61-0,0.6473624
134169-75-8,0.3408482
57846-37-4,-0.3175722
85365-53-3,0.27128917
167004-78-6,0.3820494
92-09-1,-0.08595991
97-88-1,0.952658
25044-01-3,0.9022449
20363-83-1,1.3553358
97-63-2,1.3847729
53153-66-5,0.70237726
1128-08-1,1.0373126
821-55-6,0.59645873
111-13-7,1.2974503
110-43-0,1.169764
591-78-6,1.2966379
591-60-6,1.3414302
59558-23-5,1.0245377
2748-88-1,0.44882387
64-77-7,0.98066384
63992-49-4,0.98733914
63992-50-7,1.0089387
63989-86-6,0.96350247
5736-70-9,0.92577565
1610-29-3,1.4712752
1147-62-2,0.37787092
31143-55-2,0.96459097
488-10-8,1.024385
1713-12-8,0.68508244
26485-82-5,0.7053341
70381-35-0,0.840899
88107-10-2,0.99128413
112668-65-2,0.9011148
112668-63-0,0.8234503
81250-14-8,-0.4594197
112-14-1,1.5868018
142-92-7,1.4251646
628-63-7,1.5391759
14959-86-5,1.338636
39920-56-4,1.5539342
123-86-4,1.5158223
112-07-2,1.5241815
124-17-4,1.3489884
2442-10-6,0.6677535
66017-91-2,0.8439209
20706-25-6,1.4217826
109-60-4,1.4690452
141-97-9,1.3740941
122-82-7,0.8711082
623-36-9,1.3098243
102-27-2,0.6932114
148-69-6,0.63246834
88881-65-6,0.84117645
24441-47-2,-0.3232431
65516-17-8,0.3565005
104-90-5,1.0042739
13360-64-0,0.93205315
25646-77-9,0.47270423
58066-96-9,0.15113424
30086-84-1,0.7708972
10443-70-6,0.8418922
25319-90-8,0.42222297
21062-28-2,-0.2598678
634-55-9,0.8804693
609-15-4,0.8340839
25331-92-4,0.17238106
15622-65-8,0.30703452
15707-23-0,0.8532029
70381-33-8,0.83617973
600-14-6,0.8854946
40054-69-1,0.22776625
73839-77-7,0.6551806
74037-54-0,1.1643653
17335-06-7,0.95802736
52217-47-7,0.4982615
62-44-2,1.00158
73-66-5,0.60607946
1897-96-7,0.48104283
19387-91-8,0.55921257
65986-80-3,0.7860451
15862-11-0,0.70620775
111-15-9,1.5918169
63843-89-0,0.44842055
58243-85-9,0.33769682
2984-66-9,-0.7335185
886-50-0,0.52913034
78168-93-1,0.62781274
17751-75-6,-0.020545404
21270-06-4,-0.013243492
51308-54-4,0.3054031
66227-09-6,0.92027146
80763-10-6,1.0749288
153233-91-1,0.40714294
64529-56-2,0.48608646
59652-29-8,0.7218422
3398-69-4,0.5994082
15942-48-0,-0.1477709
65907-30-4,-0.86337495
