CASRN,EPA_xgboost_maccs-1,EPA_xgboost_maccs-2,EPA_xgboost_maccs-3,EPA_xgboost_maccs-4
64047-47-8,0.015616603,0.19857351,0.6709019,0.11490798
63938-47-6,0.047506403,0.29894343,0.56326765,0.09028249
613-53-6,0.071959384,0.2335138,0.35961795,0.33490884
115-17-3,0.03071553,0.32702002,0.5457337,0.09653073
75-25-2,0.040752627,0.46150184,0.33521393,0.16253161
42136-31-2,0.6712607,0.22817993,0.06963831,0.030921051
64050-72-2,0.06930757,0.61519796,0.27014756,0.045346867
42136-30-1,0.08361808,0.76175153,0.13980515,0.014825249
26637-71-8,0.024544219,0.19486755,0.52988166,0.25070655
69094-18-4,0.13616863,0.3269375,0.44594637,0.09094748
74-95-3,0.089089885,0.42185968,0.30610195,0.18294853
3252-43-5,0.06082084,0.62851703,0.26487705,0.045785084
598-91-4,0.20592047,0.5039538,0.2410996,0.04902614
124-48-1,0.03407094,0.3643926,0.40627977,0.19525671
25497-30-7,0.054404546,0.32176447,0.31139925,0.3124317
83447-96-5,0.060310856,0.15128148,0.7182526,0.070155054
473-49-4,0.20366701,0.3205004,0.43336666,0.042465966
117900-35-3,0.18481034,0.20191926,0.48980722,0.12346321
4460-32-6,0.67840725,0.14635348,0.13405323,0.04118607
2260-08-4,0.018488467,0.1350252,0.70820653,0.1382798
386-17-4,0.040003166,0.12023209,0.6452041,0.19456057
67-30-1,0.014217747,0.07762379,0.8040938,0.10406465
16423-68-0,0.48085546,0.12996508,0.2748905,0.11428897
10397-75-8,0.0212353,0.05603209,0.32282814,0.5999045
59017-64-0,0.009530824,0.013761673,0.38677368,0.5899338
79770-24-4,0.011551917,0.018147208,0.24901459,0.7212863
7246-21-1,0.022571476,0.07981594,0.5021099,0.3955027
96-84-4,0.043068957,0.23963231,0.62300557,0.09429315
59939-17-2,0.009693839,0.019820197,0.27366447,0.69682145
16034-77-8,0.00955864,0.041873258,0.627385,0.32118306
22730-89-8,0.0072571957,0.021063223,0.5485453,0.4231343
31112-62-6,0.015032932,0.017520305,0.22259732,0.7448495
440-58-4,0.012728895,0.030749775,0.39875817,0.55776316
66108-95-0,0.004945343,0.010157753,0.43203607,0.5528608
3115-05-7,0.021671735,0.062401515,0.4876522,0.42827457
111453-32-8,0.0029222288,0.00450768,0.08083845,0.91173166
19403-92-0,0.04749364,0.33767697,0.56433964,0.05048979
37441-29-5,0.010961044,0.092962496,0.7364826,0.15959382
19774-82-4,0.019201504,0.29880878,0.6272251,0.05476455
3861-47-0,0.017707558,0.23415409,0.46285763,0.28528073
57808-65-8,0.011363386,0.11622606,0.4443011,0.42810944
577-91-3,0.06879274,0.17293826,0.6356101,0.122658916
14689-57-7,0.83344716,0.115767404,0.03976918,0.011016237
17601-49-9,0.03950842,0.14509135,0.7454031,0.06999708
1746-25-4,0.24402267,0.27215227,0.44563916,0.038185865
29717-26-8,0.21497896,0.21188824,0.3502119,0.22292091
75-47-8,0.04379398,0.3039202,0.44041985,0.21186599
68439-50-9,0.0022804898,0.02439257,0.49487773,0.4784492
9004-95-9,0.0030375125,0.026324648,0.63074225,0.3398956
65-29-2,0.020600593,0.31762826,0.6217448,0.04002638
63869-27-2,0.7590828,0.13711041,0.090501145,0.013305632
3247-33-4,0.76773757,0.106046185,0.10395811,0.022258155
70682-61-0,0.023565475,0.050726537,0.74713707,0.17857088
3319-31-1,0.0018186297,0.013484737,0.28821212,0.6964845
301-13-3,0.03127753,0.04359714,0.29130393,0.6338214
78-42-2,0.10268294,0.039212774,0.46374837,0.39435595
56706-10-6,0.033497486,0.06452522,0.73128194,0.1706954
160194-28-5,0.009961853,0.046441242,0.6886535,0.25494334
15458-87-4,0.041336562,0.54401934,0.38879022,0.025853857
105084-66-0,0.60351676,0.25931063,0.09034553,0.046827104
13080-06-3,0.00784393,0.10418684,0.63828844,0.24968079
15180-47-9,0.033916637,0.061097197,0.7708849,0.13410127
35077-00-0,0.03406034,0.046780873,0.85105956,0.06809921
63869-22-7,0.67019516,0.19096711,0.11364937,0.025188323
139-60-6,0.11553587,0.312616,0.5014322,0.07041597
34206-40-1,0.027850538,0.059901044,0.80856955,0.103678934
752-56-7,0.011082133,0.084153935,0.7741662,0.13059773
74758-25-1,0.005579041,0.11208179,0.8495448,0.032794345
23505-41-1,0.1566927,0.49622622,0.2713457,0.075735316
154702-15-5,0.010416121,0.0425209,0.5080042,0.43905875
3857-80-5,0.018531568,0.28125128,0.66383785,0.0363793
3687-16-9,0.012224045,0.23060058,0.7060273,0.051148035
141-94-6,0.017434359,0.27829936,0.6661644,0.0381019
68289-21-4,0.0065327296,0.08899083,0.87554836,0.028928028
67762-53-2,0.005532131,0.018378733,0.602027,0.37406212
4559-86-8,0.011286277,0.108834304,0.8087044,0.071175076
10254-57-6,0.03859226,0.2963062,0.5968315,0.06827007
53306-54-0,0.002773216,0.014467205,0.40560508,0.57715446
1941-30-6,0.025960311,0.34786257,0.510655,0.11552215
682-01-9,0.013069238,0.026513312,0.69844586,0.26197162
486455-65-6,0.0074364357,0.058451783,0.77098286,0.16312894
126-57-8,0.0038904638,0.017311022,0.40679005,0.57200843
11138-60-6,0.004324878,0.019282078,0.41789022,0.5585028
78-16-0,0.0044895955,0.018471494,0.53814095,0.43889797
106-20-7,0.011615854,0.27729213,0.6518517,0.05924031
295800-70-3,0.010224282,0.07591406,0.56231326,0.3515484
10143-60-9,0.0065631927,0.028399756,0.60761935,0.3574177
22174-70-5,0.0033692196,0.014143819,0.21746463,0.7650223
19074-24-9,0.002455883,0.0145042995,0.30950698,0.6735328
122-62-3,0.0036836017,0.015535295,0.3029709,0.67781025
103-24-2,0.0032011264,0.016487584,0.2990494,0.6812619
103-23-1,0.0029641227,0.013547655,0.2835381,0.6999501
2915-57-3,0.0029641227,0.013547655,0.2835381,0.6999501
84731-70-4,0.0029229284,0.014185978,0.38306302,0.59982806
117-81-7,0.002773216,0.014467205,0.40560508,0.57715446
14858-73-2,0.004928738,0.017903455,0.23914026,0.7380276
3658-48-8,0.01647203,0.057972297,0.43680578,0.48874983
298-07-7,0.01679973,0.026467051,0.64110774,0.3156255
63449-80-9,0.1491743,0.15341784,0.2941678,0.40324003
7425-14-1,0.0029990638,0.01327606,0.25396857,0.7297563
18268-70-7,0.002482219,0.013497886,0.4042237,0.57979614
94-28-0,0.0027378881,0.012897015,0.40919533,0.5751698
3282-85-7,0.013253608,0.06571836,0.768493,0.1525351
7790-07-0,0.0035413133,0.022216208,0.46115664,0.51308584
25724-60-1,0.004021521,0.021674812,0.4990016,0.47530207
10022-60-3,0.005261394,0.029977761,0.48995072,0.47481012
468-61-1,0.0056853206,0.10848719,0.81377244,0.072055064
4551-59-1,0.01596848,0.1098339,0.77173966,0.10245792
57647-13-9,0.009815943,0.12230017,0.84156543,0.026318433
27591-69-1,0.013914001,0.16317533,0.73584163,0.087069
589-32-2,0.025638783,0.2569841,0.63540536,0.08197173
60012-88-6,0.06563437,0.19731909,0.5819478,0.15509878
78-53-5,0.7544806,0.14915164,0.07357004,0.022797765
115-79-7,0.014156451,0.17658095,0.67444295,0.13481964
122-31-6,0.007645885,0.047802586,0.43267924,0.51187223
78-10-4,0.021608418,0.02419102,0.8212328,0.1329678
17356-42-2,0.859887,0.071944736,0.05605557,0.012112682
3689-24-5,0.678605,0.15461443,0.14542007,0.021360474
563-12-2,0.8503546,0.080024295,0.057577256,0.012043851
6926-73-4,0.554279,0.24291167,0.17433518,0.028474102
78-07-9,0.01140919,0.01695418,0.80736864,0.16426797
20395-17-9,0.93316466,0.033836063,0.027355082,0.00564426
18300-10-2,0.92918617,0.048238676,0.017956784,0.004618418
2667-40-5,0.65898335,0.15939951,0.1617265,0.019890636
55134-13-9,0.23223525,0.15643288,0.3650868,0.24624503
33446-90-1,0.026207348,0.042958513,0.29190892,0.6389252
27879-29-4,0.041799255,0.20128965,0.69198936,0.06492168
35435-21-3,0.007425051,0.01846389,0.66767466,0.30643642
55934-93-5,0.0038682169,0.0148263825,0.40917194,0.5721335
52030-05-4,0.009934823,0.11139614,0.6593312,0.21933787
74051-80-2,0.027540216,0.043991797,0.7359614,0.19250655
2224-33-1,0.027123272,0.08681562,0.80889463,0.0771665
34036-80-1,0.018648308,0.07993767,0.8397285,0.061685532
6104-58-1,0.015354154,0.022137921,0.69688904,0.2656189
77-90-7,0.00398223,0.019092469,0.3896925,0.5872328
21327-31-1,0.30781755,0.4275907,0.08499463,0.17959715
5826-91-5,0.31704256,0.3493419,0.3035179,0.03009764
22787-59-3,0.75449944,0.08990636,0.05712305,0.09847109
22787-58-2,0.8759997,0.09240548,0.022649841,0.008944962
5675-57-0,0.5354138,0.27608573,0.13492525,0.05357523
3730-54-9,0.5854803,0.090408616,0.28355587,0.040555265
655-35-6,0.02501231,0.20578904,0.6559137,0.11328489
77-89-4,0.006751343,0.02729775,0.5248388,0.4411121
24748-23-0,0.037015595,0.13879697,0.47192407,0.3522633
70833-40-8,0.0068215113,0.018235298,0.4015244,0.5734188
14504-73-5,0.014083416,0.21088536,0.73458445,0.04044675
67239-04-7,0.02246866,0.08581981,0.82880795,0.0629036
2595-54-2,0.18652272,0.68931496,0.11658449,0.007577867
5137-55-3,0.025762502,0.3290779,0.55836374,0.08679582
1421-14-3,0.005568927,0.084857084,0.8368059,0.07276815
2031-67-6,0.036353443,0.039153263,0.52876997,0.39572328
64036-99-3,0.7669083,0.17019072,0.045893233,0.01700777
26523-78-4,0.022634126,0.113414586,0.39419258,0.4697587
68814-95-9,0.015224278,0.31180495,0.6135779,0.059392884
538-23-8,0.003578585,0.019121941,0.2981697,0.6791298
68130-53-0,0.0020310064,0.01702373,0.28958428,0.69136095
2528-38-3,0.07816202,0.03800358,0.47764707,0.4061873
5343-44-2,0.00810761,0.09989362,0.73914504,0.15285374
5831-80-1,0.0074820695,0.10269709,0.75098324,0.13883765
51249-05-9,0.11131232,0.32554364,0.3778817,0.1852624
102-85-2,0.05674476,0.08990412,0.5807865,0.27256456
126-73-8,0.12964477,0.073733,0.57340926,0.223213
998-40-3,0.035303615,0.12512133,0.35514307,0.48443195
115-78-6,0.028039915,0.44924846,0.36643818,0.15627347
33060-84-3,0.10812217,0.58818,0.23137833,0.07231951
150-50-5,0.2386892,0.5184509,0.17128952,0.07157035
78-48-8,0.3827888,0.3812043,0.17771994,0.058286957
60-01-5,0.013610507,0.083660975,0.5535761,0.34915245
74125-01-2,0.57934326,0.2644611,0.12544566,0.03075003
1496-94-2,0.056510888,0.068414316,0.331818,0.5432568
21270-07-5,0.005937612,0.71715873,0.2255925,0.051311173
29806-73-3,0.0026794344,0.010990999,0.19591066,0.7904189
7346-61-4,0.04119989,0.19876237,0.43785116,0.32218656
59130-69-7,0.0025710943,0.01103311,0.19954944,0.7868464
63907-12-0,0.012738049,0.02649724,0.4587001,0.50206465
1114-71-2,0.018241113,0.19171,0.5293731,0.26067576
64058-98-6,0.008259284,0.7216068,0.2556586,0.014475355
64059-01-4,0.009894381,0.5797788,0.39321795,0.017108891
13194-48-4,0.5427808,0.30896372,0.111548714,0.03670675
2511-15-1,0.6801352,0.1979454,0.096214406,0.025704993
90220-15-8,0.62174267,0.2513519,0.105313346,0.021592105
759-94-4,0.018190581,0.16795444,0.59738153,0.21647346
23184-66-9,0.024077194,0.07316961,0.83196086,0.070792325
51218-49-6,0.028707037,0.07497951,0.8271061,0.06920734
109965-82-4,0.011138969,0.68119377,0.2740166,0.033650722
20954-13-6,0.003331256,0.03624264,0.9237685,0.036657557
102579-43-1,0.012745406,0.08841942,0.7709824,0.12785281
168152-77-0,0.003171641,0.8292505,0.14721805,0.020359753
168152-89-4,0.0024665438,0.898484,0.074393086,0.02465636
92953-10-1,0.012955342,0.3385827,0.61732745,0.031134475
17088-72-1,0.015502497,0.19449073,0.68245244,0.107554354
60763-41-9,0.0025482443,0.010708913,0.29601404,0.6907288
35850-79-4,0.005295849,0.042545613,0.62368464,0.32847387
3309-68-0,0.8416455,0.10666811,0.03626373,0.01542269
18109-81-4,0.005672142,0.12430108,0.7909375,0.0790893
52736-14-8,0.0783028,0.09025256,0.32980394,0.50164074
3862-08-6,0.05532352,0.09342008,0.35616326,0.49509317
139-45-7,0.0066219145,0.04952703,0.3895659,0.55428517
38727-55-8,0.017021084,0.047059823,0.8357678,0.10015127
80472-88-4,0.0047152345,0.068469405,0.91212934,0.0146860825
51356-13-9,0.75755847,0.13200043,0.084532045,0.025909035
33210-44-5,0.010218977,0.61797494,0.36071563,0.0110905105
33210-40-1,0.008616801,0.7524558,0.226383,0.012544458
33210-43-4,0.0067813965,0.8046099,0.17743318,0.011175548
1912-26-1,0.03178547,0.23634452,0.69379586,0.038074184
7779-27-3,0.027396755,0.31369245,0.5974858,0.061425086
78816-48-5,0.027964687,0.14678444,0.7025699,0.122680984
2941-55-1,0.027372755,0.1723336,0.69161004,0.108683646
4740-11-8,0.05574199,0.38609707,0.4341541,0.124006815
125-99-5,0.020389965,0.2781395,0.6808139,0.02065665
5957-17-5,0.017220087,0.13091022,0.8101997,0.04167002
2001-81-2,0.014654134,0.18446794,0.70722646,0.09365145
56-37-1,0.04486183,0.2770562,0.62679726,0.051284682
9004-57-3,0.012486582,0.024708277,0.57561463,0.3871905
7789-92-6,0.005223469,0.032742452,0.44054052,0.52149355
10140-99-5,0.014687323,0.2978504,0.5146586,0.17280367
122-51-0,0.013434969,0.08321337,0.6172087,0.28614292
63869-26-1,0.79150283,0.07709113,0.11084507,0.020560978
2425-25-4,0.259922,0.311593,0.39985546,0.028629532
5823-25-6,0.35714146,0.16120388,0.44680798,0.034846656
919-54-0,0.27301124,0.19117539,0.51177603,0.02403734
998-30-1,0.011826274,0.047921587,0.42201197,0.51824015
1067-47-6,0.016233908,0.028110618,0.890031,0.06562444
919-30-2,0.018500337,0.17865668,0.61700946,0.18583356
76524-94-2,0.013388878,0.0683511,0.69934374,0.21891628
2602-34-8,0.028657746,0.03195803,0.6702793,0.2691049
14814-09-6,0.024078572,0.054660004,0.82792246,0.09333892
34708-08-2,0.053419977,0.093741335,0.7466556,0.10618314
15129-36-9,0.03526062,0.11221225,0.5853206,0.26720658
15267-95-5,0.03539304,0.075941674,0.6766092,0.21205604
122-52-1,0.15044999,0.16112687,0.5192984,0.16912477
78-40-0,0.30189344,0.11201206,0.43601063,0.1500839
78-38-6,0.16718939,0.06821696,0.42991447,0.33467922
126-75-0,0.8594886,0.0656514,0.056904033,0.017955963
298-03-3,0.7442987,0.13127917,0.10618039,0.018241702
298-04-4,0.7443907,0.15413904,0.083925806,0.017544486
298-02-2,0.8350652,0.12371141,0.031116068,0.010107363
1186-09-0,0.60981375,0.25546035,0.11021114,0.024514703
2524-09-6,0.59094995,0.26845482,0.11722147,0.023373736
2497-07-6,0.71312463,0.1689167,0.10048088,0.017477747
2588-03-6,0.9135197,0.057602603,0.022556502,0.0063212304
2496-91-5,0.6463487,0.21258833,0.11802773,0.023035241
4891-54-7,0.8126589,0.07975424,0.08954224,0.018044638
2497-06-5,0.6368914,0.19087818,0.15270646,0.019523961
2511-11-7,0.6790766,0.22483283,0.08419924,0.011891304
2404-78-6,0.6330012,0.26436746,0.08074308,0.02188824
688-62-0,0.26006886,0.4739605,0.23077698,0.035193693
1486-39-1,0.5407031,0.31773338,0.11820294,0.023360578
87310-56-3,0.025716517,0.10229261,0.81553066,0.056460194
55881-07-7,0.0239252,0.090371184,0.61882347,0.26688015
2229-55-2,0.0031755192,0.016183607,0.40652418,0.57411665
79451-10-8,0.17599888,0.7337177,0.0710889,0.019194504
66996-10-9,0.13316174,0.7032365,0.14038292,0.023218831
30129-29-4,0.005618098,0.04583837,0.5268427,0.4217008
30129-30-7,0.005519938,0.051193435,0.55016863,0.393118
55297-95-5,0.026793549,0.21867698,0.6248436,0.12968594
3004-70-4,0.0123622995,0.07393134,0.8920797,0.021626687
53521-41-8,0.026896557,0.05696676,0.60187835,0.31425834
139-88-8,0.006756508,0.05079275,0.81996673,0.122484
33820-53-0,0.03188701,0.08966245,0.7635303,0.114920266
5892-41-1,0.018132748,0.27277276,0.6177193,0.091375194
1912-25-0,0.022058254,0.2518958,0.6938073,0.03223873
2275-18-5,0.48893473,0.26437554,0.22064045,0.026049275
87130-20-9,0.033577975,0.1080669,0.79885274,0.059502378
63873-23-4,0.5629547,0.2845239,0.118065745,0.034455627
78-52-4,0.64314365,0.25931498,0.05982684,0.037714507
63873-21-2,0.49255836,0.30953747,0.15604979,0.041854393
68649-11-6,0.0043846834,0.014488602,0.23364764,0.7474791
63990-57-8,0.005773677,0.10612509,0.7448294,0.14327179
26818-53-1,0.06379899,0.29061082,0.58529526,0.06029492
27891-14-1,0.0141745815,0.15867646,0.709963,0.11718596
36756-79-3,0.022435883,0.16418532,0.722769,0.09060984
19072-57-2,0.020857891,0.46245745,0.45031637,0.066368364
27591-74-8,0.61867976,0.19493315,0.11170064,0.07468649
66734-13-2,0.03608224,0.03250423,0.7196316,0.2117819
5593-20-4,0.015135436,0.015070192,0.9102953,0.059499055
5534-09-8,0.020027287,0.030874223,0.7563608,0.19273764
27778-88-7,0.008592686,0.4927048,0.47956145,0.019141054
27778-86-5,0.008372954,0.5192227,0.45760408,0.014800338
27778-84-3,0.009054062,0.5267034,0.45216095,0.012081561
27778-80-9,0.02084467,0.3623663,0.5967564,0.020032683
27778-82-1,0.027301658,0.3341077,0.6160362,0.022554467
27684-92-0,0.013943567,0.57521933,0.39636588,0.014471194
26259-45-0,0.010505434,0.07171193,0.88652116,0.031261496
40618-52-8,0.57376033,0.2567322,0.15069495,0.018812535
69-05-6,0.019053372,0.6017154,0.36430767,0.014923605
9050-04-8,0.019053372,0.6017154,0.36430767,0.014923605
60735-64-0,0.06768311,0.15539446,0.6900289,0.086893514
24151-93-7,0.4828285,0.28985938,0.16312969,0.0641825
2109-64-0,0.008673027,0.18115336,0.7599138,0.05025984
22457-23-4,0.033807024,0.14476301,0.7499621,0.07146783
541-85-5,0.013996698,0.040952824,0.48240027,0.46265018
14355-07-8,0.035903882,0.3544065,0.5179053,0.09178431
10032-15-2,0.0025710943,0.01103311,0.19954944,0.7868464
14355-12-5,0.0707619,0.61807084,0.24433565,0.06683163
10024-78-9,0.026762867,0.3727102,0.53611386,0.06441304
32838-28-1,0.012072348,0.06815165,0.688242,0.23153399
57-33-0,0.025992908,0.6434569,0.26345283,0.0670974
71-73-8,0.024289453,0.2690026,0.567648,0.13906
871-22-7,0.003969451,0.02145695,0.25080255,0.723771
105-82-8,0.004254086,0.022788448,0.27727962,0.6956778
29122-60-9,0.01635648,0.38233748,0.5767551,0.024550892
186817-80-1,0.0038398628,0.017875137,0.38266087,0.59562415
7452-79-1,0.0047960463,0.025571521,0.29099393,0.6786385
7286-69-3,0.045684982,0.36939964,0.53593695,0.048978455
98886-44-3,0.57243854,0.2556345,0.14580402,0.026122985
125-64-4,0.03343311,0.1775049,0.6943192,0.09474283
82834-16-0,0.015122714,0.037835516,0.5257267,0.42131513
730-07-4,0.01554554,0.07685003,0.82134914,0.086255334
33499-11-5,0.01883004,0.08379808,0.7924164,0.10495547
110429-62-4,0.037232082,0.11703642,0.76324254,0.08248898
67050-64-0,0.0315674,0.3602517,0.5196771,0.08850377
54-05-7,0.031145599,0.44749597,0.4796474,0.041711066
1094-08-2,0.011758996,0.32287633,0.6208633,0.044501305
30238-41-6,0.009376309,0.103293136,0.79414797,0.09318256
64241-34-5,0.030222286,0.090900406,0.777674,0.10120331
33499-13-7,0.016785383,0.1416681,0.70173204,0.13981451
63867-07-2,0.025919242,0.19085072,0.6742054,0.10902465
15299-99-7,0.009901062,0.14950676,0.78662497,0.053967237
4630-95-9,0.04110808,0.15780799,0.7597971,0.041286822
66968-39-6,0.08356817,0.35790005,0.38525584,0.17327595
105-57-7,0.010122333,0.07019905,0.46768987,0.4519888
137658-79-8,0.01110872,0.061415054,0.72144294,0.20603329
7492-66-2,0.0021625375,0.006388153,0.12120482,0.8702445
87820-88-0,0.025812795,0.04205285,0.6973629,0.23477146
103890-78-4,0.011525745,0.031893384,0.735702,0.22087888
52-60-8,0.69239074,0.23451453,0.06353896,0.009555765
50765-73-6,0.010051747,0.12416399,0.83868074,0.027103519
50765-89-4,0.012819147,0.77435714,0.2013003,0.011523438
15763-48-1,0.011071361,0.0740224,0.8838955,0.031010715
22609-73-0,0.031194093,0.1036988,0.77434415,0.090762936
88045-99-2,0.008004601,0.02047555,0.8295871,0.14193273
56358-09-9,0.013780306,0.20199391,0.673916,0.11030982
17702-79-3,0.09602544,0.7690837,0.11721834,0.0176725
41611-76-1,0.016388219,0.09196,0.4767336,0.41491815
137-58-6,0.022912784,0.23509076,0.6818122,0.060184207
333-40-4,0.19237998,0.6708249,0.11755203,0.01924314
31775-20-9,0.0050720293,0.016168937,0.6192344,0.35952464
105779-78-0,0.010912122,0.12833488,0.77758586,0.083167136
23191-75-5,0.037449114,0.058794543,0.5245248,0.37923157
88045-98-1,0.00973957,0.019187888,0.819656,0.15141653
243973-20-8,0.012089612,0.13012473,0.76110417,0.096681446
57470-78-7,0.011215706,0.02253193,0.762919,0.20333333
68227-46-3,0.043477677,0.07071591,0.58208364,0.3037227
5221-49-8,0.18817635,0.461796,0.316814,0.033213653
72542-60-0,0.09609798,0.85659367,0.03855664,0.008751727
79438-83-8,0.12184716,0.6710738,0.14301999,0.06405905
21409-78-9,0.7624535,0.15413585,0.049114577,0.034296095
40374-14-9,0.22272867,0.23306057,0.5257924,0.018418334
29232-93-7,0.21365689,0.6237224,0.1243692,0.038251594
13171-21-6,0.7457854,0.17155248,0.06669301,0.015969075
73521-00-3,0.041287795,0.28165767,0.5227868,0.15426773
73512-92-2,0.02853849,0.40149057,0.48458302,0.08538795
73520-99-7,0.016733114,0.27555224,0.62512684,0.08258779
73512-93-3,0.015043196,0.2652323,0.6538453,0.06587919
73512-94-4,0.019877132,0.21241327,0.69624627,0.07146338
128606-48-4,0.4733776,0.4056434,0.10899524,0.011983708
57846-34-1,0.027235933,0.6133367,0.30134532,0.05808212
74639-40-0,0.019411717,0.08433316,0.71168566,0.18456946
1716-09-2,0.5626739,0.34815696,0.07853347,0.01063563
14143-09-0,0.7224907,0.15592523,0.11027007,0.011314004
10097-26-4,0.0024808978,0.011267337,0.20520754,0.78104424
688-84-6,0.0027289963,0.006893127,0.10083508,0.88954276
105-16-8,0.0168286,0.2540048,0.51202214,0.21714447
1918-08-7,0.035592556,0.12879394,0.4004375,0.43517599
14663-66-2,0.1284546,0.64628714,0.14476559,0.08049272
14663-67-3,0.13831675,0.6525421,0.13402033,0.075120814
10137-90-3,0.005705877,0.023706319,0.51120335,0.45938444
78193-97-2,0.012533581,0.046507265,0.88817257,0.052786566
58458-55-2,0.012444086,0.08959197,0.79937357,0.09859035
103-09-3,0.0027249132,0.010237606,0.19873816,0.7882994
29214-60-6,0.0066617057,0.0373683,0.31141776,0.64455223
23947-60-6,0.009239263,0.096903555,0.8043829,0.08947421
437717-43-6,0.010233868,0.07459489,0.513536,0.40163523
6946-94-7,0.009718051,0.10769051,0.75585127,0.12674017
