CASRN,Toxic_xgboost_ecfp6bits-0,Toxic_xgboost_ecfp6bits-1
42136-30-1,0.13993126,0.86006874
26637-71-8,0.48706752,0.5129325
69094-18-4,0.47306514,0.52693486
74-95-3,0.35565698,0.644343
3252-43-5,0.24268466,0.75731534
598-91-4,0.20774978,0.7922502
124-48-1,0.2354393,0.7645607
25497-30-7,0.26257437,0.7374256
83447-96-5,0.36634725,0.63365275
473-49-4,0.296629,0.703371
117900-35-3,0.47901732,0.5209827
4460-32-6,0.25312555,0.74687445
2260-08-4,0.7225659,0.27743408
386-17-4,0.52595973,0.47404027
67-30-1,0.42065257,0.57934743
16423-68-0,0.6958675,0.30413252
10397-75-8,0.57704616,0.42295387
59017-64-0,0.47933108,0.5206689
79770-24-4,0.6300935,0.36990649
7246-21-1,0.75855666,0.24144334
96-84-4,0.68284434,0.31715566
59939-17-2,0.6922324,0.30776766
16034-77-8,0.7133512,0.2866488
22730-89-8,0.72226655,0.27773345
31112-62-6,0.73465914,0.26534086
440-58-4,0.3857476,0.6142524
66108-95-0,0.81617785,0.18382217
3115-05-7,0.76791316,0.23208684
111453-32-8,0.8258436,0.17415643
19403-92-0,0.52650595,0.47349405
35453-19-1,0.6796523,0.32034773
37441-29-5,0.57380044,0.42619956
19774-82-4,0.39753866,0.60246134
3861-47-0,0.7997824,0.20021762
57808-65-8,0.5201963,0.4798037
577-91-3,0.51922417,0.48077586
14689-57-7,0.06292558,0.9370744
17601-49-9,0.29830658,0.7016934
1746-25-4,0.38863653,0.6113635
29717-26-8,0.6130742,0.3869258
75-47-8,0.37299174,0.62700826
68439-50-9,0.82243717,0.17756282
9004-95-9,0.8419373,0.15806268
65-29-2,0.34087276,0.65912724
63869-27-2,0.07166755,0.92833245
3247-33-4,0.08255118,0.9174488
70682-61-0,0.91248494,0.08751505
3319-31-1,0.90507853,0.09492145
301-13-3,0.7487438,0.25125626
78-42-2,0.49630463,0.50369537
56706-10-6,0.66146815,0.33853185
160194-28-5,0.2863506,0.7136494
15458-87-4,0.4710886,0.5289114
105084-66-0,0.08711928,0.9128807
13080-06-3,0.57161534,0.42838466
15180-47-9,0.3682397,0.6317603
35077-00-0,0.3907714,0.6092286
63869-22-7,0.08355045,0.91644955
139-60-6,0.45961434,0.54038566
34206-40-1,0.6585438,0.34145617
752-56-7,0.65440416,0.34559587
74758-25-1,0.15405774,0.84594226
23505-41-1,0.055902243,0.94409776
154702-15-5,0.939479,0.06052103
3857-80-5,0.32494956,0.67505044
3687-16-9,0.42550093,0.5744991
141-94-6,0.38658667,0.61341333
68289-21-4,0.26132274,0.73867726
67762-53-2,0.76775676,0.23224325
4559-86-8,0.45602304,0.54397696
10254-57-6,0.20171386,0.79828614
53306-54-0,0.88045526,0.11954472
1941-30-6,0.5100215,0.4899785
682-01-9,0.7169633,0.28303674
486455-65-6,0.79178095,0.20821904
126-57-8,0.89269096,0.10730903
11138-60-6,0.8765755,0.12342449
78-16-0,0.85358804,0.14641196
106-20-7,0.5998833,0.40011668
295800-70-3,0.625456,0.374544
10143-60-9,0.7716528,0.22834718
22174-70-5,0.78271854,0.21728145
19074-24-9,0.9578285,0.0421715
122-62-3,0.9511447,0.048855275
103-24-2,0.94171745,0.058282528
103-23-1,0.893306,0.10669395
2915-57-3,0.93483347,0.06516655
84731-70-4,0.88195986,0.11804012
117-81-7,0.9119353,0.0880647
14858-73-2,0.9160762,0.08392383
3658-48-8,0.7662175,0.23378247
298-07-7,0.87240267,0.12759736
63449-80-9,0.43695062,0.5630494
7425-14-1,0.92858344,0.07141657
18268-70-7,0.8139253,0.18607469
94-28-0,0.88726103,0.112738945
3282-85-7,0.36614758,0.6338524
7790-07-0,0.9003609,0.0996391
25724-60-1,0.88162464,0.11837537
10022-60-3,0.77722156,0.22277844
468-61-1,0.24337089,0.7566291
4551-59-1,0.28504992,0.7149501
57647-13-9,0.13576108,0.8642389
27591-69-1,0.33117872,0.6688213
589-32-2,0.2804972,0.7195028
60012-88-6,0.54712343,0.4528766
78-53-5,0.0675742,0.9324258
115-79-7,0.18417197,0.815828
122-31-6,0.48290646,0.51709354
78-10-4,0.6279719,0.37202808
17356-42-2,0.015989006,0.984011
3689-24-5,0.08724105,0.91275895
563-12-2,0.023107529,0.9768925
6926-73-4,0.05377972,0.9462203
78-07-9,0.6251115,0.37488848
20395-17-9,0.056983948,0.94301605
18300-10-2,0.022999406,0.9770006
2667-40-5,0.27366036,0.72633964
55134-13-9,0.90469,0.09530999
33446-90-1,0.7130276,0.28697243
17980-47-1,0.6498315,0.35016853
27879-29-4,0.49364042,0.5063596
35435-21-3,0.7930454,0.20695461
55934-93-5,0.7716017,0.22839834
52030-05-4,0.6852832,0.31471682
74051-80-2,0.48247105,0.51752895
2224-33-1,0.59515965,0.40484035
34036-80-1,0.5741404,0.4258596
6104-58-1,0.9383405,0.061659526
77-90-7,0.81219447,0.18780552
21327-31-1,0.19393575,0.80606425
5826-91-5,0.15385664,0.84614336
22787-59-3,0.22919184,0.77080816
22787-58-2,0.054249346,0.94575065
5675-57-0,0.34648067,0.65351933
3730-54-9,0.3726368,0.6273632
655-35-6,0.27716702,0.722833
77-89-4,0.7435206,0.25647938
24748-23-0,0.4626605,0.5373395
70833-40-8,0.8940183,0.10598174
14504-73-5,0.31320935,0.68679065
67239-04-7,0.3887928,0.6112072
2595-54-2,0.037395,0.962605
5137-55-3,0.5547053,0.44529468
1421-14-3,0.5652935,0.4347065
2031-67-6,0.6856712,0.31432882
64036-99-3,0.07141775,0.92858225
26523-78-4,0.655437,0.34456304
68814-95-9,0.54089296,0.45910707
538-23-8,0.7274505,0.27254948
68130-53-0,0.80105346,0.19894654
2528-38-3,0.40248698,0.597513
5343-44-2,0.88432634,0.11567369
5831-80-1,0.8694693,0.13053069
51249-05-9,0.41102087,0.5889791
102-85-2,0.5076796,0.49232042
126-73-8,0.41571057,0.58428943
998-40-3,0.36121964,0.63878036
115-78-6,0.26867253,0.7313275
33060-84-3,0.2801178,0.7198822
150-50-5,0.41946316,0.58053684
78-48-8,0.17798066,0.82201934
60-01-5,0.7982292,0.2017708
74125-01-2,0.07481265,0.92518735
1496-94-2,0.4228649,0.5771351
21270-07-5,0.28081232,0.7191877
29806-73-3,0.9443549,0.055645116
7346-61-4,0.73322093,0.2667791
59130-69-7,0.90554243,0.094457574
63907-12-0,0.9084627,0.09153729
1114-71-2,0.33053482,0.6694652
64058-98-6,0.2526844,0.7473156
64059-01-4,0.25576252,0.7442375
13194-48-4,0.04049605,0.95950395
2511-15-1,0.079682946,0.92031705
90220-15-8,0.056069434,0.94393057
759-94-4,0.36781585,0.63218415
23184-66-9,0.55118656,0.44881347
51218-49-6,0.35158706,0.64841294
109965-82-4,0.3104272,0.6895728
20954-13-6,0.43876112,0.5612389
102579-43-1,0.6572634,0.3427366
168152-77-0,0.026300192,0.9736998
168152-89-4,0.055891275,0.9441087
92953-10-1,0.4840911,0.5159089
17088-72-1,0.43508637,0.56491363
60763-41-9,0.71506524,0.2849348
35850-79-4,0.8043699,0.19563007
3309-68-0,0.01807028,0.9819297
18109-81-4,0.37078565,0.62921435
52736-14-8,0.5091944,0.4908056
3862-08-6,0.29437613,0.70562387
139-45-7,0.6719066,0.3280934
38727-55-8,0.5599358,0.44006422
80472-88-4,0.50530326,0.49469674
51356-13-9,0.024943829,0.9750562
33210-44-5,0.08939469,0.9106053
33210-40-1,0.06767243,0.93232757
33210-43-4,0.11685234,0.88314766
1912-26-1,0.20183092,0.7981691
7779-27-3,0.24751407,0.75248593
78816-48-5,0.238312,0.761688
2941-55-1,0.28516275,0.71483725
4740-11-8,0.35442197,0.645578
125-99-5,0.1676473,0.8323527
5957-17-5,0.6614145,0.33858547
2001-81-2,0.2580608,0.7419392
56-37-1,0.4381026,0.5618974
9004-57-3,0.74822396,0.25177604
7789-92-6,0.7432354,0.2567646
10140-99-5,0.3945557,0.6054443
122-51-0,0.49875623,0.50124377
63869-26-1,0.073708,0.926292
2425-25-4,0.12654305,0.87345695
5823-25-6,0.06542969,0.9345703
919-54-0,0.047995448,0.95200455
1067-47-6,0.8197141,0.18028589
919-30-2,0.363388,0.636612
76524-94-2,0.66929257,0.33070743
2602-34-8,0.73735905,0.26264098
14814-09-6,0.39376968,0.6062303
34708-08-2,0.4352613,0.5647387
15129-36-9,0.4146263,0.5853737
15267-95-5,0.36657882,0.6334212
122-52-1,0.53489375,0.46510625
78-40-0,0.13414443,0.8658556
78-38-6,0.10725069,0.8927493
126-75-0,0.04112637,0.9588736
298-03-3,0.06175989,0.9382401
298-04-4,0.026975214,0.9730248
298-02-2,0.014492989,0.985507
1186-09-0,0.04241973,0.95758027
2524-09-6,0.012328386,0.9876716
2497-07-6,0.015333176,0.9846668
2588-03-6,0.01827252,0.9817275
2496-91-5,0.060253024,0.939747
4891-54-7,0.0646379,0.9353621
2497-06-5,0.024665952,0.97533405
2511-11-7,0.0518499,0.9481501
2404-78-6,0.0428437,0.9571563
688-62-0,0.35583735,0.64416265
1486-39-1,0.1355949,0.8644051
87310-56-3,0.35009706,0.64990294
55881-07-7,0.9274827,0.072517246
2229-55-2,0.6847378,0.31526217
79451-10-8,0.08322668,0.9167733
66996-10-9,0.04915428,0.9508457
30129-29-4,0.67849153,0.32150847
30129-30-7,0.63161194,0.36838803
55297-95-5,0.17719531,0.8228047
3004-70-4,0.3298821,0.6701179
53521-41-8,0.7207737,0.2792263
139-88-8,0.5162946,0.48370537
33820-53-0,0.53905857,0.46094146
5892-41-1,0.5020446,0.49795538
1912-25-0,0.30436254,0.69563746
2275-18-5,0.02443266,0.97556734
87130-20-9,0.55770993,0.44229004
63873-23-4,0.047109544,0.95289046
78-52-4,0.026177168,0.97382283
63873-21-2,0.10196054,0.89803946
68649-11-6,0.8623297,0.13767025
63990-57-8,0.33814132,0.6618587
26818-53-1,0.23849845,0.76150155
27891-14-1,0.34541643,0.6545836
36756-79-3,0.3578918,0.6421082
19072-57-2,0.64627266,0.3537273
27591-74-8,0.15309614,0.84690386
66734-13-2,0.89477384,0.10522619
5593-20-4,0.95352286,0.04647715
5534-09-8,0.91586506,0.084134914
27778-88-7,0.05429089,0.9457091
27778-86-5,0.044760108,0.9552399
27778-84-3,0.06355739,0.9364426
27778-80-9,0.045404494,0.9545955
27778-82-1,0.07387632,0.9261237
27684-92-0,0.06604701,0.933953
26259-45-0,0.43272835,0.56727165
40618-52-8,0.19076216,0.80923784
69-05-6,0.28933352,0.7106665
9050-04-8,0.1544953,0.8455047
60735-64-0,0.6900711,0.30992886
24151-93-7,0.08061504,0.91938496
2109-64-0,0.7641666,0.23583342
22457-23-4,0.4142545,0.5857455
541-85-5,0.6425344,0.35746565
14355-07-8,0.14847767,0.8515223
10032-15-2,0.83229256,0.16770747
14355-12-5,0.08259845,0.91740155
10024-78-9,0.3358755,0.6641245
32838-28-1,0.9166925,0.083307505
57-33-0,0.2336703,0.7663297
71-73-8,0.2489689,0.7510311
871-22-7,0.49191523,0.5080848
105-82-8,0.58957875,0.41042125
29122-60-9,0.17439294,0.82560706
186817-80-1,0.8908889,0.10911108
7452-79-1,0.65174675,0.34825328
7286-69-3,0.5355499,0.46445012
98886-44-3,0.22556049,0.7744395
125-64-4,0.22638237,0.7736176
82834-16-0,0.66569996,0.3343
730-07-4,0.59658337,0.40341666
33499-11-5,0.5859862,0.4140138
110429-62-4,0.66404486,0.33595517
67050-64-0,0.11851001,0.88149
54-05-7,0.10064423,0.89935577
1094-08-2,0.2115677,0.7884323
30238-41-6,0.68643135,0.31356865
64241-34-5,0.3489893,0.6510107
33499-13-7,0.6317674,0.36823258
63867-07-2,0.6346495,0.36535046
15299-99-7,0.22493672,0.7750633
4630-95-9,0.5651802,0.43481985
66968-39-6,0.15448022,0.8455198
105-57-7,0.59294784,0.4070522
137658-79-8,0.8778647,0.12213526
7492-66-2,0.8845345,0.11546554
87820-88-0,0.5203749,0.47962514
103890-78-4,0.71580523,0.28419477
52-60-8,0.033711016,0.966289
50765-73-6,0.03285271,0.9671473
50765-89-4,0.13349348,0.8665065
15763-48-1,0.4269966,0.5730034
22609-73-0,0.5897285,0.4102715
88045-99-2,0.7696529,0.23034711
56358-09-9,0.5445115,0.4554885
17702-79-3,0.081141055,0.91885895
41611-76-1,0.5678052,0.4321948
137-58-6,0.28452605,0.71547395
333-40-4,0.06270504,0.93729496
31775-20-9,0.8673099,0.13269007
105779-78-0,0.20104468,0.7989553
23191-75-5,0.35931307,0.6406869
88045-98-1,0.65931416,0.34068584
243973-20-8,0.37567985,0.62432015
57470-78-7,0.37244624,0.62755376
68227-46-3,0.6442933,0.35570672
5221-49-8,0.053717613,0.9462824
72542-60-0,0.19253379,0.8074662
79438-83-8,0.09379083,0.9062092
21409-78-9,0.2088759,0.7911241
40374-14-9,0.13399154,0.86600846
29232-93-7,0.07692385,0.92307615
13171-21-6,0.10718286,0.89281714
73521-00-3,0.115160644,0.88483936
73512-92-2,0.107382655,0.89261734
73520-99-7,0.079851925,0.9201481
73512-93-3,0.15030026,0.84969974
73512-94-4,0.11924857,0.88075143
128606-48-4,0.05404049,0.9459595
57846-34-1,0.09404951,0.9059505
74639-40-0,0.41546226,0.58453774
1716-09-2,0.043589115,0.9564109
14143-09-0,0.22043538,0.7795646
10097-26-4,0.87853944,0.12146058
688-84-6,0.9023715,0.097628444
105-16-8,0.5345161,0.46548393
1918-08-7,0.45776612,0.5422339
14663-66-2,0.15923065,0.84076935
14663-67-3,0.11206406,0.88793594
10137-90-3,0.8382159,0.16178411
78193-97-2,0.324453,0.675547
58458-55-2,0.32817072,0.6718293
103-09-3,0.92483014,0.075169876
29214-60-6,0.85707325,0.14292677
23947-60-6,0.5191249,0.48087507
437717-43-6,0.860695,0.13930501
6946-94-7,0.48302084,0.51697916
1187-74-2,0.73657924,0.26342076
274671-61-3,0.25430113,0.74569887
2728-05-4,0.34626395,0.65373605
134-62-3,0.28178477,0.7182152
52406-01-6,0.5100634,0.4899366
953-32-2,0.0292238,0.9707762
60090-47-3,0.4401834,0.5598166
15386-51-3,0.183335,0.816665
2728-04-3,0.3313588,0.6686412
56632-42-9,0.5115416,0.48845837
299-45-6,0.052734196,0.9472658
2425-15-2,0.03637445,0.96362555
51356-23-1,0.069989085,0.9300109
51356-21-9,0.05249697,0.94750303
3099-88-5,0.031342268,0.96865773
1942-78-5,0.030990481,0.9690095
108-35-0,0.048490703,0.9515093
15421-84-8,0.23537314,0.76462686
51356-11-7,0.06425923,0.93574077
51356-09-3,0.05039996,0.94960004
22439-40-3,0.0342561,0.9657439
5633-16-9,0.114958465,0.88504153
26662-09-9,0.2066397,0.7933603
21673-86-9,0.41852897,0.581471
107812-70-4,0.15963632,0.8403637
105435-14-1,0.23426563,0.7657344
63979-26-0,0.21780556,0.78219444
75274-20-3,0.44074893,0.55925107
2532-92-5,0.3764084,0.6235916
2544-52-7,0.06052476,0.93947524
88-24-4,0.63695645,0.36304358
120-95-6,0.4320858,0.5679142
51959-14-9,0.26597655,0.73402345
79-74-3,0.37914008,0.6208599
10508-09-5,0.6436762,0.35632378
118134-30-8,0.43682843,0.56317157
3006-82-4,0.8802772,0.11972279
329-21-5,0.07083845,0.92916155
7795-74-6,0.11106479,0.8889352
69784-43-6,0.14671129,0.8532887
55285-14-8,0.05050969,0.9494903
42222-50-4,0.93498594,0.065014064
3489-84-7,0.8284516,0.17154844
919-94-8,0.5909315,0.40906852
3734-95-0,0.05811423,0.94188577
129927-33-9,0.24394149,0.7560585
72590-77-3,0.87889326,0.12110673
13472-08-7,0.32573032,0.6742697
78-66-0,0.38972944,0.61027056
1338-23-4,0.6746565,0.32534346
154619-86-0,0.061579347,0.93842065
154619-76-8,0.032942116,0.9670579
82559-96-4,0.67212725,0.32787275
82558-50-7,0.5946279,0.40537208
4268-36-4,0.32426608,0.6757339
5340-36-3,0.5104555,0.48954454
33236-05-4,0.110441566,0.88955843
33210-49-0,0.14461601,0.855384
17091-21-3,0.81428206,0.18571797
82560-06-3,0.36502123,0.6349788
123199-92-8,0.297059,0.702941
77-74-7,0.572412,0.42758802
1986-53-4,0.7211766,0.27882335
55937-99-0,0.45432365,0.54567635
1081-95-4,0.034585953,0.96541405
103446-98-6,0.5425622,0.4574378
19457-00-2,0.5447908,0.4552092
30087-47-9,0.110860765,0.88913924
40373-31-7,0.02499032,0.9750097
2631-26-7,0.12418997,0.87581
3772-48-3,0.031926036,0.96807396
1474-80-2,0.0847047,0.9152953
28616-48-0,0.12511337,0.87488663
55769-64-7,0.56775856,0.43224144
89591-51-5,0.29172933,0.70827067
63580-68-7,0.023404121,0.9765959
60244-63-5,0.14460605,0.85539395
60244-60-2,0.0475443,0.9524557
7396-58-9,0.49360663,0.5063934
63039-90-7,0.17105013,0.82894987
18886-42-5,0.24783736,0.75216264
37686-84-3,0.096126854,0.90387315
63717-17-9,0.070750654,0.92924935
57647-36-6,0.13530111,0.8646989
104907-82-6,0.38618296,0.61381704
80472-86-2,0.1193645,0.8806355
76597-98-3,0.4793105,0.5206895
513-10-0,0.025189161,0.97481084
107-64-2,0.40015584,0.59984416
68391-05-9,0.4973514,0.5026486
7173-51-5,0.45131528,0.5486847
37335-68-5,0.35635138,0.6436486
124-03-8,0.34907168,0.6509283
6458-13-5,0.51617944,0.48382053
70206-24-5,0.20349252,0.7965075
53-46-3,0.3250239,0.6749761
50-10-2,0.35683447,0.6431655
54663-47-7,0.28437287,0.71562713
32358-09-1,0.16161186,0.83838814
24789-78-4,0.29041296,0.70958704
154-82-5,0.32939368,0.6706063
3700-98-9,0.16677523,0.8332248
3700-97-8,0.12886357,0.8711364
63917-07-7,0.07256192,0.9274381
38260-54-7,0.067665994,0.932334
2830-87-7,0.078555465,0.92144454
21410-51-5,0.13136339,0.8686366
1634-78-2,0.17556614,0.82443386
121-75-5,0.19915986,0.80084014
18300-07-7,0.03218198,0.967818
3344-12-5,0.17619449,0.8238055
51012-33-0,0.51538455,0.48461545
4104-03-4,0.031644523,0.9683555
816-19-3,0.8711413,0.12885866
15972-60-8,0.36900347,0.6309965
117666-91-8,0.32735986,0.67264014
117683-18-8,0.2604015,0.7395985
90220-16-9,0.060463965,0.93953604
673-04-1,0.38799858,0.6120014
64-96-0,0.19100112,0.8089989
109410-00-6,0.28874576,0.71125424
364-62-5,0.38917792,0.6108221
4093-35-0,0.23208117,0.7679188
19351-21-4,0.3078792,0.6921208
304-84-7,0.43602943,0.56397057
19351-20-3,0.27042538,0.7295746
55619-22-2,0.3951879,0.6048121
919-53-9,0.048454106,0.9515459
90245-33-3,0.062175214,0.9378248
22082-34-4,0.03382194,0.96617806
78-62-6,0.6288334,0.37116656
1067-99-8,0.73098147,0.26901853
999-34-8,0.33339024,0.66660976
90220-14-7,0.064811826,0.9351882
996-04-3,0.100140214,0.8998598
996-05-4,0.047923803,0.9520762
63906-39-8,0.114509165,0.88549083
32744-43-7,0.09815514,0.90184486
7292-16-2,0.1066336,0.8933664
1014-70-6,0.25203973,0.74796027
21923-23-9,0.06411141,0.9358886
2404-05-9,0.10599136,0.89400864
51528-03-1,0.55204713,0.4479529
3254-62-4,0.099087596,0.9009124
115-90-2,0.058139503,0.9418605
6587-45-7,0.061826825,0.9381732
6132-17-8,0.17741501,0.822585
101526-62-9,0.5550925,0.4449075
109-66-0,0.455244,0.544756
110-54-3,0.49948025,0.50051975
1120-21-4,0.7006545,0.29934546
112-40-3,0.69416153,0.3058385
629-50-5,0.6753806,0.32461938
629-59-4,0.6753806,0.32461938
593-45-3,0.7006545,0.29934546
112-95-8,0.7159518,0.28404823
2500-88-1,0.63164365,0.36835632
627-83-8,0.9173138,0.0826862
26322-14-5,0.80031085,0.19968915
41672-81-5,0.7201922,0.2798078
68153-95-7,0.5337305,0.4662695
53220-22-7,0.8183707,0.18162929
3234-85-3,0.90391207,0.09608795
16958-92-2,0.9006485,0.09935154
119-06-2,0.92477906,0.07522094
3648-20-2,0.9017386,0.098261416
84-76-4,0.91431284,0.085687175
50602-85-2,0.60292697,0.397073
119-07-3,0.91078377,0.08921624
8007-43-0,0.8950937,0.10490633
629-82-3,0.80970687,0.19029312
123-79-5,0.8940048,0.10599516
1639-66-3,0.8327564,0.1672436
2915-53-9,0.90165657,0.09834342
117-84-0,0.9017386,0.098261416
64896-70-4,0.8718178,0.1281822
1117-55-1,0.8582103,0.14178967
70729-68-9,0.90724045,0.09275955
110-32-7,0.89677435,0.103225626
10058-20-5,0.8882516,0.11174838
3006-15-3,0.8399454,0.16005464
84-75-3,0.93317115,0.06682884
61788-89-4,0.90750563,0.09249435
540-07-8,0.82794464,0.17205536
2050-92-2,0.48281038,0.5171896
13256-06-9,0.21229541,0.7877046
3913-02-8,0.8435279,0.15647212
2173-56-0,0.76655585,0.23344414
17810-51-4,0.29974186,0.70025814
21270-08-6,0.22969282,0.7703072
123-95-5,0.90199643,0.09800357
110-36-1,0.9152372,0.08476281
626-82-4,0.85472035,0.14527968
111-92-2,0.42653894,0.57346106
109-46-6,0.22764099,0.772359
102-83-0,0.17237735,0.82762265
36167-63-2,0.27601004,0.72398996
102-81-8,0.6670874,0.33291262
102207-73-8,0.20174849,0.7982515
119-48-2,0.60289127,0.39710873
51861-34-8,0.43467957,0.56532043
924-16-3,0.2750281,0.7249719
127-59-3,0.544632,0.45536798
142-96-1,0.65475965,0.34524038
112-48-1,0.6874871,0.31251287
112-98-1,0.6874871,0.31251287
141-17-3,0.87579703,0.12420296
16672-39-2,0.90549767,0.09450233
141-03-7,0.84691525,0.15308478
14338-82-0,0.6433947,0.35660532
6280-99-5,0.79183465,0.20816535
85-70-1,0.86206806,0.13793197
4056-77-3,0.7925741,0.20742588
1770-80-5,0.49388492,0.5061151
1962-75-0,0.7846793,0.2153207
84-74-2,0.8932981,0.10670191
7483-25-2,0.90599954,0.09400044
4092-75-5,0.4492463,0.5507537
1809-19-4,0.59756243,0.4024376
130525-77-8,0.61818683,0.38181317
2528-36-1,0.2320385,0.7679615
544-40-1,0.47733778,0.5226622
2639-63-6,0.8646946,0.1353054
51-03-6,0.5510039,0.44899613
2430-27-5,0.70730186,0.29269814
63449-39-8,0.4995814,0.5004186
123-19-3,0.673352,0.32664803
168152-91-8,0.079769254,0.92023075
74550-96-2,0.32179117,0.6782088
106-31-0,0.76510596,0.23489404
132-82-1,0.8828795,0.11712052
105-66-8,0.79748464,0.20251533
142-84-7,0.3599552,0.6400448
111757-17-6,0.25250262,0.7474974
99247-33-3,0.4090188,0.5909812
19044-88-3,0.52265245,0.47734755
52888-80-9,0.5496543,0.4503457
91893-38-8,0.09951794,0.90048206
57-66-9,0.4843068,0.5156932
925-15-5,0.7961921,0.20380788
136-45-8,0.53139913,0.46860087
58416-00-5,0.838356,0.161644
16066-38-9,0.7455132,0.25448677
104-75-6,0.346487,0.653513
10137-80-1,0.5156346,0.4843654
113-48-4,0.5848817,0.41511828
104-76-7,0.76030666,0.23969336
5397-31-9,0.5290404,0.4709596
10213-75-9,0.91236055,0.087639436
4126-58-3,0.9518698,0.048130196
1559-35-9,0.87578154,0.124218434
2461-15-6,0.71483576,0.2851642
103-44-6,0.8957688,0.104231164
21270-19-9,0.15996712,0.8400329
17751-71-2,0.071664035,0.92833596
17751-73-4,0.06668222,0.9333178
17751-72-3,0.08562589,0.9143741
17810-52-5,0.14616948,0.8538305
17751-68-7,0.1680808,0.8319192
21270-00-8,0.20042998,0.79957
21270-16-6,0.12784839,0.8721516
21270-12-2,0.15434581,0.8456542
21270-02-0,0.17085773,0.8291423
21270-03-1,0.18546528,0.8145347
13361-34-7,0.8280941,0.17190588
1928-43-4,0.384969,0.615031
1928-47-8,0.4934597,0.5065403
7659-86-1,0.8427418,0.15725821
103-11-7,0.76397395,0.23602606
5444-75-7,0.8956974,0.10430256
16397-70-9,0.80379355,0.19620648
4376-20-9,0.95197934,0.048020657
18750-05-5,0.87886983,0.12113018
6197-30-4,0.8505511,0.1494489
4248-21-9,0.8499946,0.15000539
24468-13-1,0.741022,0.258978
68037-57-0,0.8287884,0.17121162
1070-03-7,0.85494953,0.14505048
126-92-1,0.7851114,0.2148886
123-04-6,0.27982336,0.72017664
5588-20-5,0.23723602,0.762764
63834-30-0,0.6486515,0.3513485
149-57-5,0.857546,0.14245403
94-04-2,0.78962535,0.21037467
589-98-0,0.6539264,0.3460736
589-82-2,0.7115849,0.2884151
10138-47-3,0.81197125,0.18802877
10138-87-1,0.73006916,0.2699308
94-96-2,0.72610545,0.27389458
98532-85-5,0.07608312,0.9239169
10140-93-9,0.35050607,0.64949393
7492-37-7,0.6499177,0.3500823
106-68-3,0.66658604,0.33341393
106-35-4,0.6214079,0.37859207
