CASRN,LD50_xgboost_mordred
103-23-1,1.4480535
117-81-7,1.594436
3658-48-8,1.2897968
298-07-7,1.048649
63449-80-9,0.98776644
7425-14-1,1.4891183
18268-70-7,1.4264886
94-28-0,1.4538492
3282-85-7,0.8846724
7790-07-0,1.2560549
25724-60-1,1.2881175
10022-60-3,1.4111978
468-61-1,0.41428778
4551-59-1,0.36129814
57647-13-9,0.2608273
27591-69-1,0.28622583
589-32-2,0.3015184
78-53-5,-1.1776038
115-79-7,-0.17802684
122-31-6,1.1852521
78-10-4,1.1394541
17356-42-2,-1.462886
3689-24-5,-0.84370863
563-12-2,-1.0571522
78-07-9,1.3653637
20395-17-9,-1.5536685
18300-10-2,-1.6143683
2667-40-5,-0.913514
55134-13-9,-0.37862137
33446-90-1,1.0772315
27879-29-4,0.30716324
55934-93-5,1.2257266
52030-05-4,0.9761603
74051-80-2,0.5253378
2224-33-1,0.46201262
77-90-7,1.2379677
21327-31-1,-0.33706942
5826-91-5,-0.60835737
22787-59-3,-0.86263764
22787-58-2,-1.3337458
5675-57-0,-1.3520234
3730-54-9,-0.4293277
655-35-6,0.3000127
77-89-4,1.2032185
70833-40-8,0.92267233
67239-04-7,0.68336517
2595-54-2,-0.680025
5137-55-3,0.40195218
64036-99-3,-1.7317457
26523-78-4,0.6996513
68814-95-9,0.54684347
538-23-8,1.4853846
2528-38-3,1.114412
51249-05-9,0.4668906
102-85-2,1.2031102
126-73-8,1.1732365
998-40-3,1.1132386
115-78-6,0.30331132
33060-84-3,0.09347741
150-50-5,-0.17068
78-48-8,-0.18217798
60-01-5,1.4000934
74125-01-2,-0.9632256
1496-94-2,0.9456737
21270-07-5,0.0034331705
7346-61-4,1.175422
63907-12-0,1.0936209
1114-71-2,0.66670877
64058-98-6,0.18631174
64059-01-4,0.22429016
13194-48-4,-0.8704241
2511-15-1,-0.6571419
90220-15-8,-1.2381631
759-94-4,0.5973005
23184-66-9,0.6840898
51218-49-6,0.5682384
109965-82-4,0.24409902
92953-10-1,0.4107721
17088-72-1,0.5425718
35850-79-4,0.7115765
3309-68-0,-1.8686327
18109-81-4,0.3926484
139-45-7,1.5057952
38727-55-8,0.69900024
51356-13-9,-0.92432886
33210-44-5,-0.066693984
33210-40-1,-0.087914646
33210-43-4,0.12204176
1912-26-1,0.5524122
7779-27-3,0.46565232
78816-48-5,0.16347931
2941-55-1,0.6596453
4740-11-8,0.44106242
125-99-5,0.47713068
5957-17-5,0.8337556
2001-81-2,0.6093229
56-37-1,0.39897075
7789-92-6,1.3726629
10140-99-5,0.8582432
122-51-0,1.3584454
63869-26-1,-1.1176312
2425-25-4,-0.7348719
5823-25-6,-0.7568723
919-54-0,-0.650735
1067-47-6,1.0617023
919-30-2,0.80652267
14814-09-6,1.1023506
34708-08-2,0.45899835
15129-36-9,0.6662768
15267-95-5,0.89282095
122-52-1,0.98332524
78-40-0,0.4579285
78-38-6,0.8148644
126-75-0,-1.333242
298-03-3,-0.84712696
298-04-4,-1.7850794
298-02-2,-1.7357374
1186-09-0,-0.7949154
2524-09-6,-1.00554
2497-07-6,-1.7672657
2588-03-6,-1.5166631
2496-91-5,-1.3663774
4891-54-7,-1.3673877
2497-06-5,-1.6363788
2511-11-7,-1.3515033
2404-78-6,-0.78995603
688-62-0,-0.5106104
87310-56-3,0.6683876
79451-10-8,-0.74902695
66996-10-9,-0.30428886
55297-95-5,-0.5912805
3004-70-4,0.6482633
53521-41-8,0.7860729
139-88-8,0.88408047
1912-25-0,0.58893776
2275-18-5,-0.96297836
63873-23-4,-0.012721786
78-52-4,-1.298727
63873-21-2,-0.6054062
26818-53-1,0.46013418
27891-14-1,0.7355632
36756-79-3,0.6932021
19072-57-2,0.47176126
27591-74-8,-0.42061734
66734-13-2,-0.48895878
27778-88-7,0.2555207
27778-86-5,0.3175909
27778-84-3,0.285029
27778-80-9,0.2843405
27778-82-1,0.13088576
27684-92-0,0.14010207
26259-45-0,0.7864926
40618-52-8,-0.64586145
69-05-6,0.47917348
9050-04-8,0.102225065
60735-64-0,0.56453997
24151-93-7,-0.3910819
2109-64-0,0.702745
22457-23-4,0.82932466
541-85-5,1.172826
14355-07-8,0.09173225
14355-12-5,-0.18913886
10024-78-9,0.56138265
32838-28-1,1.0898384
57-33-0,-0.32617834
71-73-8,0.15084481
871-22-7,1.2755829
29122-60-9,0.21034019
7286-69-3,0.522892
98886-44-3,-0.9197409
125-64-4,0.6924638
730-07-4,0.62631005
33499-11-5,0.6817503
110429-62-4,0.48514727
67050-64-0,0.1760808
54-05-7,0.20448864
1094-08-2,0.45490143
30238-41-6,0.7576471
64241-34-5,0.34196395
33499-13-7,0.6101108
63867-07-2,0.652743
4630-95-9,0.40276223
66968-39-6,0.22406673
105-57-7,1.4286289
87820-88-0,0.5191056
103890-78-4,0.387576
52-60-8,-0.7745244
50765-89-4,-0.22191942
15763-48-1,0.40657353
22609-73-0,0.44142175
88045-99-2,0.7460716
17702-79-3,-0.5188179
137-58-6,0.5241958
333-40-4,-0.4657607
31775-20-9,0.4316195
105779-78-0,0.3642159
23191-75-5,0.29337797
88045-98-1,0.7306657
57470-78-7,0.44701755
68227-46-3,0.19126959
5221-49-8,-0.47672322
21409-78-9,-0.7760654
40374-14-9,-0.033061378
29232-93-7,-0.3907503
13171-21-6,-1.0465578
73521-00-3,0.0020650427
73512-92-2,-0.0337161
73520-99-7,-0.22044924
128606-48-4,-0.78978795
57846-34-1,-0.389862
74639-40-0,0.32892784
1716-09-2,-0.81633663
14143-09-0,-1.3277922
10097-26-4,1.4463603
105-16-8,1.0104945
1918-08-7,0.4504904
14663-66-2,-0.3387062
14663-67-3,-0.4271514
10137-90-3,1.1848838
78193-97-2,0.5439948
58458-55-2,0.7032802
103-09-3,1.6074846
23947-60-6,0.64042014
6946-94-7,1.1583204
274671-61-3,0.61184734
2728-05-4,0.8473682
134-62-3,0.87431586
52406-01-6,0.14806144
953-32-2,-0.6756531
60090-47-3,0.71161926
15386-51-3,0.35298023
2728-04-3,0.82030725
299-45-6,-1.089792
2425-15-2,-1.0234745
51356-23-1,-1.0229142
51356-21-9,-0.355598
3099-88-5,-0.69686776
1942-78-5,-0.5752914
108-35-0,-1.195576
15421-84-8,0.36172166
51356-11-7,-1.7209405
51356-09-3,-1.0871967
22439-40-3,-0.73140293
5633-16-9,0.4017977
26662-09-9,-1.2556757
63979-26-0,0.60502225
2544-52-7,-1.4956405
120-95-6,0.9387615
51959-14-9,0.36021578
79-74-3,0.83202296
10508-09-5,0.7594348
329-21-5,-0.3240215
7795-74-6,-0.29475302
69784-43-6,-1.0405912
55285-14-8,-0.58113873
3489-84-7,0.73810816
3734-95-0,-0.75784653
129927-33-9,0.34850705
72590-77-3,-0.47723094
13472-08-7,0.17155546
78-66-0,1.0140717
1338-23-4,0.97223985
154619-86-0,-1.1719062
154619-76-8,-1.2171957
4268-36-4,0.51257676
5340-36-3,1.3464757
33236-05-4,0.1689876
33210-49-0,0.08003517
17091-21-3,0.5598774
82560-06-3,0.48423603
77-74-7,1.2320056
55937-99-0,0.63574314
1081-95-4,-1.2584822
103446-98-6,0.314854
30087-47-9,-0.13289925
40373-31-7,-0.41732985
2631-26-7,-0.16082062
3772-48-3,-1.3954709
1474-80-2,-1.2733935
28616-48-0,-1.2242917
55769-64-7,0.27190998
89591-51-5,0.38114595
63580-68-7,-0.87613624
60244-63-5,-0.96133184
60244-60-2,-0.82851684
63039-90-7,-0.009293278
18886-42-5,-0.0017276268
37686-84-3,0.059986304
63717-17-9,-0.40026522
57647-36-6,0.3865596
104907-82-6,0.72256744
76597-98-3,-0.06685916
513-10-0,-0.96963364
107-64-2,0.54262394
68391-05-9,0.748407
7173-51-5,0.35703945
37335-68-5,0.21702759
124-03-8,0.35470635
6458-13-5,0.36728764
70206-24-5,0.1675764
53-46-3,0.18037643
50-10-2,0.30680057
24789-78-4,0.6962164
3700-98-9,-0.049619105
3700-97-8,-0.085438944
63917-07-7,-0.02334543
38260-54-7,-0.8480619
2830-87-7,-0.32735366
21410-51-5,-0.72095567
1634-78-2,-0.36684886
121-75-5,-0.008438211
18300-07-7,-1.043197
3344-12-5,-0.14355835
51012-33-0,0.6895718
4104-03-4,-0.7460817
15972-60-8,0.70162857
117666-91-8,0.6281355
117683-18-8,0.53476566
90220-16-9,-0.97681636
673-04-1,0.87367445
64-96-0,0.32350212
109410-00-6,0.18582053
364-62-5,0.45099124
4093-35-0,0.26458225
19351-21-4,0.5770983
304-84-7,0.8676195
19351-20-3,0.6441441
55619-22-2,0.5821789
919-53-9,-0.62374413
90245-33-3,-1.104529
22082-34-4,-0.7388517
78-62-6,1.3860325
1067-99-8,0.642648
999-34-8,-0.29045796
90220-14-7,-1.173017
996-04-3,-1.2011985
996-05-4,-0.9804211
63906-39-8,-0.9865747
32744-43-7,-0.24498095
7292-16-2,-0.36824465
1014-70-6,0.4954416
21923-23-9,-0.98018336
2404-05-9,-0.85229605
51528-03-1,0.16703714
3254-62-4,-0.9467385
115-90-2,-1.2768711
6587-45-7,-1.3356875
6132-17-8,-1.4531382
101526-62-9,0.5394494
109-66-0,2.0419023
110-54-3,1.2572991
84-76-4,1.8390691
50602-85-2,0.5521926
119-07-3,1.2898902
123-79-5,1.4502537
1639-66-3,1.0253196
2915-53-9,1.4709452
117-84-0,1.7909698
70729-68-9,1.2762024
110-32-7,1.29184
10058-20-5,1.4421272
3006-15-3,0.8211269
84-75-3,1.5929928
2050-92-2,0.5547506
13256-06-9,0.62105274
3913-02-8,1.4165668
17810-51-4,-0.10322303
21270-08-6,0.03218193
123-95-5,1.3973483
111-92-2,0.44802248
109-46-6,0.4529213
102-83-0,0.40004644
36167-63-2,-0.28388044
102-81-8,0.76913565
102207-73-8,0.6275639
119-48-2,0.8394301
51861-34-8,0.6941594
924-16-3,0.5328888
127-59-3,0.65564644
142-96-1,1.213548
112-48-1,1.3235239
112-98-1,1.061023
141-17-3,1.2532752
16672-39-2,1.0378767
141-03-7,1.5282739
85-70-1,1.1901323
4056-77-3,1.4671057
84-74-2,1.4655436
7483-25-2,0.96943766
4092-75-5,0.6545596
1809-19-4,0.920207
130525-77-8,0.89813656
2528-36-1,0.29817352
544-40-1,1.5179417
51-03-6,0.8677528
2430-27-5,0.95989645
123-19-3,1.2621474
74550-96-2,0.5106929
106-31-0,1.4159364
132-82-1,1.185963
105-66-8,1.6311055
142-84-7,0.5914055
99247-33-3,0.81769645
52888-80-9,0.66256714
91893-38-8,0.0079419855
57-66-9,0.8252806
925-15-5,1.6063076
136-45-8,0.7572708
16066-38-9,0.752429
104-75-6,0.5077949
10137-80-1,0.7753921
113-48-4,0.7942954
104-76-7,1.251033
5397-31-9,0.6769794
10213-75-9,0.9171922
4126-58-3,1.3749119
1559-35-9,1.2027714
2461-15-6,1.2597171
103-44-6,1.4557601
21270-19-9,-0.00048922497
17751-71-2,-0.15201773
17751-73-4,-0.06692317
17751-72-3,-0.13770723
17810-52-5,0.057260364
17751-68-7,0.051982947
21270-00-8,0.08369317
21270-16-6,0.0033241874
21270-12-2,0.05302685
21270-02-0,-0.08766082
21270-03-1,0.15698683
1928-43-4,0.44305283
1928-47-8,0.34776476
7659-86-1,0.9641558
103-11-7,1.2948579
5444-75-7,1.3965563
4376-20-9,1.1881557
18750-05-5,1.202174
4248-21-9,1.0446043
24468-13-1,0.9232698
68037-57-0,1.0425607
1070-03-7,1.155603
126-92-1,0.8848043
123-04-6,1.4323373
63834-30-0,1.4669247
149-57-5,1.3777065
94-04-2,1.3517821
589-82-2,1.2346839
10138-47-3,1.2630368
10138-87-1,1.3150982
94-96-2,1.398136
10140-93-9,-0.20504688
7492-37-7,1.1302572
106-35-4,1.2827296
645-62-5,1.2481775
5309-52-4,1.1646955
6187-24-2,0.81016594
1471-51-8,0.6435086
126-93-2,0.9996638
13360-63-9,0.57893443
1861-40-1,0.4997028
91893-68-4,-0.15051863
68439-49-6,1.5191737
15523-43-0,1.3016293
628-81-9,1.4791306
4413-13-2,1.3645368
33236-04-3,-0.073048465
106-32-1,1.540418
79714-31-1,0.52845305
3570-46-5,0.667536
64058-22-6,-0.022552684
105-54-4,1.7474387
101205-02-1,0.37357238
40626-35-5,-0.79356605
89784-60-1,-0.6420546
38527-91-2,-0.43643963
38524-82-2,-0.33449784
34643-46-4,-0.74417955
24017-17-2,-1.0048139
18596-67-3,-0.62730515
617-79-8,0.47462618
97-95-0,1.241727
10232-91-4,1.0160799
10213-74-8,1.4024959
4468-93-3,1.1814928
63907-07-3,0.34698778
3953-10-4,1.2558582
97-96-1,1.3605362
19962-50-6,0.6117002
88-09-5,1.2724571
4189-10-0,0.7485185
584-02-1,1.3388395
101952-86-7,0.7808662
96-22-0,1.3245729
72-56-0,0.6496677
579-66-8,0.7216797
38725-95-0,0.67703724
522-40-7,0.46090654
123-62-6,1.3780643
5837-63-8,1.1985314
41340-25-4,0.13084854
136572-09-3,-0.20075606
105-37-3,1.6389924
512-48-1,0.72498614
702-54-5,0.4942046
1085-91-2,0.5203162
77-04-3,0.7213195
80733-97-7,0.42898417
23192-94-1,0.4495452
99233-24-6,0.4670562
33236-13-4,0.012057846
109-89-7,0.624083
105-55-5,0.39955658
122-34-9,0.45609
104-78-9,0.8260023
17074-44-1,-0.3105729
27312-93-2,-0.09315982
6009-67-2,0.25369182
100-36-7,0.6826463
3105-97-3,0.38667908
17074-42-9,-0.2594735
51-06-9,0.60153526
23205-22-3,0.042655796
34341-24-7,0.39763066
100-37-8,1.0422654
63883-13-6,0.30893743
53421-38-8,0.33983725
911-45-5,0.3452736
2192-21-4,0.31341478
2426-54-2,0.9639657
31329-57-4,0.30946842
34580-71-7,0.17958939
1641-74-3,0.5721375
2597-09-3,0.24834862
57-37-4,0.5649277
13352-70-0,0.34279203
3735-90-8,0.5030458
3010-02-4,0.95250905
102394-31-0,0.25171614
67367-65-1,0.36909097
2431-96-1,0.837946
2315-36-8,0.0025781053
120-21-8,0.7800033
2198-58-5,0.3941517
5123-63-7,0.6083863
17754-90-4,0.71982974
25953-06-4,0.6704334
1696-17-9,0.8576199
19311-91-2,0.88240194
63886-92-0,0.73511285
63887-51-4,0.5836313
32773-96-9,0.7904538
101152-94-7,0.17076032
14052-72-3,0.21467672
28249-77-6,0.4906012
95-06-7,0.4572991
95-30-7,0.5743586
1331-27-7,0.99114394
13056-98-9,0.4312707
21600-43-1,0.31823128
55-18-5,0.58851546
6794-94-1,0.63563704
1709-50-8,0.7376892
36014-71-8,-0.687777
1050-48-2,0.41442266
60-29-7,1.4667695
629-14-1,1.4243811
112-36-7,1.442937
763-69-9,1.4876373
110-40-7,1.4229274
123-25-1,1.6178595
27292-19-9,0.520328
22125-35-5,0.41744968
59894-95-0,0.14518625
73090-70-7,0.6263999
98318-25-3,0.88968945
84-66-2,1.2033603
1609-47-8,1.0450401
502-55-6,0.53159183
1851-77-0,0.46150178
1851-71-4,0.16437864
6485-91-2,0.6169561
762-04-9,1.0644364
999-01-9,-0.044416856
10419-79-1,-0.4863153
75889-62-2,-0.19865188
679-36-7,-0.60970086
21548-32-3,-0.9746851
333-29-9,-1.2751195
1516-67-2,-0.9484346
5131-24-8,-0.5719966
64050-52-8,-0.6578969
311-47-7,-0.40435138
38331-02-1,-0.70218164
14984-58-8,-0.811362
311-45-5,-1.4933928
897-83-6,-0.86699647
2701-86-2,-0.23315936
33399-00-7,-0.59182894
2667-41-6,-0.4793005
60971-95-1,-0.6634501
5598-15-2,-0.7031765
1491-41-4,-0.29903618
16499-75-5,-0.8637383
3734-92-7,-0.66657597
51376-77-3,-1.5629085
14734-96-4,-0.848389
1885-95-6,-0.71039087
1885-98-9,-0.94573975
5954-10-9,-0.6693825
54593-83-8,-0.30274737
33841-12-2,-0.9208965
3735-01-1,-0.6495174
84197-34-2,-1.0228304
84197-35-3,-1.2010514
39624-86-7,-1.1455826
29689-00-7,-1.0364102
6012-87-9,-0.9516214
97-17-6,-0.81108224
1224-63-1,-0.7981578
4824-78-6,-0.7017135
7533-79-1,-0.60645103
4935-28-8,-0.53150964
297-97-2,-1.0209807
13593-03-8,-0.77938735
18854-01-8,-0.7335176
2921-88-2,-0.6019896
24017-47-8,-0.81850165
14816-18-3,-0.8320646
2668-92-0,-0.08124186
16500-53-1,-0.7611805
13286-40-3,-0.87474257
2047-14-5,-0.23662502
35461-10-0,-0.7031147
16231-76-8,-0.259074
30725-71-4,-0.9671481
2310-17-0,-0.76354086
6119-96-6,-0.97817844
51356-06-0,-1.0486057
51356-15-1,-0.32353956
51442-10-5,-0.6777984
25923-97-1,-1.0542462
3152-41-8,-0.8479448
2275-14-1,-0.6741108
24934-91-6,-0.6663259
6436-05-1,-0.7903057
41219-31-2,-0.83398247
3659-04-9,-1.1205451
10312-20-6,-0.5529024
38188-83-9,-1.0363615
5823-20-1,-0.7375705
973-28-4,-0.4363543
4681-36-1,-0.2801755
63716-53-0,-0.30760038
64-67-5,0.35267317
7305-61-5,0.9234639
7776-66-1,-0.653599
944-21-8,-0.97679317
62421-46-9,-0.85826004
1497-39-8,-1.1960937
3563-52-8,-0.60481983
1593-27-7,-0.9124559
7260-35-7,-0.8933801
327-98-0,-0.7438869
24017-24-1,-1.0457435
18596-51-5,-0.9335465
63869-31-8,-0.89176524
597-88-6,-1.5239018
352-93-2,1.3287711
18771-38-5,0.3033648
34491-12-8,-0.8270798
110-81-6,0.71514183
70-29-1,1.3216894
59865-13-3,-0.6140557
17013-35-3,-0.20900536
94-86-0,1.1314123
1264-72-8,-0.0019103605
108050-54-0,0.4438554
80214-83-1,0.1269554
81103-11-9,0.059078466
6683-17-6,-0.66674554
4147-51-7,0.7755724
7087-68-5,0.5995347
5827-05-4,-1.3648838
642-15-9,0.30827737
1331-50-6,1.0913157
131929-60-7,-0.24170521
75443-99-1,-0.17055486
2964-06-9,0.009207761
973-21-7,0.38625538
54767-75-8,0.32391867
121158-58-5,0.97807544
34264-24-9,0.13880683
31218-83-4,-0.78240985
34381-68-5,0.69793427
33857-23-7,-0.6729997
78193-95-0,0.46119875
108419-32-5,1.6337968
26748-41-4,0.9294857
82560-54-1,-0.31154764
33236-08-7,0.22702938
26685-57-4,-0.10609197
78-44-4,0.48602766
115767-74-3,0.14637117
51893-82-4,-0.69022596
1610-17-9,0.7052284
3853-74-5,-0.97441965
834-12-8,0.67904836
55837-18-8,0.9541715
57-43-2,0.012404687
64-43-7,-0.10872324
37205-87-1,1.1460341
16537-52-3,-0.6137286
24838-84-4,-0.583514
21270-25-7,0.024601568
21270-04-2,0.0385449
97683-31-3,0.9857548
1912-24-9,0.67659783
3733-84-4,-0.24500115
51162-51-7,-0.22492565
328-04-1,-0.55132073
29911-28-2,1.322175
91315-15-0,0.5659617
10031-58-0,0.3790582
477-32-7,0.13849644
1020-35-5,-0.23577198
5633-25-0,-0.1498122
43033-72-3,-0.07016984
51218-45-2,0.6188394
2307-68-8,0.65869474
37172-05-7,0.8616407
7319-47-3,0.15732539
314-40-9,0.6554281
105-46-4,1.7356565
50602-40-9,0.66696626
5787-73-5,0.5030505
2282-34-0,-0.14921889
2917-19-3,-0.2686617
3766-81-2,-0.07539818
1225-25-8,0.54950345
27778-78-5,0.18574233
27684-90-8,0.062205054
35384-89-5,0.17300542
24729-96-2,0.78051436
561-78-4,0.09254166
30238-40-5,0.80985
89396-94-1,0.68688107
64050-87-9,0.800498
3614-30-0,0.5211023
2753-45-9,0.39037058
79985-89-0,-0.123004295
82586-52-5,0.51654136
22791-12-4,-0.7618833
70667-26-4,0.1672309
7789-99-3,1.5276703
106463-17-6,0.6994806
57558-46-0,0.26165584
33054-87-4,0.13664548
5389-12-8,-0.21212727
105-30-6,1.3386801
42615-29-2,0.89408404
97-61-0,1.2934301
76-73-3,-0.13253348
309-43-3,-0.04107705
66941-93-3,0.0047362098
30677-46-4,0.5956196
623-40-5,0.99000776
5131-66-8,1.1809546
1569-01-3,1.4136329
81406-37-3,0.3611651
99607-70-2,0.62625724
3084-62-6,0.4946819
541-95-7,1.2832013
120-62-7,0.4557284
557-36-8,0.72803044
96-17-3,1.3204911
14765-30-1,1.1893091
99-71-8,0.84455466
89-72-5,0.969027
61005-12-7,0.31650054
88-85-7,-0.19016804
61614-62-8,-0.18842997
104-89-2,0.64292496
96-29-7,0.8253971
78-92-2,1.5031105
17751-77-8,-0.08001392
21270-20-2,0.29076806
21270-21-3,0.24295668
21269-99-8,0.32463774
21395-07-3,0.3831806
513-53-1,1.4381942
5412-64-6,0.5141612
13717-04-9,0.42125306
99-79-6,0.2870776
10402-53-6,0.26618525
34067-03-3,0.49541083
66941-53-5,0.13552763
86371-40-6,0.21187215
130693-82-2,0.44413888
29766-64-1,0.6608883
63716-10-9,1.5234863
1569-02-4,1.5959364
1083-57-4,0.84626096
27205-24-9,1.102571
14631-45-9,0.8447837
7698-97-7,0.25249687
92454-60-9,0.6304522
120-45-6,1.2560508
10137-87-8,0.46515128
54335-73-8,-0.89281785
83435-67-0,0.46599385
82586-55-8,0.58265835
16118-49-3,0.39886647
16378-22-6,0.11103914
22212-55-1,0.5958794
97-64-3,1.6463577
87237-48-7,0.48347682
66441-23-4,0.5823055
66441-11-0,0.45778176
51-14-9,0.8216307
50765-95-2,-0.13425054
54406-48-3,0.6858918
79-81-2,1.0364834
106-29-6,1.3730819
61750-69-4,0.75684375
53083-27-5,0.70118177
19089-24-8,0.29542297
70381-67-8,0.48871234
17689-77-9,0.30814543
97-41-6,1.1612569
64748-21-6,-0.16604082
82163-55-1,0.102533214
50765-88-3,-0.30648354
90729-41-2,0.11094317
57846-36-3,-0.39956218
39562-70-4,0.6937319
638-10-8,1.5648898
106700-29-2,0.72253555
61792-11-8,0.9474575
24199-46-0,1.2397177
70381-28-1,0.6083501
132031-81-3,0.22451003
80310-21-0,0.66302156
56611-65-5,0.81781906
13925-07-0,0.74600655
70381-39-4,0.64468557
149543-07-7,0.17743099
15911-11-2,0.75554794
88-29-9,0.90093356
5957-75-5,0.3426417
3763-77-7,0.59475756
3568-56-7,-0.99425155
92065-18-4,-0.27803028
13539-59-8,0.28000376
2532-49-2,-0.43659955
78541-98-7,0.07415174
55242-55-2,0.38643238
87344-11-4,0.4875908
1399-80-0,0.079382434
22345-47-7,0.20609789
82875-37-4,0.7702854
6670-95-7,0.3876594
33232-85-8,-0.33678627
1942-80-9,-0.64026105
73698-61-0,0.5523418
134169-75-8,0.2687886
57846-37-4,-0.319837
85365-53-3,0.077267826
167004-78-6,-0.024943087
92-09-1,0.55388963
97-88-1,1.6078173
25044-01-3,1.2251365
20363-83-1,0.9575642
97-63-2,1.4479452
53153-66-5,1.0254536
1128-08-1,1.2589898
821-55-6,1.1295205
111-13-7,1.4009808
110-43-0,1.1898258
591-78-6,1.2588686
591-60-6,1.5714712
59558-23-5,1.0953336
2748-88-1,0.2994152
64-77-7,0.8050907
63992-49-4,0.9967977
63992-50-7,1.0701467
63989-86-6,1.0713371
5736-70-9,0.9895381
1610-29-3,1.3127657
1147-62-2,0.36402804
31143-55-2,0.88190067
488-10-8,1.1069415
1713-12-8,0.70859516
26485-82-5,0.6546222
70381-35-0,0.6836867
88107-10-2,0.6627255
112668-65-2,0.47655538
112668-63-0,0.77134293
81250-14-8,-0.019566625
112-14-1,1.8092568
142-92-7,1.5729395
628-63-7,1.6739998
14959-86-5,1.4070531
39920-56-4,1.6843332
123-86-4,1.7417746
112-07-2,1.5957783
124-17-4,1.5049092
2442-10-6,1.2070696
66017-91-2,0.51285225
20706-25-6,1.4643524
109-60-4,1.5755916
141-97-9,1.5265471
122-82-7,0.9198699
623-36-9,1.1362783
102-27-2,0.713773
148-69-6,0.6405018
88881-65-6,0.26955217
24441-47-2,-0.53476983
65516-17-8,0.21709938
104-90-5,0.78106564
13360-64-0,0.6467522
25646-77-9,0.59301764
58066-96-9,0.4688634
30086-84-1,0.74317384
10443-70-6,0.6556852
25319-90-8,0.5352477
21062-28-2,0.30248347
634-55-9,0.68378806
609-15-4,0.7258654
25331-92-4,0.29633063
15622-65-8,0.20928302
15707-23-0,0.63138074
70381-33-8,0.659778
600-14-6,1.0063816
40054-69-1,0.49015865
73839-77-7,0.856628
74037-54-0,0.8508666
17335-06-7,0.8172971
52217-47-7,0.5144752
62-44-2,0.8199132
73-66-5,0.7012727
1897-96-7,0.56854856
19387-91-8,0.07887196
65986-80-3,0.28969997
15862-11-0,0.6433698
111-15-9,1.5540342
63843-89-0,0.2530156
58243-85-9,0.67762345
2984-66-9,-0.38352233
886-50-0,0.6249714
78168-93-1,0.04567257
17751-75-6,-0.11009968
21270-06-4,0.1769887
51308-54-4,0.49011782
66227-09-6,1.1296552
80763-10-6,1.2833273
153233-91-1,0.41351473
64529-56-2,0.54353756
59652-29-8,0.42262465
3398-69-4,0.657229
15942-48-0,-0.18199643
