CASRN,SMILES,logLD50_mmolkg,verytoxic,toxic,EPA_category,GHS_category
3194-55-6,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,,,0.0,4.0,5.0
20566-35-2,CC(O)COC(=O)c1c(Br)c(Br)c(Br)c(Br)c1C(=O)OCCOCCO,,,0.0,3.0,5.0
2338-30-9,FC(F)(F)c1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,-2.000017312570288,,1.0,1.0,2.0
87-84-3,ClC1C(Br)C(Br)C(Br)C(Br)C1Br,,,0.0,4.0,5.0
608-71-9,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,-0.3879172449448848,,1.0,2.0,3.0
32588-76-4,O=C1c2c(Br)c(Br)c(Br)c(Br)c2C(=O)N1CCN1C(=O)c2c(Br)c(Br)c(Br)c(Br)c2C1=O,,,0.0,4.0,5.0
32536-52-0,Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,,,0.0,4.0,5.0
27858-07-7,Brc1ccc(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,,,0.0,4.0,5.0
61262-53-1,Brc1c(Br)c(Br)c(OCCOc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,,,0.0,4.0,5.0
84852-53-9,Brc1c(Br)c(Br)c(CCc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,,,0.0,4.0,5.0
13654-09-6,Brc1c(Br)c(Br)c(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,,,0.0,4.0,5.0
3674-13-3,CCOC(=O)C(Br)CBr,-0.034636810932506375,,1.0,2.0,3.0
78-75-1,CC(Br)CBr,0.5647055510933582,,1.0,3.0,4.0
89427-38-3,Cc1c(Cl)c(Br)c(Br)c2[nH]c(C(F)(F)F)nc12,-1.232001162690318,,1.0,1.0,2.0
20769-85-1,CC(C)(Br)C(=O)Br,,,,,
10474-14-3,CC(Br)(CCl)CBr,0.4935279251326978,,1.0,3.0,4.0
300-76-5,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-0.1827386829897272,,1.0,2.0,3.0
2872-96-0,COP(=O)(Oc1ccccc1)OC(Br)C(Cl)(Cl)Br,0.05270845194599948,,1.0,2.0,4.0
106-93-4,BrCCBr,-0.3030273307005964,,1.0,2.0,3.0
1947-58-6,OCC(Br)C(Br)CO,0.9966340545143898,,0.0,3.0,5.0
96-13-9,OCC(Br)CBr,0.4949137994145362,,1.0,3.0,4.0
96-12-8,ClCC(Br)CBr,-0.14307728417361917,,1.0,2.0,3.0
18791-02-1,O=C(Cl)C(Br)CBr,0.6806909008122248,,1.0,3.0,4.0
75-81-0,ClC(Cl)(Br)CBr,-0.09775997421484986,,1.0,2.0,3.0
590-12-5,BrC=CBr,-0.4767615286285551,,1.0,2.0,3.0
2302-30-9,Brc1nc[nH]c1Br,,,1.0,3.0,4.0
14689-59-9,FC(F)(F)c1nc2c(Cl)c(Br)c(Br)c(Cl)c2[nH]1,-2.079958334640778,,1.0,1.0,1.0
79-27-6,BrC(Br)C(Br)Br,0.5405396590288659,,1.0,3.0,4.0
63867-08-3,CCC(Br)(CC)C(=O)OCC(Br)(Br)Br,0.7353729308010933,,0.0,3.0,5.0
64047-47-8,CC(C)C(Br)C(=O)OCC(Br)(Br)Br,1.0499450428701165,,0.0,4.0,5.0
63938-47-6,O=C(OCC(Br)(Br)Br)c1ccco1,0.5999503987273752,,1.0,3.0,4.0
613-53-6,BrC(Br)(Br)c1ccc2ccccc2n1,1.2508815145027048,,0.0,4.0,5.0
115-17-3,O=CC(Br)(Br)Br,-0.4483058425363867,,1.0,2.0,3.0
75-25-2,BrC(Br)Br,0.5672231279713769,,1.0,3.0,4.0
42136-31-2,CCOP(=O)(OCC)OC(=C(Br)Br)c1ccc(Cl)cc1Cl,-0.7912241580829421,,1.0,2.0,3.0
64050-72-2,COP(=O)(OC)OC(Cl)C(Cl)(Br)Br,-0.8904826116332512,,1.0,1.0,2.0
42136-30-1,COP(=O)(OC)OC(=C(Br)Br)c1ccc(Cl)cc1Cl,-0.40261097060501666,,1.0,2.0,3.0
26637-71-8,BrC1(Br)C2CCC1CC2,-0.08255457403472712,,1.0,2.0,3.0
69094-18-4,O=[N+]([O-])C(Br)(Br)CO,-0.9320586175167178,,1.0,1.0,2.0
74-95-3,BrCBr,-0.20671346643321428,,1.0,2.0,3.0
3252-43-5,N#CC(Br)Br,0.09065140933275388,,1.0,2.0,3.0
598-91-4,O=[N+]([O-])C(Br)Br,-0.4056123783339818,,1.0,2.0,3.0
124-48-1,ClC(Br)Br,0.24955415506334022,,1.0,2.0,4.0
25497-30-7,FC(F)(F)C(F)(Br)Br,2.3229142448216704,,0.0,4.0,5.0
83447-96-5,ICC1CCC(CI)CC1,,,0.0,3.0,5.0
473-49-4,CS(=O)(=O)N(CCI)CCI,0.8260339326877161,,0.0,3.0,5.0
117900-35-3,O=C(CI)NC(=O)CI,0.2652653902324008,,1.0,3.0,4.0
4460-32-6,O=C(NP(=O)(N1CC1)N1CC1)c1cc(I)ccc1I,-0.002613521795068444,,1.0,2.0,4.0
2260-08-4,CC(=O)Oc1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,0.8498818927905626,,0.0,3.0,5.0
386-17-4,O=C1C(I)=CC(=C(c2cc(I)c(O)c(I)c2)c2ccccc2C(=O)O)C=C1I,0.5323327101042141,,0.0,3.0,5.0
67-30-1,O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,-2.957348934805212,,1.0,1.0,1.0
16423-68-0,O=C(O)c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,0.3426660955520198,,1.0,3.0,4.0
10397-75-8,CNC(=O)c1c(I)c(NC(=O)CCCCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NC)c2I)c(I)c(C(=O)O)c1I,,,0.0,4.0,5.0
59017-64-0,CNC(=O)c1c(I)c(C(=O)NCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c2I)c(I)c(N(C)C(C)=O)c1I,1.0204300620535827,,0.0,4.0,5.0
79770-24-4,CN(C(=O)CC(=O)N(C)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I,,,0.0,4.0,5.0
7246-21-1,CCCC(=O)Nc1c(I)cc(I)c(CC(CC)C(=O)O)c1I,1.0060383892920162,,0.0,4.0,5.0
96-84-4,CCC(Cc1c(I)cc(I)c(O)c1I)C(=O)O,0.5439133233053881,,0.0,3.0,5.0
59939-17-2,CC(=Nc1c(I)cc(I)c(C(=O)NC[C@H](C)C(=O)O)c1I)N1CCOCC1,0.9931820192891372,,0.0,4.0,5.0
16034-77-8,CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I,1.0631189786663229,,0.0,4.0,5.0
22730-89-8,CC(=O)Nc1c(I)cc(I)c(OCCOC(C)C(=O)O)c1I,1.1843380738756828,,0.0,4.0,5.0
31112-62-6,CC(=O)Nc1c(I)c(C(=O)NC2C(O)OC(CO)C(O)C2O)c(I)c(N(C)C(C)=O)c1I,,,0.0,4.0,5.0
440-58-4,CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,,,0.0,4.0,5.0
66108-95-0,CC(=O)N(CC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,,,0.0,4.0,5.0
3115-05-7,Nc1c(I)cc(I)c(C(=O)N(CCC(=O)O)c2ccccc2)c1I,0.6262980738050968,,0.0,3.0,5.0
111453-32-8,Nc1c(I)c(C(=O)O)c(I)c(C(=O)NCC(O)CO)c1I,,,0.0,3.0,5.0
19403-92-0,Oc1c(I)cc(I)c(O)c1I,1.2255720564060049,,0.0,4.0,5.0
35453-19-1,Nc1c(I)c(C(=O)O)c(I)c(C(=O)O)c1I,,,0.0,,5.0
37441-29-5,Nc1c(I)c(C(=O)Cl)c(I)c(C(=O)Cl)c1I,,,0.0,3.0,5.0
19774-82-4,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,,,0.0,3.0,5.0
3861-47-0,CCCCCCCC(=O)Oc1c(I)cc(C#N)cc1I,-0.41770239320031216,,1.0,2.0,3.0
57808-65-8,Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O,-0.4032646374810739,,1.0,2.0,3.0
577-91-3,O=C(O)C(Cc1cc(I)c(O)c(I)c1)c1ccccc1,0.3476077169608692,,1.0,3.0,4.0
14689-57-7,FC(F)(F)c1nc2c(I)cc(I)cc2[nH]1,-1.1642814590423134,,1.0,1.0,2.0
17601-49-9,O=C(O)c1cc(I)cc(I)c1I,0.21128473560689615,,1.0,3.0,4.0
1746-25-4,Ic1nc(I)c(I)[nH]1,-0.20506311872328006,,1.0,2.0,3.0
29717-26-8,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2c(I)c(I)c(I)c(I)c21,0.5323327101042142,,0.0,3.0,5.0
75-47-8,IC(I)I,-0.04497125680478842,,1.0,2.0,4.0
68439-50-9,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,,,0.0,3.0,5.0
9004-95-9,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.3473642260406972,,0.0,3.0,5.0
65-29-2,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,,,1.0,3.0,4.0
63869-27-2,CCOP(=O)(OCC)SC(P(=O)(OCC)OCC)(P(=O)(OCC)OCC)P(=O)(OCC)OCC,-1.325499536817113,,1.0,1.0,2.0
3247-33-4,CCOP(=O)(OCC)C(SCC)(P(=O)(OCC)OCC)P(=O)(OCC)OCC,-1.8248885413638563,,1.0,1.0,2.0
70682-61-0,CCCCC(CC)C(=O)O[Si](C)(OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,0.6833134148136362,,0.0,3.0,5.0
3319-31-1,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1,,,0.0,3.0,5.0
301-13-3,CCCCC(CC)COP(OCC(CC)CCCC)OCC(CC)CCCC,1.1705478555968152,,0.0,4.0,5.0
78-42-2,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,1.9300700336358327,,0.0,4.0,5.0
56706-10-6,CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,,,0.0,3.0,5.0
160194-28-5,C#CCC(O[Si](CC)(CC)CC)[Si](CC)(CC)CC,,,0.0,3.0,5.0
15458-87-4,CC[Si]1(CC)N[Si](CC)(CC)N[Si](CC)(CC)N1,0.8008921885434361,,1.0,3.0,4.0
105084-66-0,CCCN(CCC)C(=O)CN(CC)P(=S)(OCC)OCC,0.7887724290625504,,0.0,3.0,5.0
13080-06-3,CCCCC(CC)(C(=O)OCC)C(=O)OCCN(CC)CC,0.3058846400306301,,1.0,3.0,4.0
15180-47-9,CCO[Si](CN(CC)CC)(OCC)OCC,,,0.0,3.0,5.0
35077-00-0,CCO[Si](OCC)(OCC)N(CC)CC,,,1.0,3.0,4.0
63869-22-7,CCOP(=O)(OCC)C(SCC)(Sc1ccccc1)P(=O)(OCC)OCC,-1.279232394220409,,1.0,1.0,2.0
139-60-6,CCC(C)CC(CC)Nc1ccc(NC(CC)CC(C)CC)cc1,0.8583203361054402,,0.0,3.0,5.0
34206-40-1,CCC(C)=NO[Si](ON=C(C)CC)(ON=C(C)CC)ON=C(C)CC,0.8185223064509298,,0.0,3.0,5.0
752-56-7,CCCC(=O)OCC(OC(=O)CCC)C(OC(=O)CCC)C(Cn1c2nc(=O)[nH]c(=O)c-2nc2cc(C)c(C)cc21)OC(=O)CCC,,,0.0,4.0,5.0
74758-25-1,CCN(CC)CCN(CCN(CC)CC)n1cc(-c2ccc(Cl)cc2)c2cc(C)ccc21,,,1.0,3.0,4.0
23505-41-1,CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1,-0.3768297440058935,,1.0,2.0,3.0
154702-15-5,CCCCC(CC)COC(=O)c1ccc(Nc2nc(Nc3ccc(C(=O)NC(C)(C)C)cc3)nc(Nc3ccc(C(=O)OCC(CC)CCCC)cc3)n2)cc1,,,0.0,3.0,5.0
3857-80-5,CCCCC(CC)CNCC(C)(N)CN(C)CC(CC)CCCC,0.4664465415335306,,1.0,3.0,4.0
3687-16-9,CCCCC(CC)CNCC(C)(N)CNCC(CC)CCCC,0.3877447682203542,,1.0,3.0,4.0
141-94-6,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,,,1.0,3.0,4.0
68289-21-4,CCN(CC)c1ccc(-c2nc(=O)n(C)nc2-c2ccc(N(CC)CC)cc2)cc1,0.20487323443815933,,1.0,3.0,4.0
67762-53-2,CCCCCCCOCC(COCCCCCCC)(COCCCCCCC)COCCCCCCC,,,0.0,4.0,5.0
4559-86-8,CCCCN(CCCC)C(=O)N(CCCC)CCCC,1.7697433854687024,,0.0,4.0,5.0
10254-57-6,CCCCN(CCCC)C(=S)SCSC(=S)N(CCCC)CCCC,,,0.0,4.0,5.0
53306-54-0,CCCCCC(CCC)COC(=O)c1ccccc1C(=O)OCC(CCC)CCCCC,,,0.0,4.0,5.0
1941-30-6,CCC[N+](CCC)(CCC)CCC,1.2481542469396578,,0.0,3.0,5.0
682-01-9,CCCO[Si](OCCC)(OCCC)OCCC,,,0.0,3.0,5.0
486455-65-6,CCCCNC(=O)CCC(NC(=O)C(CC)CCCC)C(=O)NCCCC,,,0.0,3.0,5.0
126-57-8,CCCCCCCCC(=O)OCC(CC)(COC(=O)CCCCCCCC)COC(=O)CCCCCCCC,,,0.0,3.0,5.0
11138-60-6,CCCCCCCCCC(=O)OCC(CC)(COC(=O)CCCCCCC)COC(=O)CCCCCCC,,,0.0,3.0,5.0
78-16-0,CCCCCCC(=O)OCC(CC)(COC(=O)CCCCCC)COC(=O)CCCCCC,,,0.0,4.0,5.0
106-20-7,CCCCC(CC)CNCC(CC)CCCC,0.8319932559287251,,1.0,3.0,4.0
295800-70-3,CCCCC(CC)CNc1ccc(NCC(CC)CCCC)c2c1C(=O)c1c(O)ccc(O)c1C2=O,,,0.0,3.0,5.0
10143-60-9,CCCCC(CC)COCC(CC)CCCC,2.146862102447204,,0.0,4.0,5.0
22174-70-5,CCCCC(CC)COCOCC(CC)CCCC,,,0.0,4.0,5.0
19074-24-9,CCCCC(CC)COC(=O)CCCCCCCCCCC(=O)OCC(CC)CCCC,1.6746791226393258,,0.0,4.0,5.0
122-62-3,CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,,,0.0,3.0,5.0
103-24-2,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,,,0.0,3.0,5.0
103-23-1,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,1.2974123937522593,,0.0,4.0,5.0
2915-57-3,CCCCC(CC)COC(=O)CCC(=O)OCC(CC)CCCC,,,0.0,3.0,5.0
84731-70-4,CCCCC(CC)COC(=O)C1CCC(C(=O)OCC(CC)CCCC)CC1,,,0.0,3.0,5.0
117-81-7,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1.8854290447536979,,0.0,4.0,5.0
14858-73-2,CCCCC(CC)COC(=O)OCC(CC)CCCC,,,0.0,3.0,5.0
3658-48-8,CCCCC(CC)CO[PH](=O)OCC(CC)CCCC,1.5892199320429443,,0.0,4.0,5.0
298-07-7,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC,1.1852968934542252,,0.0,3.0,5.0
63449-80-9,CCCCC(CC)COP(=O)(Cl)OCC(CC)CCCC,0.9445299259604534,,0.0,3.0,5.0
7425-14-1,CCCCC(CC)COC(=O)C(CC)CCCC,2.02239493179778,,0.0,4.0,5.0
18268-70-7,CCCCC(CC)C(=O)OCCOCCOCCOCCOC(=O)C(CC)CCCC,1.6053294758928094,,0.0,4.0,5.0
94-28-0,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC,1.8865181286178834,,0.0,4.0,5.0
3282-85-7,CCCCC(CC)CCC(CCC(CC)CC)OS(=O)(=O)O,0.6283019280178359,,1.0,3.0,4.0
7790-07-0,CCC(CC)COCCOC(=O)CCCCC(=O)OCCOCC(CC)CC,0.9070397957624851,,0.0,3.0,5.0
25724-60-1,CCC(CC)COCCOC(=O)CCC(=O)OCCOCC(CC)CC,0.9450412443769425,,0.0,3.0,5.0
10022-60-3,CCC(CC)COC(=O)CCCCC(=O)OCC(CC)CC,1.2521626190806352,,0.0,4.0,5.0
468-61-1,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1,-0.26322590086403924,,1.0,2.0,3.0
4551-59-1,CCOC(=O)C(CC)(C(=O)NCCN(CC)CC)c1ccccc1,0.26098564958265114,,1.0,3.0,4.0
57647-13-9,CCN(CC)CCN(CCN(CC)CC)n1cc(-c2ccccc2)c2ccccc21,0.29390338709315744,,1.0,3.0,4.0
27591-69-1,CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2,0.3170650756970588,,1.0,3.0,4.0
589-32-2,CCN(CC)CCSSCCN(CC)CC,0.10904667294026732,,1.0,2.0,4.0
60012-88-6,CCN(CC)CC1CC2(CC(CN(CC)CC)OC2=O)C(=O)O1,,,0.0,3.0,5.0
78-53-5,CCOP(=O)(OCC)SCCN(CC)CC,-1.91179820283794,,1.0,1.0,1.0
115-79-7,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,-1.4632681430634578,,1.0,1.0,2.0
122-31-6,CCOC(CC(OCC)OCC)OCC,0.8637936368452288,,1.0,3.0,4.0
78-10-4,CCO[Si](OCC)(OCC)OCC,1.4785157269736044,,0.0,4.0,5.0
17356-42-2,CCOP(=O)(OCC)SCSP(=S)(OCC)OCC,-1.0207875121799377,,1.0,1.0,2.0
3689-24-5,CCOP(=S)(OCC)OP(=S)(OCC)OCC,-1.8093239870000213,,1.0,1.0,2.0
563-12-2,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-1.4709383080238252,,1.0,1.0,2.0
6926-73-4,CCOP(=S)(OCC)SSSP(=S)(OCC)OCC,,,0.0,3.0,5.0
78-07-9,CCO[Si](CC)(OCC)OCC,1.8620787460113442,,0.0,4.0,5.0
20395-17-9,CCOP(=O)(CC)SCSCSP(=O)(CC)OCC,-2.3335622492168726,,1.0,1.0,1.0
18300-10-2,CCOP(=S)(CC)SCSCSP(=S)(CC)OCC,-2.2387909356081988,,1.0,1.0,1.0
2667-40-5,CCOP(=O)(OC=C(SCC)SCC)OCC,-1.3015826455251502,,1.0,1.0,2.0
55134-13-9,CCC(C(=O)O)C1OC(C(C)C(O)C(C)C(=O)C(CC)C2OC3(C=CC(O)C4(CCC(C)(C5CCC(O)(CC)C(C)O5)O4)O3)C(C)CC2C)C(C)CC1C,-1.6165112790126206,,1.0,1.0,2.0
33446-90-1,CCCCCCC(C)P(=O)(C(C)CCCCCC)C(C)CCCCCC,1.274222012500278,,0.0,4.0,5.0
17980-47-1,CCO[Si](CC(C)C)(OCC)OCC,,,0.0,,5.0
27879-29-4,CC[N+](CC)(CC)Cc1ccc(C(C)C(C)c2ccccc2)cc1,0.8271989673889227,,0.0,3.0,5.0
35435-21-3,CCO[Si](CC(C)CC(C)(C)C)(OCC)OCC,,,0.0,3.0,5.0
55934-93-5,CCCCOC(CC)OC(C)COC(O)CC,1.0198864508813592,,0.0,3.0,5.0
52030-05-4,CCCC(CCC)C(C)NC(=O)CC,0.5455079434351812,,1.0,3.0,4.0
74051-80-2,CCCC(=NOCC)C1=C(O)C[C@@H](C[C@H](C)SCC)CC1=O,0.9122880658706549,,0.0,3.0,5.0
2224-33-1,C=C[Si](ON=C(C)CC)(ON=C(C)CC)ON=C(C)CC,1.0502177412052665,,0.0,3.0,5.0
34036-80-1,CCC(C)=NO[Si](ON=C(C)CC)(ON=C(C)CC)c1ccccc1,,,0.0,3.0,5.0
6104-58-1,CCOc1ccc(Nc2ccc(/C(=C3/C=C/C(=[N+](\CC)Cc4cccc(S(=O)(=O)O)c4)C=C3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)O)c4)cc3C)cc2)cc1,,,0.0,4.0,5.0
77-90-7,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,1.8921810275924955,,0.0,4.0,5.0
21327-31-1,CCCn1c(C)cc(OP(=S)(OCC)OCC)cc1=O,-1.5152799835596866,,1.0,1.0,2.0
5826-91-5,CCCc1cc(OP(=S)(OCC)OCC)nc(C)n1,-0.0667356526561509,,1.0,2.0,3.0
22787-59-3,CCOP(=O)(OCC)Oc1cc(C)n(CC)c(=O)c1,-2.2517853783445942,,1.0,1.0,1.0
22787-58-2,CCOP(=S)(OCC)Oc1cc(C)n(CC)c(=O)c1,1.364641401900367,,0.0,4.0,5.0
